Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,left
34,0.0,0.0,0,left
35,0.0,0.0,0,left
36,0.0,0.0,0,left
37,0.0,0.0,0,left
38,0.0,0.0,0,left
39,0.0,0.0,0,left
40,0.0,0.0,0,left
41,0.0,0.0,0,left
42,0.0,0.0,0,left
43,0.0,0.0,0,left
44,0.0,0.0,0,left
45,0.0,0.0,0,left
46,0.0,0.0,0,left
47,0.0,0.0,0,left
48,0.0,0.0,0,left
49,0.0,0.0,0,left
50,0.0,0.0,0,left
51,0.0,0.0,0,left
52,0.0,0.0,0,left
53,0.0,0.0,0,left
54,0.0,0.0,0,left
55,0.0,0.0,0,left
56,0.0,0.0,0,left
57,0.0,0.0,0,left
58,0.0,0.0,0,left
59,0.0,0.0,0,left
60,0.0,0.0,0,left
61,0.0,0.0,0,left
62,0.001070633269011501,0.00025437009584629663,0,left
63,0.00426835553170178,0.0004606260492625912,0,left
64,0.007687868704340595,0.00018980916685106789,0,left
65,0.003653355204675196,6.399014242822976e-05,0,left
66,0.0011780751909136607,0.00029355251549411347,0,left
67,0.00024260279650140367,0.0007887405753202275,0,left
68,0.00018831651681633303,7.298493700453504e-05,0,left
69,0.0001774243473349287,0.0007373757583057281,0,left
70,4.5959491979458595e-05,0.00018652133774034737,0,left
71,5.6630642106682845e-05,0.00020728845850804232,0,left
72,0.00021779113539471107,0.0007540683448113884,0,left
73,7.666165548886096e-05,0.0002021380237696873,0,left
74,5.214021782446355e-05,5.944392899091555e-05,0,left
75,7.543884162873974e-05,2.1423225950068112e-05,0,left
76,6.997348208263805e-05,5.392706533169165e-05,0,left
77,7.417796569525978e-05,8.194757307206595e-05,0,left
78,0.00010578905562414967,4.613021147346131e-05,0,left
79,2.2320363513514442e-05,3.222464140303803e-05,0,left
80,0.00012564384390710895,5.785594085082228e-06,1,left
81,0.00030214984771813536,2.1282359636623383e-05,1,left
82,7.317668171970012e-05,1.5067351764786787e-05,1,left
83,4.917151810755415e-05,4.096177416591206e-05,1,left
84,0.00010235077164408456,1.080722084096372e-05,0,left
85,6.26683586703502e-05,7.869695740226968e-05,0,left
86,3.5490370117308635e-05,5.3348545709707055e-05,0,left
87,1.8733990939647492e-05,2.6348627521642043e-05,0,left
88,1.5053263683125302e-05,1.02761640591569e-05,0,left
89,3.617705759918197e-05,1.017721967902381e-05,0,left
90,3.331315313066787e-05,1.4018710224526975e-05,0,left
91,0.00010821239048428405,6.132241092937852e-05,0,left
92,2.910467158387538e-05,1.3735602521133387e-05,0,left
93,9.57306850190913e-06,3.266108966246764e-05,0,left
94,2.3626529047026806e-05,5.656179621771172e-05,0,left
95,3.591253681114607e-05,0.0001512767718896016,0,left
96,0.00022028618767719931,0.0006582068427271835,0,left
97,0.0020242760268147585,0.0001411623766648648,0,left
98,0.006952269415159505,0.00031627511560429554,0,left
99,0.0059853363164035145,0.00042765413024160767,0,left
100,0.0031607257074016872,0.00010084395826142402,0,left
101,0.0025966221191924895,0.00010046819384366272,0,left
102,0.003097118695405543,9.52411951624812e-05,0,left
103,0.0016836987997010534,0.00012213288104700082,0,left
104,0.002422602285054087,0.00011328771416409619,0,left
105,0.0015180074552968367,0.00023941528169834028,0,left
106,0.0019122924411327355,8.809106368838208e-05,0,left
107,0.002760817273469612,7.990527886538665e-05,0,left
108,0.0028534327679519984,0.0001938174965633578,0,left
109,0.002016442687692397,0.0005305186314617384,0,left
110,0.0015485211421304877,0.0007984046874359312,0,left
111,0.0019237872362230571,0.0009081273355183856,0,left
112,0.0012120664926958498,0.0003120495664649541,0,left
113,0.000803752155776965,0.00014710958203975974,0,left
114,0.0014759612128705363,9.231162821281046e-05,0,left
115,0.0009577638549540701,0.00013572360747374034,0,left
116,8.170104610337797e-05,7.514317309778236e-05,0,left
117,0.0008497276981448799,0.00011968300331588585,0,left
118,0.0007944027001085768,8.33555850081369e-05,0,left
119,0.00041843225644936017,5.6098393111851106e-05,0,left
120,0.00046207612775140175,1.6112006792209896e-05,0,left
121,0.0007051299458069947,6.060629183347177e-05,0,left
122,0.0020878179436659124,0.00027428884334440893,0,left
123,0.007261890013059617,0.0008228758355039701,0,left
124,0.009418749349748764,0.0007772761429031814,0,left
125,0.0073336219107455825,0.0014920350626658257,0,left
126,0.0035668948355742076,0.0009709030371247102,0,left
127,0.004497409052457827,0.0007728545811059714,0,left
128,0.0038849800432539817,0.0002105238590630261,0,left
129,0.0026445112216444823,5.015330539237171e-05,0,left
130,0.0027617737795906884,2.762840131929446e-05,0,left
131,0.002718488941902499,0.0001827450259487884,0,left
132,0.002041076504472434,0.000535960464672793,0,left
133,0.0021224700743318965,0.0007746226060426299,0,left
134,0.0017634435232346786,0.0009403106828834853,0,left
135,0.0015504871251832857,0.0009655112206656158,0,left
136,0.0016841499464476611,0.0007942706979509746,0,left
137,0.001468944029056168,0.001274181618115251,0,left
138,0.0014317271634232095,0.0009394531715606169,0,left
139,0.0016959212569159006,0.0007858592960001548,0,left
140,0.0015730889325410208,0.0006543737608933586,0,left
141,0.003455701872049845,9.90798955467026e-05,0,left
142,0.005691827458757125,0.0002397082176834243,0,left
143,0.003386497352110006,0.0004218289436400384,0,left
144,0.00283925694419844,0.00014770184175640495,0,left
145,0.0014546336819135169,0.00018999488479558776,0,left
146,0.0015110722652031095,0.0006127559593368914,0,left
147,0.0013461948952150113,0.0005416281169114502,0,left
148,0.0012666189752517992,0.0003327869332192398,0,left
149,0.0015041079516538664,0.00015788250001041364,0,left
150,0.0010003488556318857,0.00019671878653860697,0,left
151,0.0011110810279542035,3.225234874005842e-05,0,left
152,0.002216025369299907,0.0001397583120335381,0,left
153,0.002048696105757344,0.0004376920716195004,0,left
154,0.0020329922043312424,0.0003250946235102296,0,left
155,0.0038154880930360647,0.0007327773146442489,0,left
156,0.0034420571762873555,0.0009792324369359518,0,left
157,0.0017406455731691225,0.0005184097944112485,0,left
158,0.0012649906148917028,0.00015614712773379775,0,left
159,0.001200472823651003,5.0749654312220546e-05,0,left
160,0.001181502920301334,0.0001204192608133604,0,left
161,0.0008800101576951159,0.00018463056157265654,0,left
162,0.002544462004327066,0.0003782670491997409,0,left
163,0.0022817234812411795,0.0004918893198590487,0,left
164,0.0008416195352314982,0.0003918471165780408,0,left
165,0.0010633862147877977,0.00021814328704818558,0,left
166,0.002828815302857099,0.0003328014515691807,0,left
167,0.002776104445067011,0.00069476297360662,0,left
168,0.002872482325867125,0.0008500307752513732,0,left
169,0.002655946249844438,0.0009381456376319574,0,left
170,0.0017008918816328296,0.000499197829531995,0,left
171,0.002095632519503134,0.00027626929831383635,0,left
172,0.0014739811897553745,0.00031558054294145404,0,left
173,0.0006420831333069549,0.00028262083528315127,0,left
174,0.0012382885273894944,0.0006070575491520571,0,left
175,0.0013705175749516227,0.0010622469407661273,0,left
176,0.00045570684049410206,0.0007471369834487489,0,left
177,0.0002187859803670533,0.00023026328708963248,0,left
178,0.0005289341599138891,0.0001268984489813109,0,left
179,0.0002392345491561603,0.00017037954497015894,0,left
180,0.0003202528126450061,8.808475692218389e-05,0,left
181,0.0006848214163108295,6.27538981629863e-05,0,left
182,0.000275239653713114,9.640398905857102e-05,0,left
183,0.00023593963881514768,5.533947716654853e-06,0,left
184,0.0011677874322621282,0.00015999658324138317,0,left
185,0.0007929814567754564,0.00048795536246987756,0,left
186,0.00043301386512798563,0.0004900632129698595,0,left
187,0.0008510684714171806,0.0002041022802695125,0,left
188,0.0017442304136225633,0.0001326389014148934,0,left
