Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,other
34,0.0,0.0,0,other
35,0.0,0.0,0,other
36,0.0,0.0,0,other
37,0.0,0.0,0,other
38,0.0,0.0,0,other
39,0.0,0.0,0,other
40,0.0,0.0,0,left
41,0.0,0.0,0,left
42,0.0,0.0,0,other
43,0.0,0.0,0,other
44,0.0,0.0,0,other
45,0.0,0.0,0,other
46,0.0,0.0,0,other
47,0.0,0.0,0,other
48,0.0,0.0,0,other
49,0.0,0.0,0,other
50,0.0,0.0,0,other
51,0.0,0.0,0,other
52,0.0,0.0,0,other
53,0.0,0.0,0,other
54,0.0,0.0,0,other
55,0.0,0.0,0,other
56,0.0,0.0,0,other
57,0.0,0.0,0,other
58,0.0,0.0,0,other
59,0.0,0.0,0,other
60,0.0,0.0,0,other
61,0.0,0.0,0,other
62,0.0002929820286348266,0.00026406797613431546,0,left
63,0.0004506541843184318,0.00010746802637784809,0,left
64,0.00029359843924395095,0.00013041111435697927,0,left
65,0.00031092409425208744,0.00013790373138521003,0,left
66,0.0006806575551359051,0.0004170356916990565,0,other
67,0.0021986046245374507,0.0005132816984010143,0,other
68,0.0036662058498886673,0.0008859896884164945,0,other
69,0.0036768930936114364,0.0006047848133453617,0,other
70,0.00404015465674297,0.0006521388351501159,0,other
71,0.003187075220566424,0.0013939212014384688,0,other
72,0.002267826919109844,0.0008685740520918367,0,other
73,0.001830733719415348,0.0008542366734047728,0,other
74,0.002087041113185915,0.001427752871094183,0,other
75,0.0035995171647477298,0.001570947813928825,0,other
76,0.0032698211066353343,0.0016750566030616595,0,other
77,0.003408138370772802,0.0017008313229658167,0,other
78,0.0057402235267199585,0.0017751816976573189,0,other
79,0.0031040113720011923,0.00031591058670300343,0,other
80,0.003296975736249113,0.0004754247034713582,0,other
81,0.004705063967700368,8.882192552041432e-05,0,other
82,0.0039417530536454545,0.000922697906014716,0,left
83,0.005229193796554113,0.0009458347910803625,0,left
84,0.004907687111101896,0.0009926976178622092,0,left
85,0.004555403596650621,0.0012021517111893245,0,left
86,0.0029188989276922083,0.0009888359537870732,0,left
87,0.003690613455441859,0.001573097676239986,0,left
88,0.004357960483315048,0.0031149951697183385,0,left
89,0.004496419218615392,0.0034659579352802872,0,left
90,0.004512510333938008,0.0028423332541722586,0,other
91,0.003138185295780896,0.0021242891790393187,0,other
92,0.002898715606373798,0.00240895990471764,0,other
93,0.0036249392801390723,0.0030516131526164363,0,other
94,0.0034260343772107814,0.0024896599049075664,0,other
95,0.003971522866728624,0.002017435804815323,0,other
96,0.003466063613065742,0.0016362889253111262,0,other
97,0.003733830221616956,0.0014618002658544653,0,other
98,0.0011155107460336237,0.0008255693781420376,0,other
99,0.0004527010297350911,0.0009168941801752393,0,other
100,0.0015590001171463543,0.0009239545144816766,0,right
101,0.00029016187906756645,0.001016600458748767,0,right
102,0.00177666102793577,0.0007572352662103385,0,right
103,0.0012659567746981602,0.0006766843902588281,0,right
104,0.0005987461982127359,0.0005821657489361848,0,right
105,0.0005978283255153303,0.0003792442075694525,0,right
106,0.0006781971424265426,7.041840241828858e-05,0,right
107,0.0007173735804411013,6.73483385911677e-06,0,right
108,0.0007243560749761548,5.253370184554956e-05,0,right
109,0.0006857894037339589,0.00014463083320303427,0,other
110,0.0007379256230662868,0.00012125130615907146,0,other
111,0.0007475512036452006,1.2842111175276105e-05,0,other
112,0.0004947441743112603,8.752103098870721e-05,0,other
113,0.0006020187496239619,0.00013563852731833311,0,right
114,0.000531513025136587,0.00015955106621012342,0,right
115,8.333751204030087e-05,0.0001654165815806663,0,right
116,0.0004548162201040998,0.00015354196025109396,0,right
117,0.0008434971290524182,0.0001248112857439419,0,right
118,0.000667223692732638,8.594909739535627e-05,0,right
119,0.0005929409705519517,7.294123018983779e-05,0,right
120,6.574001530003716e-05,0.0001236578206228872,0,right
121,0.00037328754606988953,0.00014902912412706904,0,right
122,0.0005638434887144536,0.00020100010599097422,0,right
123,0.0002378081213095147,0.0001687201665326221,0,right
124,0.0018442617728073349,0.0007815042643110367,0,right
125,0.006095566018391756,0.0026878907856132633,0,other
126,0.010349197044375034,0.004818483545565844,0,other
127,0.011103537914279609,0.004183894306854493,0,other
128,0.009950540700134012,0.002561570045659307,0,other
129,0.010465050376234504,0.0014992475553059997,0,other
130,0.007912188821321378,0.0009675547977258744,0,left
131,0.0047075327238388955,0.0003610258988707177,0,left
132,0.003075447036350295,0.0003826617352738891,0,left
133,0.004513620290990821,0.0006956006348080351,0,left
134,0.00474411450337126,0.0018046408286861051,0,left
135,0.0043518523820797,0.0023965479182661673,0,left
136,0.004179661718973365,0.002181055280448788,0,left
137,0.00454986121755698,0.0022859375320773805,0,left
138,0.0035118853559762786,0.003988528714813384,0,left
139,0.0034698893209471034,0.0033086998352290626,0,left
140,0.00247881469182084,0.0005998133762886603,0,left
141,0.002937972349993814,0.0003957566362167518,0,left
142,0.0031909058635780562,0.0003812342056849697,0,left
143,0.00115059194220947,0.0001770326783372767,0,left
144,0.002163398345534508,5.928799812204755e-05,0,left
145,0.002871992043625129,0.0005135428627916941,0,left
146,0.003406019733034092,0.0011309011518017198,0,left
147,0.004726817986246793,0.001909754790697772,0,left
148,0.005219183038676022,0.001707696610821961,0,left
149,0.004046097336680824,0.0024849390276537515,0,left
150,0.004398328383280284,0.0028312124333467873,0,left
151,0.004003543473874458,0.0019387747640592966,0,left
152,0.0026480398950558086,0.0005807827548452329,0,left
153,0.0022088444117248714,9.716818959642504e-05,0,left
154,0.0018388757573494367,0.0008829000887909295,0,left
155,0.0010718645866609022,0.0010768367555002143,0,left
156,0.001815387061754523,0.0009357769420155765,0,left
157,0.0023714813755540665,0.00036011024153515745,0,left
158,0.002078475297648585,0.0003932378599575024,0,left
159,0.002191753928758704,0.0003307250260080146,0,left
160,0.0017855424933943612,0.0003031877251896803,0,left
161,0.0017133696358785913,0.0006850213987929571,0,left
162,0.001831584910600255,0.0004939203165847599,0,left
163,0.0015348535218503783,0.00032598840602630766,0,left
164,0.0007859636068471246,0.00027601677402619554,0,left
165,0.00047259797029518854,8.869157897128186e-05,0,left
166,0.00011279277369241523,7.983729333743643e-05,0,left
167,7.895111471913413e-05,0.0003877687997482776,0,left
168,0.0002792422930562694,0.00021502898822515267,0,left
169,0.0006076261518281408,0.00013825786653569352,0,left
170,0.000602478919025098,6.0670836084025764e-05,0,left
171,0.0006414725741605836,9.939594698950743e-05,0,left
172,0.0013708146394201754,0.00047439030005561717,0,left
173,0.0028767611778661413,0.0005900956609043214,0,left
174,0.001996421398560134,0.0005139877659051483,0,left
175,0.0015382573106251481,0.0006585198916087248,0,left
176,0.0020890960373062778,0.0008525089670784816,0,left
177,0.003625415952934966,0.0014578816423684484,0,left
178,0.0030359670570974328,0.0017311642390739803,0,left
179,0.003108961591912072,0.0018680875893893043,0,left
180,0.003769065390885251,0.0015226012863868688,0,left
181,0.004498982815888121,0.0015125544923350834,0,left
182,0.004562005443984774,0.0021650467180878937,0,left
183,0.004898560507128003,0.003662697100743173,0,left
184,0.0049195552127268985,0.004123620727864879,0,left
185,0.004801521622742762,0.004836053049788021,0,left
186,0.00654943207672225,0.006851521515266249,0,left
187,0.004755509922695692,0.009772485472076138,0,left
188,0.0027947447274453683,0.006618579241915471,0,left
189,0.0009252019971141875,0.002027815546760714,0,left
190,0.0024481962332069517,0.00022874740978503922,0,left
191,0.0034784547130642268,0.0008065694443080364,0,left
192,0.0026200511492815663,0.001596914801368642,0,left
193,0.0028012128272826963,0.0010355462528543328,0,left
