Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,left
29,0.0,0.0,0,left
30,0.0,0.0,0,left
31,0.0,0.0,0,left
32,0.0,0.0,0,left
33,0.0,0.0,0,left
34,0.0,0.0,0,left
35,0.0,0.0,0,left
36,0.0,0.0,0,left
37,0.0,0.0,0,left
38,0.0,0.0,0,left
39,0.0,0.0,0,left
40,0.0,0.0,0,left
41,0.0,0.0,0,left
42,0.0,0.0,0,left
43,0.0,0.0,0,left
44,0.0,0.0,0,left
45,0.0,0.0,0,left
46,0.0,0.0,0,left
47,0.0,0.0,0,left
48,0.0,0.0,0,left
49,0.0,0.0,0,left
50,0.0,0.0,0,left
51,0.0,0.0,0,left
52,0.0,0.0,0,left
53,0.0,0.0,0,left
54,0.0,0.0,0,left
55,0.0,0.0,0,left
56,0.0,0.0,0,left
57,0.0,0.0,0,left
58,0.0,0.0,0,left
59,0.0,0.0,0,left
60,0.0,0.0,0,left
61,0.0,0.0,0,left
62,0.0073405816745728825,0.005233265070488602,0,left
63,0.005551617347512178,0.004765327272090699,0,left
64,0.001711287678669237,0.0025445389005543206,0,left
65,0.00333312734286807,0.0005462002335245519,0,left
66,0.005839028072577468,0.001271096325587897,0,left
67,0.005309419156456659,0.0019571565483917927,0,left
68,0.0034896991020759967,0.0032701634757901477,0,left
69,0.002746295278042485,0.0024123063437241615,0,left
70,0.001135228888781915,0.0012841252561788807,0,left
71,0.000501732794075924,0.0005190019808766339,0,left
72,0.0002608071924446859,0.0006746618485285155,0,left
73,0.00018554345537653036,0.0014192923273824791,0,left
74,0.0005305595179854158,0.0007574567284046506,0,left
75,0.00048165884672378764,0.0006521148291585476,0,left
76,0.00018059581732308337,0.000805119777428658,0,left
77,0.0002834345191909808,0.00028607674805454747,0,left
78,0.0007449254640214092,0.00038293460645747823,0,left
79,0.0007242513189618973,0.00047927058609192316,0,left
80,0.0013289257647760067,0.0006787783854789309,0,left
81,0.0007150459573223363,0.0010129950856253682,0,left
82,0.0004777004369641088,0.0011834751063552562,0,left
83,0.0004158667893602702,0.0013919856022847716,0,left
84,0.0011299730942444651,0.001789583925589709,0,left
85,0.0029696142142844628,0.001275853289318656,0,left
86,0.002808760016447166,0.0004936045760368456,0,left
87,0.005623238315051481,0.0004833816871279307,0,left
88,0.0075592049956133035,0.0015135756508261621,0,left
89,0.006041947812696503,0.0024435818695366773,0,left
90,0.004440022418680975,0.0032185024708721566,0,left
91,0.005951808368034388,0.004713469901604101,0,left
92,0.006436461645251171,0.0058895328315273845,0,left
93,0.006716641996285589,0.006032382692124709,0,left
94,0.006939242265678393,0.005924385938510296,0,left
95,0.00697852455058161,0.00775375505318342,0,left
96,0.008122819150594094,0.009530409863384541,0,left
97,0.008100295105753738,0.009907828472172383,0,left
98,0.008140981830284395,0.008291390154913474,0,left
99,0.00778868131133035,0.008376885500248342,0,left
100,0.006016373720797366,0.007502716250206254,0,left
101,0.005775068565842949,0.005881361335649061,0,left
102,0.005672833051015812,0.004484494138122398,0,left
103,0.00440248597314465,0.004674065284073799,0,left
104,0.005088161195950337,0.005118981107930612,0,left
105,0.005095902886281376,0.005135268465151546,0,left
106,0.004622989669170351,0.0030785883820259397,0,other
107,0.0032851488097426513,0.002138811980266917,0,other
108,0.001330004853739279,0.0008396210210979966,0,other
109,0.0016432291477273652,0.0003936660005600677,0,other
110,0.0013330436153573537,0.0004289465508662722,0,other
111,0.0006320730830548229,0.0004226611143314277,0,other
112,0.000908501807299226,0.0007682783399698888,0,other
113,0.005504777368082689,0.0008608808564455425,0,other
114,0.0077099387182184035,0.0016348643794801387,0,other
115,0.005178696118517389,0.0025386420647992305,0,other
116,0.004006848832396422,0.0032754389141162518,0,other
117,0.004231866055135672,0.0016912259303767019,0,other
118,0.0058028389800407,0.0006572818111962437,0,other
119,0.006504692629027313,0.0009491206092253655,0,other
120,0.004204401757126623,0.0015566014308952736,0,other
121,0.0034201222331474903,0.0019963665085241523,0,other
122,0.003948417250793369,0.002127710242377576,0,right
123,0.003700227530399004,0.002365922266450372,0,right
124,0.0042208532358440605,0.0028403172814885007,0,right
125,0.005852524802423436,0.004343328884801895,0,right
126,0.005971656942820342,0.006051931078665517,0,right
127,0.007859908996817657,0.006895798122920928,0,right
128,0.008353637673449375,0.0056336757881635564,0,right
129,0.0072974284281006815,0.005877123577463332,0,right
130,0.006573272518869193,0.006879057339229293,0,right
131,0.006355198421248649,0.0071548958535829965,0,right
132,0.007542537312310947,0.0077420938402300655,0,right
133,0.007660462383988285,0.006297086883543694,0,right
134,0.00782144229534304,0.007318599824331383,0,other
135,0.00682172505488057,0.008268769903810114,0,other
136,0.007362271121078622,0.008107047256477677,0,left
137,0.007197556457680505,0.007845715637698873,0,left
138,0.0071954184470546904,0.007418480182459714,0,other
139,0.007958872494955803,0.006017907209843107,0,other
140,0.006875527751687058,0.00736450491552352,0,other
141,0.0070255036183155236,0.007233101060736808,0,other
142,0.006064635987138213,0.0066120470922344295,0,other
143,0.006501159855250107,0.004422598699812353,0,other
144,0.005933409930230265,0.004540541117344835,0,other
145,0.005746310873583448,0.0041453819567965015,0,other
146,0.0058966463387584685,0.0034537629182261886,0,other
147,0.004216970765502773,0.0027682053997312083,0,other
148,0.0036933412764004235,0.0025146289218066324,0,other
149,0.0033600078763931997,0.0024725674898376936,0,other
150,0.003100921706275947,0.004008614001945423,0,other
151,0.003547734601046969,0.0033911802052174742,0,other
152,0.001885856469431104,0.0018551468674274693,0,other
153,0.0017783547494134406,0.00111905590672849,0,other
154,0.007654193372440801,0.0009734961620963494,0,other
155,0.00908515893074697,0.0011048075865579205,0,other
156,0.005278500686941345,0.0008082275873654586,0,other
157,0.0034032591108567266,0.00020045434810533669,0,other
158,0.004419280012799976,0.00032142302857764247,0,other
159,0.00340327609055901,0.0004231976186544985,0,other
160,0.0026713079290818327,0.0010912114459381294,0,other
161,0.0032978987405774306,0.002209575275878234,0,other
162,0.004992628952719027,0.004303841668569173,0,other
163,0.006570433791627026,0.00549945838349568,0,other
164,0.007016282952674919,0.006682431275396739,0,other
165,0.006873135882006217,0.006660057360462915,0,other
166,0.006820755003418496,0.006426906986375779,0,other
167,0.007202151480767764,0.005535587833033747,0,other
168,0.007072653626818698,0.004405490947542081,0,other
169,0.0047027070979785415,0.004719258631472251,0,other
170,0.0024925225662174913,0.002138889990248271,0,other
171,0.0019150546872521016,0.0015929083640372987,0,other
172,0.0006429072710884157,0.0021143068220043438,0,other
173,0.0006671114576921514,0.001175794966631957,0,other
174,0.0010129008227739635,0.0006907604666265352,0,other
175,0.0008614565373256004,0.0006305015577985941,0,other
176,0.0016072194674736026,0.0006955622904159189,0,other
177,0.003213267174170473,0.0007311307600338111,0,other
178,0.003018939731306561,0.0006310866022874534,0,other
179,0.004894653802744283,0.0015541479491898078,0,other
180,0.009101403276728474,0.002041631774764014,0,other
181,0.008600652718707351,0.0014186135431155553,0,other
182,0.00946043716010408,0.0011526371413464421,0,other
183,0.01091036887650451,0.0010893077084209984,0,other
184,0.009644752870984532,0.0011980774036805192,0,other
185,0.005626238708005128,0.0010129714184896675,0,other
186,0.0035302361243428632,0.0011335192602313767,0,other
187,0.0042743723923263505,0.0010429122499828168,0,other
188,0.0032400472009422917,0.0007943462196566552,0,other
189,0.0019336602294070645,0.000786619343921921,0,other
190,0.0028875793144222278,0.0010351122026338953,0,other
191,0.0025849034456398934,0.001223786609569688,0,other
192,0.0031775392405166804,0.0024641760670842247,0,other
193,0.006123060831633247,0.003456458789897254,0,other
194,0.007438549518842591,0.005284506613181794,0,other
195,0.007672496225133303,0.006821878865108697,0,other
196,0.008340727056209774,0.007935019461512233,0,other
