Video,Group,obj_1,obj_2
2025_04-BSI-Hab-R01_C2n,Veh,None,None
2025_04-BSI-Hab-R02_C2i,BSI,None,None
2025_04-BSI-Hab-R03_C2d,Veh,None,None
2025_04-BSI-Hab-R04_C2a,BSI,None,None
2025_04-BSI-Hab-R05_C3n,BSI,None,None
2025_04-BSI-Hab-R06_C3i,Veh,None,None
2025_04-BSI-Hab-R07_C3d,BSI,None,None
2025_04-BSI-Hab-R08_C4i,BSI,None,None
2025_04-BSI-Hab-R09_C4d,Veh,None,None
2025_04-BSI-TR1-R01_C2n,Veh,Left,Right
2025_04-BSI-TR1-R02_C2i,BSI,Left,Right
2025_04-BSI-TR1-R03_C2d,Veh,Left,Right
2025_04-BSI-TR1-R04_C2a,BSI,Left,Right
2025_04-BSI-TR1-R05_C3n,BSI,Left,Right
2025_04-BSI-TR1-R06_C3i,Veh,Left,Right
2025_04-BSI-TR1-R07_C3d,BSI,Left,Right
2025_04-BSI-TR1-R08_C4i,BSI,Left,Right
2025_04-BSI-TR1-R09_C4d,Veh,Left,Right
2025_04-BSI-TR2-R01_C2n,Veh,Left,Right
2025_04-BSI-TR2-R02_C2i,BSI,Left,Right
2025_04-BSI-TR2-R03_C2d,Veh,Left,Right
2025_04-BSI-TR2-R04_C2a,BSI,Left,Right
2025_04-BSI-TR2-R05_C3n,BSI,Left,Right
2025_04-BSI-TR2-R06_C3i,Veh,Left,Right
2025_04-BSI-TR2-R07_C3d,BSI,Left,Right
2025_04-BSI-TR2-R08_C4i,BSI,Left,Right
2025_04-BSI-TR2-R09_C4d,Veh,Left,Right
2025_04-BSI-TS1-R01_C2n,Veh,Novel,Known
2025_04-BSI-TS1-R02_C2i,BSI,Novel,Known
2025_04-BSI-TS1-R03_C2d,Veh,Known,Novel
2025_04-BSI-TS1-R04_C2a,BSI,Known,Novel
2025_04-BSI-TS1-R05_C3n,BSI,Known,Novel
2025_04-BSI-TS1-R06_C3i,Veh,Novel,Known
2025_04-BSI-TS1-R07_C3d,BSI,Known,Novel
2025_04-BSI-TS1-R08_C4i,BSI,Known,Novel
2025_04-BSI-TS1-R09_C4d,Veh,Novel,Known
2025_04-BSI-TS2-R01_C2n,Veh,Novel,Known
2025_04-BSI-TS2-R02_C2i,BSI,Novel,Known
2025_04-BSI-TS2-R03_C2d,Veh,Known,Novel
2025_04-BSI-TS2-R04_C2a,BSI,Known,Novel
2025_04-BSI-TS2-R05_C3n,BSI,Known,Novel
2025_04-BSI-TS2-R06_C3i,Veh,Novel,Known
2025_04-BSI-TS2-R07_C3d,BSI,Known,Novel
2025_04-BSI-TS2-R08_C4i,BSI,Known,Novel
2025_04-BSI-TS2-R09_C4d,Veh,Novel,Known
