Video,Group,DI,diff,freezing_time,exploration_time_Left,exploration_time_Right,exploration_time_Novel,exploration_time_Known
2025_04-BSI-Hab-R01_C2n,Veh,,,7.066666666666666,,,,
2025_04-BSI-Hab-R03_C2d,Veh,,,2.1333333333333333,,,,
2025_04-BSI-Hab-R06_C3i,Veh,,,0.0,,,,
2025_04-BSI-Hab-R09_C4d,Veh,,,21.333333333333332,,,,
2025_04-BSI-TR1-R01_C2n,Veh,24.952718258828675,17.447153198966586,9.033333333333333,43.68400258993325,26.236849390966665,,
2025_04-BSI-TR1-R03_C2d,Veh,1.886521689364134,1.1243622424000286,5.8,30.362056965166673,29.237694722766644,,
2025_04-BSI-TR1-R06_C3i,Veh,-29.809547959073658,-13.941732834266663,76.9,16.4138102868,30.355543121066663,,
2025_04-BSI-TR1-R09_C4d,Veh,-25.48610614865636,-16.54442201459993,23.033333333333335,24.185516976133393,40.729938990733324,,
2025_04-BSI-TR2-R01_C2n,Veh,45.27383082547372,27.370954467799994,37.233333333333334,43.91370617846667,16.542751710666675,,
2025_04-BSI-TR2-R03_C2d,Veh,49.31771089616658,39.92416312186657,114.0,60.43857813426658,20.51441501240001,,
2025_04-BSI-TR2-R06_C3i,Veh,16.060046462708,15.190558788899892,27.5,54.88828948683327,39.69773069793338,,
2025_04-BSI-TR2-R09_C4d,Veh,-15.026250486747902,-16.56815106696675,9.933333333333334,46.84661419373332,63.41476526070007,,
2025_04-BSI-TS1-R01_C2n,Veh,8.442001646148656,3.4705647475000134,9.866666666666667,,,22.29062512876669,18.820060381266675
2025_04-BSI-TS1-R03_C2d,Veh,10.128315698967569,3.7002159135000205,3.1666666666666665,,,20.116797224133343,16.416581310633322
2025_04-BSI-TS1-R06_C3i,Veh,24.96695768779011,10.25657719633335,3.7333333333333334,,,25.668590954166675,15.412013757833325
2025_04-BSI-TS1-R09_C4d,Veh,-24.786553932202725,-12.621229115066672,3.6,,,19.149215698800024,31.770444813866696
2025_04-BSI-TS2-R01_C2n,Veh,-0.1293462356477406,-0.07862537069996733,18.266666666666666,,,30.35406146513337,30.432686835833337
2025_04-BSI-TS2-R03_C2d,Veh,27.3192097518154,7.255790639466657,8.8,,,16.907544887533327,9.65175424806667
2025_04-BSI-TS2-R06_C3i,Veh,-37.542184837205276,-14.946602792500013,26.066666666666666,,,12.433109028866678,27.37971182136669
2025_04-BSI-TS2-R09_C4d,Veh,-8.396491311943926,-5.074188080066612,2.8,,,27.679027739599988,32.7532158196666
2025_04-BSI-Hab-R02_C2i,BSI,,,7.233333333333333,,,,
2025_04-BSI-Hab-R04_C2a,BSI,,,0.1,,,,
2025_04-BSI-Hab-R05_C3n,BSI,,,9.133333333333333,,,,
2025_04-BSI-Hab-R07_C3d,BSI,,,104.6,,,,
2025_04-BSI-Hab-R08_C4i,BSI,,,24.966666666666665,,,,
2025_04-BSI-TR1-R02_C2i,BSI,3.3156513201475573,3.2829268023000395,23.033333333333335,51.14797788823334,47.8650510859333,,
2025_04-BSI-TR1-R04_C2a,BSI,-18.430467633410654,-13.145228902700037,7.933333333333334,29.08906588190001,42.234294784600046,,
2025_04-BSI-TR1-R05_C3n,BSI,-21.84356005802219,-10.904592767000022,63.666666666666664,19.508361902133323,30.412954669133345,,
2025_04-BSI-TR1-R07_C3d,BSI,11.310633830445148,2.401147197833353,253.23333333333332,11.81512992630002,9.413982728466667,,
2025_04-BSI-TR1-R08_C4i,BSI,1.7842711213895555,1.8992657761333405,4.6,54.1720875185667,52.27282174243336,,
2025_04-BSI-TR2-R02_C2i,BSI,11.824686826758066,6.35974399563332,114.63333333333334,30.071679319266664,23.711935323633345,,
2025_04-BSI-TR2-R04_C2a,BSI,2.2919079136075307,0.9356141762999677,47.9,20.87905857746666,19.943444401166694,,
2025_04-BSI-TR2-R05_C3n,BSI,83.7083737364437,196.00721663806718,420.96666666666664,215.08103312673384,19.073816488666676,,
2025_04-BSI-TR2-R07_C3d,BSI,3.361295967181399,0.5968277346333384,342.6666666666667,9.176354704133336,8.579526969499998,,
2025_04-BSI-TR2-R08_C4i,BSI,19.424286256870158,14.950031365666693,11.533333333333333,45.957848894733296,31.007817529066603,,
2025_04-BSI-TS1-R02_C2i,BSI,2.0465155725905255,0.8545050924000144,0.0,,,21.304325358266677,20.449820265866663
2025_04-BSI-TS1-R04_C2a,BSI,64.79080015319416,32.38751791549997,6.733333333333333,,,41.1876761797333,8.80015826423333
2025_04-BSI-TS1-R05_C3n,BSI,24.154994363146837,11.425609386099982,23.566666666666666,,,29.36341958106665,17.93781019496667
2025_04-BSI-TS1-R07_C3d,BSI,0.9805775240780388,0.27989934716667797,28.466666666666665,,,14.412117875166668,14.13221852799999
2025_04-BSI-TS1-R08_C4i,BSI,-32.67565191431092,-14.837368295433338,7.0,,,15.28532851336666,30.122696808799997
2025_04-BSI-TS2-R02_C2i,BSI,-35.71348973557415,-12.947069763066661,32.1,,,11.652766774966658,24.59983653803332
2025_04-BSI-TS2-R04_C2a,BSI,-50.57865515629829,-22.068279905466696,23.4,,,10.781663410633316,32.84994331610001
2025_04-BSI-TS2-R05_C3n,BSI,-15.565588138784875,-10.92181640926669,45.0,,,29.62230327406668,40.54411968333337
2025_04-BSI-TS2-R07_C3d,BSI,-30.330802672808932,-10.229658286566691,80.53333333333333,,,11.748651848166661,21.978310134733352
2025_04-BSI-TS2-R08_C4i,BSI,-39.533870657194484,-20.926593798266744,6.533333333333333,,,16.003367571599988,36.92996136986673
