Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,left
34,0.0,0.0,0,left
35,0.0,0.0,0,left
36,0.0,0.0,0,left
37,0.0,0.0,0,left
38,0.0,0.0,0,left
39,0.0,0.0,0,left
40,0.0,0.0,0,left
41,0.0,0.0,0,left
42,0.0,0.0,0,left
43,0.0,0.0,0,left
44,0.0,0.0,0,left
45,0.0,0.0,0,left
46,0.0,0.0,0,left
47,0.0,0.0,0,left
48,0.0,0.0,0,left
49,0.0,0.0,0,left
50,0.0,0.0,0,left
51,0.0,0.0,0,left
52,0.0,0.0,0,left
53,0.0,0.0,0,left
54,0.0,0.0,0,left
55,0.0,0.0,0,left
56,0.0,0.0,0,left
57,0.0,0.0,0,left
58,0.0,0.0,0,left
59,0.0,0.0,0,left
60,0.0,0.0,0,left
61,0.0,0.0,0,left
62,0.0010706332690115,0.0002543700958462,0,left
63,0.0042683555317017,0.0004606260492625,0,left
64,0.0076878687043405,0.000189809166851,0,left
65,0.0036533552046751,6.399014242822976e-05,0,left
66,0.0011780751909136,0.0002935525154941,0,left
67,0.0002426027965014,0.0007887405753202,0,left
68,0.0001883165168163,7.298493700453504e-05,0,left
69,0.0001774243473349,0.0007373757583057,0,left
70,4.59594919794586e-05,0.0001865213377403,0,left
71,5.6630642106682845e-05,0.000207288458508,0,left
72,0.0002177911353947,0.0007540683448113,0,left
73,7.666165548886096e-05,0.0002021380237696,0,left
74,5.214021782446355e-05,5.944392899091555e-05,0,left
75,7.543884162873974e-05,2.1423225950068112e-05,0,left
76,6.997348208263805e-05,5.392706533169165e-05,0,left
77,7.417796569525978e-05,8.194757307206595e-05,0,left
78,0.0001057890556241,4.613021147346131e-05,0,left
79,2.232036351351444e-05,3.222464140303803e-05,0,left
80,0.0001256438439071,5.785594085082228e-06,1,left
81,0.0003021498477181,2.1282359636623383e-05,1,left
82,7.317668171970012e-05,1.5067351764786788e-05,1,left
83,4.917151810755415e-05,4.096177416591206e-05,1,left
84,0.000102350771644,1.080722084096372e-05,0,left
85,6.26683586703502e-05,7.869695740226968e-05,0,left
86,3.5490370117308635e-05,5.3348545709707055e-05,0,left
87,1.873399093964749e-05,2.6348627521642043e-05,0,left
88,1.5053263683125302e-05,1.02761640591569e-05,0,left
89,3.617705759918197e-05,1.017721967902381e-05,0,left
90,3.331315313066787e-05,1.4018710224526976e-05,0,left
91,0.0001082123904842,6.132241092937852e-05,0,left
92,2.910467158387538e-05,1.3735602521133389e-05,0,left
93,9.57306850190913e-06,3.266108966246764e-05,0,left
94,2.362652904702681e-05,5.656179621771172e-05,0,left
95,3.591253681114607e-05,0.0001512767718896,0,left
96,0.0002202861876771,0.0006582068427271,0,left
97,0.0020242760268147,0.0001411623766648,0,left
98,0.0069522694151595,0.0003162751156042,0,left
99,0.0059853363164035,0.0004276541302416,0,left
100,0.0031607257074016,0.0001008439582614,0,left
101,0.0025966221191924,0.0001004681938436,0,left
102,0.0030971186954055,9.52411951624812e-05,0,left
103,0.001683698799701,0.000122132881047,0,left
104,0.002422602285054,0.000113287714164,0,left
105,0.0015180074552968,0.0002394152816983,0,left
106,0.0019122924411327,8.809106368838208e-05,0,left
107,0.0027608172734696,7.990527886538665e-05,0,left
108,0.0028534327679519,0.0001938174965633,0,left
109,0.0020164426876923,0.0005305186314617,0,left
110,0.0015485211421304,0.0007984046874359,0,left
111,0.001923787236223,0.0009081273355183,0,left
112,0.0012120664926958,0.0003120495664649,0,left
113,0.0008037521557769,0.0001471095820397,0,left
114,0.0014759612128705,9.231162821281046e-05,0,left
115,0.000957763854954,0.0001357236074737,0,left
116,8.170104610337797e-05,7.514317309778236e-05,0,left
117,0.0008497276981448,0.0001196830033158,0,left
118,0.0007944027001085,8.33555850081369e-05,0,left
119,0.0004184322564493,5.609839311185111e-05,0,left
120,0.0004620761277514,1.6112006792209896e-05,0,left
121,0.0007051299458069,6.060629183347177e-05,0,left
122,0.0020878179436659,0.0002742888433444,0,left
123,0.0072618900130596,0.0008228758355039,0,left
124,0.0094187493497487,0.0007772761429031,0,left
125,0.0073336219107455,0.0014920350626658,0,left
126,0.0035668948355742,0.0009709030371247,0,left
127,0.0044974090524578,0.0007728545811059,0,left
128,0.0038849800432539,0.000210523859063,0,left
129,0.0026445112216444,5.015330539237171e-05,0,left
130,0.0027617737795906,2.762840131929446e-05,0,left
131,0.0027184889419024,0.0001827450259487,0,left
132,0.0020410765044724,0.0005359604646727,0,left
133,0.0021224700743318,0.0007746226060426,0,left
134,0.0017634435232346,0.0009403106828834,0,left
135,0.0015504871251832,0.0009655112206656,0,left
136,0.0016841499464476,0.0007942706979509,0,left
137,0.0014689440290561,0.0012741816181152,0,left
138,0.0014317271634232,0.0009394531715606,0,left
139,0.0016959212569159,0.0007858592960001,0,left
140,0.001573088932541,0.0006543737608933,0,left
141,0.0034557018720498,9.90798955467026e-05,0,left
142,0.0056918274587571,0.0002397082176834,0,left
143,0.00338649735211,0.00042182894364,0,left
144,0.0028392569441984,0.0001477018417564,0,left
145,0.0014546336819135,0.0001899948847955,0,left
146,0.0015110722652031,0.0006127559593368,0,left
147,0.001346194895215,0.0005416281169114,0,left
148,0.0012666189752517,0.0003327869332192,0,left
149,0.0015041079516538,0.0001578825000104,0,left
150,0.0010003488556318,0.0001967187865386,0,left
151,0.0011110810279542,3.225234874005842e-05,0,left
152,0.0022160253692999,0.0001397583120335,0,left
153,0.0020486961057573,0.0004376920716195,0,left
154,0.0020329922043312,0.0003250946235102,0,left
155,0.003815488093036,0.0007327773146442,0,left
156,0.0034420571762873,0.0009792324369359,0,left
157,0.0017406455731691,0.0005184097944112,0,left
158,0.0012649906148917,0.0001561471277337,0,left
159,0.001200472823651,5.074965431222055e-05,0,left
160,0.0011815029203013,0.0001204192608133,0,left
161,0.0008800101576951,0.0001846305615726,0,left
162,0.002544462004327,0.0003782670491997,0,left
163,0.0022817234812411,0.000491889319859,0,left
164,0.0008416195352314,0.000391847116578,0,left
165,0.0010633862147877,0.0002181432870481,0,left
166,0.002828815302857,0.0003328014515691,0,left
167,0.002776104445067,0.0006947629736066,0,left
168,0.0028724823258671,0.0008500307752513,0,left
169,0.0026559462498444,0.0009381456376319,0,left
170,0.0017008918816328,0.0004991978295319,0,left
171,0.0020956325195031,0.0002762692983138,0,left
172,0.0014739811897553,0.0003155805429414,0,left
173,0.0006420831333069,0.0002826208352831,0,left
174,0.0012382885273894,0.000607057549152,0,left
175,0.0013705175749516,0.0010622469407661,0,left
176,0.0004557068404941,0.0007471369834487,0,left
177,0.000218785980367,0.0002302632870896,0,left
178,0.0005289341599138,0.0001268984489813,0,left
179,0.0002392345491561,0.0001703795449701,0,left
180,0.000320252812645,8.808475692218389e-05,0,left
181,0.0006848214163108,6.27538981629863e-05,0,left
182,0.0002752396537131,9.640398905857102e-05,0,left
183,0.0002359396388151,5.533947716654853e-06,0,left
184,0.0011677874322621,0.0001599965832413,0,left
185,0.0007929814567754,0.0004879553624698,0,left
186,0.0004330138651279,0.0004900632129698,0,left
187,0.0008510684714171,0.0002041022802695,0,left
188,0.0017442304136225,0.0001326389014148,0,left
189,0.0013797999240472,0.0002877718027296,0,left
190,0.0027557188442464,0.0003453707697312,0,left
191,0.0028111761825669,0.0002570279550241,0,left
192,0.0029273790931379,0.0006776331623954,0,left
193,0.0034107091339475,0.0002779488030518,0,left
194,0.0030052515836348,0.0006533681844288,0,left
195,0.0030545000247732,0.0011181810665085,0,left
196,0.0031621572881737,0.0012724858489146,0,left
