Frame,nose_dist,body_dist,freezing,location,Left,Right
1,0.0,0.0,0,other,0.0,0.0
2,0.0,0.0,0,other,0.0,0.0
3,0.0,0.0,0,other,0.0,0.0
4,0.0,0.0,0,other,0.0,0.0
5,0.0,0.0,0,other,0.0,0.0
6,0.0,0.0,0,other,0.0,0.0
7,0.0,0.0,0,other,0.0,0.0
8,0.0,0.0,0,other,0.0,0.0
9,0.0,0.0,0,other,0.0,0.0
10,0.0,0.0,0,other,0.0,0.0
11,0.0,0.0,0,other,0.0,0.0
12,0.0,0.0,0,other,0.0,0.0
13,0.0,0.0,0,other,0.0,0.0
14,0.0,0.0,0,other,0.0,0.0
15,0.0,0.0,0,other,0.0,0.0
16,0.0,0.0,0,other,0.0,0.0
17,0.0,0.0,0,other,0.0,0.0
18,0.0,0.0,0,other,0.0,0.0
19,0.0,0.0,0,other,0.0,0.0
20,0.0,0.0,0,other,0.0,0.0
21,0.0,0.0,0,other,0.0,0.0
22,0.0,0.0,0,other,0.0,0.0
23,0.0,0.0,0,other,0.0,0.0
24,0.0,0.0,0,other,0.0,0.0
25,0.0,0.0,0,other,0.0,0.0
26,0.0,0.0,0,left,0.0,0.0
27,0.0,0.0,0,left,0.0,0.0
28,0.0,0.0,0,left,0.0,0.0
29,0.0,0.0,0,left,0.0,0.0
30,0.0,0.0,0,left,0.0,0.0
31,0.0,0.0,0,other,0.0,0.0
32,0.0,0.0,0,other,0.0,0.0
33,0.0,0.0,0,other,0.21833608,0.0
34,0.0,0.0,0,other,0.42587993,0.0
35,0.0,0.0,0,other,0.6000505,0.0
36,0.0,0.0,0,other,0.7101685,0.0
37,0.0,0.0,0,other,0.7823615,0.0
38,0.0,0.0,0,other,0.8324746,0.0
39,0.0,0.0,0,other,0.8391076,0.0
40,0.0,0.0,0,other,0.834456,0.0
41,0.0,0.0,0,other,0.8326329,0.0
42,0.0,0.0,0,other,0.8295839,0.0
43,0.0,0.0,0,other,0.82881135,0.0
44,0.0,0.0,0,other,0.8272984,0.0
45,0.0,0.0,0,other,0.8239761,0.0
46,0.0,0.0,0,other,0.8209031,0.0
47,0.0,0.0,0,other,0.8181773,0.0
48,0.0,0.0,0,other,0.81293344,0.0
49,0.0,0.0,0,other,0.80219865,0.0
50,0.0,0.0,0,other,0.769761,0.0
51,0.0,0.0,0,other,0.6760261,0.0
52,0.0,0.0,0,other,0.577275,0.0
