Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,left
29,0.0,0.0,0,left
30,0.0,0.0,0,left
31,0.0,0.0,0,left
32,0.0,0.0,0,left
33,0.0,0.0,0,left
34,0.0,0.0,0,left
35,0.0,0.0,0,left
36,0.0,0.0,0,left
37,0.0,0.0,0,left
38,0.0,0.0,0,left
39,0.0,0.0,0,left
40,0.0,0.0,0,left
41,0.0,0.0,0,left
42,0.0,0.0,0,left
43,0.0,0.0,0,left
44,0.0,0.0,0,left
45,0.0,0.0,0,left
46,0.0,0.0,0,left
47,0.0,0.0,0,left
48,0.0,0.0,0,left
49,0.0,0.0,0,left
50,0.0,0.0,0,left
51,0.0,0.0,0,left
52,0.0,0.0,0,left
53,0.0,0.0,0,left
54,0.0,0.0,0,left
55,0.0,0.0,0,left
56,0.0,0.0,0,left
57,0.0,0.0,0,left
58,0.0,0.0,0,left
59,0.0,0.0,0,left
60,0.0,0.0,0,left
61,0.0,0.0,0,left
62,0.0001780785925187,3.000676871279648e-05,0,left
63,0.0002103002278914,1.8538128055864823e-05,0,left
64,0.0001964276250526,6.107285603457557e-05,0,left
65,5.000818808184494e-05,0.0001175241799023,0,left
66,0.0010395245170089,1.5605936424132362e-05,0,left
67,0.0054967114639061,0.0001836827925894,0,left
68,0.0097664560577598,0.0002379648943767,0,left
69,0.0073543783900789,0.0001272561966346,0,left
70,0.0063417628153049,4.377908980069388e-05,0,left
71,0.0027242700566104,0.0001517524649181,0,left
72,0.0018608481785728,5.602034717515628e-05,0,left
73,0.0018928223705635,5.357881309670664e-05,0,left
74,0.0015182509431549,0.0001365169261846,0,left
75,0.0018483863295824,0.0001838831917751,0,left
76,0.0013882216127067,0.0002736366417738,0,left
77,0.001516603959717,0.0002391296813512,0,left
78,0.0015815455371792,0.0001645304982744,0,left
79,0.0010421767823597,5.6299339179748657e-05,0,left
80,0.0008831778848401,0.0002827160817397,0,left
81,0.0016756853681737,0.0002951266073972,0,left
82,0.0050672744322524,0.0006655917626536,0,left
83,0.0112891902023931,0.0015714247762192,0,left
84,0.0121225935327256,0.0013613286786212,0,left
85,0.0085993183456525,0.0015298865321413,0,left
86,0.0041867123635961,0.0017090329374264,0,left
87,0.0012298676914669,0.0003058221783795,0,left
88,0.0007736018528262,0.0003337433399082,0,left
89,0.0013474941501471,0.0001210735201248,0,left
90,0.0020990764917709,0.0002917179692998,0,left
91,0.0028880600587476,0.0001200329976301,0,left
92,0.0025579599489773,0.0004815369907133,0,left
93,0.0019831756577145,0.0002534717439526,0,left
94,0.0021890971556266,0.0002755480386924,0,left
95,0.001822861232508,0.0002590913030204,0,left
96,0.0008361835190036,4.083884956851338e-05,0,left
97,0.0012075179921439,0.0001855310280041,0,left
98,0.0012156183118467,0.0001105012559893,0,left
99,0.0005806232066432,0.0001362603710329,0,left
100,0.0006802995630378,7.145165457038614e-05,0,left
101,0.0007580641782259,1.38948477750474e-05,0,left
102,0.0002047145776109,9.17563778884826e-05,0,left
103,0.000252862215772,0.0001900992380283,0,left
104,7.394526358712404e-05,3.906817122768928e-05,0,left
105,3.050549693558214e-05,0.0001524550647323,0,left
106,5.705340971706848e-05,1.3075547181942476e-05,0,left
107,0.000116969157044,0.0001574877244504,0,left
108,0.0001406035282401,8.910668637737221e-05,0,left
109,3.4562993692718386e-05,3.522810307358764e-05,0,left
110,8.165046246377607e-05,0.0001842431855225,0,left
111,0.0002208156770465,4.072838211137927e-05,0,left
112,5.806312419522424e-05,4.426428208979756e-05,0,left
113,0.0001422831187081,2.805314289437864e-05,0,left
114,0.0012174252755419,7.934864072948536e-05,0,left
115,0.0035323830037163,0.0001935096452429,0,left
116,0.0040728120205192,0.0003497233740957,0,left
117,0.0044783330080784,0.0004358632196044,0,left
118,0.0036048685440335,0.0002148982858915,0,left
119,0.0034556103126053,0.0009382217794112,0,left
120,0.002602597743638,0.0007001203877474,0,left
121,0.0022092864362336,0.0008600459968001,0,left
122,0.0025640953156383,0.001190172338945,0,left
123,0.0029361743356464,0.0012329093672562,0,left
124,0.0023634259327472,0.0009357128577321,0,left
125,0.0023862099782465,0.0006564809734189,0,left
126,0.0023987558753967,0.0008000352966676,0,left
127,0.0019289817149023,0.0007972369626696,0,left
128,0.002578169532151,0.0008315578353882,0,left
129,0.0022104990307965,0.0012306026930935,0,left
130,0.0029479527538617,0.0023061638460596,0,other
131,0.0037806194091327,0.0017583547055856,0,other
132,0.0025870771448612,0.0015741489338885,0,other
133,0.0020408576795919,0.0012607002383546,0,other
134,0.0019538343987949,0.0018762228233602,0,other
135,0.0018985101741128,0.0038126648417055,0,other
136,0.0022669612619325,0.0013358343293191,0,other
137,0.0020237589190819,0.0006536380259759,0,other
138,0.002492759980204,0.0018317874992402,0,other
139,0.0036211002574939,0.0031616834230855,0,other
140,0.0027578315909127,0.0032460192767271,0,other
141,0.0030655695183319,0.0022489012653467,0,other
142,0.0038417653921324,0.0019361938287714,0,other
143,0.0024740885042256,0.0025118597476739,0,other
144,0.0030905055808997,0.0029197863259351,0,other
145,0.0042628664733505,0.0028844146465037,0,other
146,0.0034557492616653,0.0019858503698749,0,other
147,0.0043313648852375,0.0030022340689197,0,other
148,0.0034864590112662,0.0036232858169407,0,other
149,0.003702258123728,0.0021289698586197,0,other
150,0.0042163276951155,0.0029477977181922,0,other
151,0.0029628493524917,0.0035799656769976,0,other
152,0.002631039449659,0.00220508698781,0,other
153,0.002139675378554,0.0021886006519876,0,other
154,0.002147588604042,0.003578550642013,0,other
155,0.0025596726580251,0.0025355976325773,0,other
156,0.0029077431187051,0.0019769763331611,0,other
157,0.0041791604843513,0.0022842096706008,0,other
158,0.0035099855537521,0.0020048093563599,0,other
159,0.0020870994301768,0.0019976603277025,0,other
160,0.0007711527037965,0.0012914674747962,0,other
161,0.00053475726445,0.0004393802628671,0,other
162,0.0001076975480683,0.0001332331860443,0,other
163,0.0015390355517112,0.0001644995044605,0,other
164,0.0030526887859278,0.0011700751952594,0,other
165,0.0013106524730701,0.0025570033879064,0,other
166,0.0008385920171912,0.0006872667372669,0,other
167,0.0019392771805927,0.0005482439155596,0,other
168,0.0023538746736704,0.0009884157589294,0,other
169,0.0023091713070721,0.0009702612595501,0,other
170,0.0026643006267991,0.0011242549999569,0,other
171,0.0019789619537847,0.0006339684000405,0,other
172,0.002245043760804,0.0010948477449916,0,other
173,0.0020331046233265,0.0003795761401339,0,other
174,0.0020068011154115,0.000346971132447,0,other
175,0.0044480003789301,0.0013904470335514,0,other
176,0.0042853917770695,0.0007048339378006,0,other
177,0.0022912027201302,0.0004579080732276,0,other
178,0.0032481218621542,0.0005743494510491,0,other
179,0.0024952004458089,0.0004210038371489,0,other
180,0.00148334471046,0.0002966798517623,0,other
181,0.0011316546982792,0.0002074358720753,0,other
182,0.0010427366902157,0.0001384286693887,0,other
183,0.0004404323712601,0.0001731941151276,0,other
184,0.0001755379648041,0.0001897051304337,0,other
185,0.0003906636905729,0.000259040645335,0,other
186,0.0011988918274252,0.0004116740527742,0,other
187,0.0025303050633822,0.0005929701775116,0,other
188,0.0040879670211427,0.0005853450196716,0,other
189,0.0019937969471965,0.0004431628794731,0,other
190,0.0007296015383518,0.000180498199248,0,other
191,0.0014846447894024,6.694057324564593e-05,0,other
192,0.0067713705645327,0.0003676287152456,0,other
193,0.0085151368288371,0.0003666477785491,0,other
194,0.0039510600920943,0.0002290233997783,0,other
195,0.0028014586194223,0.0004411316500523,0,other
196,0.0019864432197718,0.000449499171393,0,other
197,0.0028706982205013,0.0007899343303251,0,other
198,0.003832284345265,0.0012431478092986,0,other
199,0.0041443325694125,0.0015268793751618,0,other
