Frame,nose_dist,body_dist,freezing,location,Left,Right
1,0.0,0.0,0,right,0.0,0.0
2,0.0,0.0,0,right,0.0,0.0
3,0.0,0.0,0,right,0.0,0.0
4,0.0,0.0,0,right,0.0,0.0
5,0.0,0.0,0,right,0.0,0.0
6,0.0,0.0,0,right,0.0,0.0
7,0.0,0.0,0,right,0.0,0.0
8,0.0,0.0,0,right,0.0,0.13393416
9,0.0,0.0,0,right,0.0,0.22164981
10,0.0,0.0,0,other,0.0,0.28722996
11,0.0,0.0,0,left,0.0,0.31685463
12,0.0,0.0,0,left,0.0,0.31128246
13,0.0,0.0,0,left,0.0,0.27776867
14,0.0,0.0,0,left,0.0,0.23253971
15,0.0,0.0,0,left,0.0,0.1927348
16,0.0,0.0,0,left,0.0,0.16540295
17,0.0,0.0,0,left,0.0,0.14999174
18,0.0,0.0,0,left,0.0,0.143994
19,0.0,0.0,0,left,0.0,0.14416528
20,0.0,0.0,0,left,0.0,0.14431798
21,0.0,0.0,0,left,0.0,0.13661483
22,0.0,0.0,0,left,0.0,0.12235427
23,0.0,0.0,0,left,0.0,0.114387274
24,0.0,0.0,0,left,0.0,0.12255736
25,0.0,0.0,0,left,0.0,0.1391286
26,0.0,0.0,0,left,0.0,0.15118992
27,0.0,0.0,0,left,0.0,0.15624751
28,0.0,0.0,0,left,0.0,0.14829873
29,0.0,0.0,0,left,0.0,0.11593697
30,0.0,0.0,0,left,0.0,0.0
31,0.0,0.0,0,left,0.0,0.0
32,0.0,0.0,0,left,0.0,0.0
33,0.0,0.0,0,left,0.0,0.0
34,0.0,0.0,0,left,0.0,0.0
35,0.0,0.0,0,left,0.0,0.0
36,0.0,0.0,0,left,0.0,0.0
37,0.0,0.0,0,left,0.0,0.0
38,0.0,0.0,0,left,0.0,0.0
39,0.0,0.0,0,left,0.0,0.0
40,0.0,0.0,0,left,0.0,0.0
41,0.0,0.0,0,left,0.0,0.0
42,0.0,0.0,0,left,0.0,0.0
43,0.0,0.0,0,left,0.0,0.0
44,0.0,0.0,0,other,0.0,0.0
45,0.0,0.0,0,other,0.0,0.0
46,0.0,0.0,0,other,0.13946459,0.0
47,0.0,0.0,0,other,0.390673,0.0
48,0.0,0.0,0,other,0.6588444,0.0
49,0.0,0.0,0,other,0.8995036,0.0
50,0.0,0.0,0,other,0.9503975,0.0
51,0.0,0.0,0,other,0.9601585,0.0
52,0.0,0.0,0,other,0.96525615,0.0
