Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,other
34,0.0,0.0,0,other
35,0.0,0.0,0,other
36,0.0,0.0,0,other
37,0.0,0.0,0,other
38,0.0,0.0,0,other
39,0.0,0.0,0,other
40,0.0,0.0,0,other
41,0.0,0.0,0,other
42,0.0,0.0,0,other
43,0.0,0.0,0,other
44,0.0,0.0,0,other
45,0.0,0.0,0,other
46,0.0,0.0,0,other
47,0.0,0.0,0,other
48,0.0,0.0,0,other
49,0.0,0.0,0,other
50,0.0,0.0,0,other
51,0.0,0.0,0,other
52,0.0034165811022073373,0.0031935348156764427,0,other
53,0.009546268252811355,0.008759196574764648,0,other
54,0.007933770372178345,0.006996262940884656,0,other
55,0.011036618268078996,0.006961844070724049,0,other
56,0.005817234149579123,0.004957817531607436,0,other
57,0.0022284512661007597,0.0025512597741601094,0,other
58,0.005895115602283484,0.006496582985456972,0,other
59,0.003523424579419246,0.0037802945681354506,0,other
60,0.006134709357387235,0.0031501315102851956,0,other
61,0.005401295801406242,0.001767720079942772,0,other
62,0.00440183141844555,0.0014880834539421838,0,other
63,0.003965297804631159,0.0020735731470528738,0,other
64,0.0021113430098841143,0.002378290703489941,0,other
65,0.006466248817722436,0.008112657716515544,0,other
66,0.0056336230827801845,0.003704447130769173,0,other
67,0.007022224816826928,0.006405595925246787,0,other
68,0.00646756856024274,0.0066021300891192305,0,other
69,0.005157578971725481,0.004427067275178065,0,other
70,0.007480976633783129,0.008669016955329692,0,other
71,0.015392462884214054,0.012281707080296795,0,other
72,0.009988998999203375,0.006546509243010698,0,other
73,0.010658602574765176,0.009956710838380156,0,other
74,0.006433414316007421,0.008222876108189087,0,other
75,0.004414145798163216,0.004541531506539274,0,other
76,0.0037049886680117256,0.004431259148411914,0,other
77,0.002523937840030434,0.0027162887374663587,0,other
78,0.009084809089010293,0.007365006668708589,0,other
79,0.009748942912070927,0.004209695247413317,0,other
80,0.008952927822931347,0.0032352795096405006,0,other
81,0.005683830771687704,0.003428555411829111,0,other
82,0.0024903110424489274,0.0020202593291797355,0,other
83,0.006827519750841129,0.004904488385888646,0,other
84,0.0076163041066889745,0.006191579126213883,0,other
85,0.009747648277111153,0.00962775915585236,0,other
86,0.007740595052737363,0.007939223434382301,0,other
87,0.008675441352689462,0.010190191338040997,0,other
88,0.007354071795366683,0.006050604308754698,0,other
89,0.0063401654796742465,0.006199993086800491,0,other
90,0.005833524143774433,0.006871924303469978,0,other
91,0.005326080494187546,0.0069001298323451395,0,other
92,0.005699482693330273,0.0062555717488670904,0,other
93,0.007703160496238639,0.007261037863641837,0,other
94,0.0023113629992411538,0.002441495722967634,0,other
95,0.00363744205338056,0.004006021903583768,0,other
96,0.00811994255648588,0.005514920420304725,0,other
97,0.00986104517878128,0.008546854466275348,0,other
98,0.004333585989707087,0.004113759989123392,0,other
99,0.009939331489933517,0.008948492089254481,0,other
100,0.007767230359910693,0.005085464895808093,0,other
101,0.00803653389706021,0.006512793798236391,0,other
102,0.003281335005394929,0.002810089111326723,0,other
103,0.0005141016924176256,0.0008121182221886207,0,other
104,0.0008024072825728928,0.0005133965558709453,0,other
105,0.004020033487617721,0.00035403215908608843,0,other
106,0.005722152934567246,0.0004240655915982128,0,other
107,0.008461778060586577,0.001172405437118316,0,other
108,0.004476780727006809,0.0011180611113417588,0,other
109,0.0008967363833124049,0.0004341390689161042,0,other
110,0.0007310850230148283,0.001424184315063144,0,other
111,0.00021374720495080147,0.0003891845565361305,0,other
112,0.0006331465879296283,0.0009007269301857114,0,other
113,0.0015093655404745823,0.0018353515094637607,0,other
114,0.00042239526383181403,0.0011895330263511734,0,other
115,0.000244682729154019,0.0003621759050824149,0,other
116,0.0009151105693654259,0.00040537789955997534,0,other
117,0.002622519842239385,9.854768467997991e-05,0,other
118,0.0007752079362207606,1.2118451468048482e-05,0,other
119,0.0009857036602321171,6.062399811185106e-05,0,other
120,0.0010531806369700363,8.258028184544134e-05,0,other
121,0.0016913918379051617,9.717991678033027e-05,0,other
122,0.00040280697748487366,2.346911737316465e-05,0,other
123,6.447203485697065e-05,9.84735363868613e-05,0,other
124,0.00031335975592984935,0.00041824107609560684,0,other
125,0.00045456652236601123,0.00020111959250676933,0,other
126,0.0012218236752333678,0.00012005309346429342,0,other
127,0.0009766732089381892,0.0003170266392601717,0,other
128,0.0019833558943787755,0.00026636573109451356,0,other
129,0.0007349831278524534,0.0004548116529967544,0,other
130,0.0007700225024468203,0.00034709748875431755,0,other
131,0.0010057234603202828,0.00032780139792721913,0,other
132,0.0010741417632925193,0.0001770860019994815,0,other
133,0.0009718574569057327,0.0005174861294276119,0,other
134,0.0006571922292901501,0.0001286994392916171,0,other
135,0.0001480625209959205,7.909930282579581e-05,0,other
136,0.00019934802573685396,0.00031844551979408174,0,other
137,0.0007978186396173206,0.00012576797956217838,0,other
138,0.0009912262464630216,0.00013436679058135797,0,other
139,0.0026761691217990526,0.0002517253696506709,0,other
140,0.011637197137466266,0.0007620488097133342,0,other
141,0.008315127906380186,0.0006503604459695922,0,other
142,0.006153668377007319,0.0013672563534946217,0,other
143,0.0020234697278574496,0.0009161905165992182,0,other
144,0.0017003985200389335,0.0005913606098236042,0,other
145,0.002120239929395071,0.00048262636016442796,0,other
146,0.002446131588020833,0.00038024719125383125,0,other
147,0.003197965064403248,0.0006717922980760172,0,other
148,0.003155803932885842,0.0008110345690190988,0,other
149,0.0027028136858307816,0.001511608759594163,0,other
150,0.0028533154973245673,0.0018996553736576555,0,other
151,0.0008139509351838938,0.0011777411761927062,0,other
152,0.00042896227484881424,0.0005611801698190765,0,other
153,0.0015051841880167772,0.0014160778851046887,0,other
154,0.0008576254474587755,0.001170032733068225,0,other
155,0.0025441766648985997,0.001661124180659065,0,other
156,0.0026585603504038625,0.0012795846215075928,0,other
157,0.001481199066615436,0.0009066331737357551,0,other
158,0.004119227319111504,0.0027565699437162423,0,other
159,0.003655459331906784,0.002361523620246588,0,other
160,0.005695262355029972,0.004348315127264222,0,other
161,0.003224741495106808,0.0024389038663798672,0,other
162,0.002645800306877917,0.0014021351543707463,0,other
163,0.0007018589291684394,0.0002784168180784712,0,other
164,0.0009770013209334356,3.441092452460501e-05,0,other
165,0.004402060151109235,0.00045542078754083436,0,other
166,0.0066305045676025775,0.0028690065542223294,0,other
167,0.013727154621990012,0.00755314997365775,0,other
168,0.008113226290149354,0.005476164388319177,0,other
169,0.006052720992773112,0.001983202829102781,0,other
170,0.005844616146875793,0.00029039020471808533,0,other
171,0.0054224105905595465,0.00012928604743127554,0,other
172,0.0026401474452228957,0.0007699016424196904,0,other
173,0.004330116686127253,0.0011859834010691684,0,other
174,0.0038795319927847015,0.0004820328599360147,0,other
175,0.003654342163942727,0.0006138768048748411,0,other
176,0.00321517745837114,0.0011179291764070421,0,other
177,0.004046923535803912,0.0019965339412644713,0,other
178,0.0009066967391926278,0.0011339605077682795,0,other
179,4.9915844467103625e-05,0.0002754711883375735,0,other
180,0.00037401369170680926,0.0006693868663751894,0,other
181,0.0015507988587731417,0.0005743841775100702,0,other
182,0.003590166065455083,0.0005564427555270248,0,other
183,0.0022021963780305054,0.0008354180195805148,0,other
184,0.0006797349137525497,0.0005967997303441939,0,other
185,0.0016730218841596268,0.0017626778298721988,0,other
186,0.001940370833293708,0.002766181225780428,0,other
187,0.003181004401165255,0.006584073353005219,0,other
188,0.00420534218322011,0.004462124838741147,0,other
189,0.007715414222960884,0.00407866476532671,0,other
190,0.00865214396211782,0.004318982256916268,0,other
