Frame,nose_dist,body_dist,freezing,location
1,0.0,0.0,0,left
2,0.0,0.0,0,left
3,0.0,0.0,0,left
4,0.0,0.0,0,left
5,0.0,0.0,0,left
6,0.0,0.0,0,left
7,0.0,0.0,0,left
8,0.0,0.0,0,left
9,0.0,0.0,0,left
10,0.0,0.0,0,left
11,0.0,0.0,0,left
12,0.0,0.0,0,left
13,0.0,0.0,0,left
14,0.0,0.0,0,left
15,0.0,0.0,0,left
16,0.0,0.0,0,left
17,0.0,0.0,0,other
18,0.0,0.0,0,right
19,0.0,0.0,0,right
20,0.0,0.0,0,right
21,0.0,0.0,0,right
22,0.0,0.0,0,right
23,0.0,0.0,0,right
24,0.0,0.0,0,right
25,0.0,0.0,0,right
26,0.0,0.0,0,right
27,0.0,0.0,0,right
28,0.0,0.0,0,right
29,0.0,0.0,0,right
30,0.0,0.0,0,right
31,0.0,0.0,0,right
32,0.0,0.0,0,right
33,0.0,0.0,0,right
34,0.0,0.0,0,right
35,0.0,0.0,0,right
36,0.0,0.0,0,right
37,0.0,0.0,0,right
38,0.0,0.0,0,right
39,0.0,0.0,0,right
40,0.0,0.0,0,right
41,0.0,0.0,0,right
42,0.0,0.0,0,right
43,0.0,0.0,0,right
44,0.0,0.0,0,right
45,0.0,0.0,0,right
46,0.0,0.0,0,right
47,0.0,0.0,0,right
48,0.0,0.0,0,right
49,0.0,0.0,0,right
50,0.0,0.0,0,right
51,0.0,0.0,0,right
52,0.008734993110754262,0.008303475645668417,0,right
53,0.00753217237886104,0.0075781751015296635,0,right
54,0.0070093034335524775,0.006966883015874325,0,right
55,0.006055663977875503,0.005583380822476118,0,right
56,0.0068030871802750035,0.007153886662216114,0,right
57,0.006522694596335935,0.009360129058119554,0,right
58,0.005573326783027579,0.0050235066809037054,0,right
59,0.0034530976077172476,0.0034282598628007006,0,right
60,0.004100869975907814,0.003505128173406852,0,right
61,0.006110445084748257,0.005544023591958142,0,right
62,0.011463812009285172,0.010563934000892627,0,right
63,0.00713303611971035,0.006722624643661572,0,right
64,0.007170342959522462,0.005760183561639708,0,right
65,0.004897219461888418,0.006036494784157226,0,right
66,0.005478929862958011,0.00580282312545402,0,right
67,0.006125800990444856,0.006768469787110852,0,right
68,0.004510472232598243,0.0037903932506286584,0,right
69,0.003242054700539049,0.003943744173557789,0,right
70,0.0019926377113836853,0.003105097349258589,0,right
71,0.0019462788507646125,0.0015937281933062172,0,right
72,0.0023912093548002448,0.00047761792114145744,0,right
73,0.002022300063441904,8.53929776892247e-05,0,right
74,0.0012177210510446476,0.000706224648016601,0,right
75,0.0009572722783350796,0.0006261426880209574,0,right
