Video,Group,obj_1,obj_2
NOR_Hab_R01,Group_2,None,None
NOR_Hab_R02,Group_1,None,None
NOR_Hab_R03,Group_2,None,None
NOR_Hab_R04,Group_1,None,None
NOR_Hab_R05,Group_1,None,None
NOR_Hab_R06,Group_2,None,None
NOR_TR_R01,Group_2,Left,Right
NOR_TR_R02,Group_1,Left,Right
NOR_TR_R03,Group_2,Left,Right
NOR_TR_R04,Group_1,Left,Right
NOR_TR_R05,Group_1,Left,Right
NOR_TR_R06,Group_2,Left,Right
NOR_TS_R01,Group_2,Known,Novel
NOR_TS_R02,Group_1,Known,Novel
NOR_TS_R03,Group_2,Novel,Known
NOR_TS_R04,Group_1,Novel,Known
NOR_TS_R05,Group_1,Known,Novel
NOR_TS_R06,Group_2,Known,Novel
