Frame,nose_dist,body_dist,freezing,body
1,0.0,0.0,0,centre
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,centre
5,0.0,0.0,0,centre
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,other
34,0.0,0.0,0,other
35,0.0,0.0,0,other
36,0.0,0.0,0,centre
37,0.0,0.0,0,other
38,0.0,0.0,0,other
39,0.0,0.0,0,other
40,0.0,0.0,0,other
41,0.0,0.0,0,other
42,0.0,0.0,0,other
43,0.0,0.0,0,other
44,0.0,0.0,0,other
45,0.0,0.0,0,other
46,0.0,0.0,0,other
47,0.0,0.0,0,other
48,0.0,0.0,0,other
49,0.0,0.0,0,other
50,0.0,0.0,0,other
51,0.0,0.0,0,other
52,0.0,0.0,0,other
53,0.0,0.0,0,other
54,0.0,0.0,0,other
55,0.0,0.0,0,other
56,0.0,0.0,0,other
57,0.0,0.0,0,other
58,0.0,0.0,0,other
59,0.0,0.0,0,other
60,0.0,0.0,0,other
61,0.0,0.0,0,other
62,0.0067260175760866635,0.0009120246467365287,0,other
63,0.012787972496351148,0.00012025735686795311,0,other
64,0.004851860220277703,0.0003027618718725167,0,other
65,0.008668866422877399,0.0019915755374462604,0,other
66,0.007198528582525895,0.0034700917070919616,0,other
67,0.003800880627486486,0.0009942140181932037,0,other
68,0.003659613666219054,0.001107533874848107,0,other
69,0.005686577561197848,0.004359554022752669,0,other
70,0.005043480205485302,0.004006722929188347,0,other
71,0.00928152550899108,0.008982356130644307,0,other
72,0.006536111400673608,0.0064605209749216234,0,other
73,0.0021838519154429173,0.0019503939482915429,0,other
74,0.004662363383282249,0.003791010555020013,0,other
75,0.003688351547439909,0.0035907817237210045,0,other
76,0.0021271723878318423,0.0012842296041952433,0,other
77,0.002306267150617022,0.0009274740966053583,0,other
78,0.0005334783440848945,0.0002619485475199481,0,other
79,0.00014519904442108963,0.0003317827719765213,0,other
80,0.00038611467317886943,8.613821006739357e-05,0,other
81,0.0010858118380220943,0.00016240972967169174,0,other
82,0.0008887817386846881,9.088971973110257e-05,0,other
83,0.0006324013529625757,0.00023764779918172466,0,other
84,0.0007114955172076224,0.0001945829512968469,0,other
85,0.000533037486227218,9.502521032167744e-05,0,other
86,0.0012420226601120852,0.00015012973525312334,0,other
87,0.0011033297332504756,9.462569170161577e-05,0,other
88,0.0007090921761058798,3.8372982796940216e-05,0,other
89,0.002455293179344193,5.975128962825078e-05,0,other
90,0.002534071680771516,0.00016672273837639966,0,other
91,0.0010668750343281286,0.00014445276620225729,0,other
92,0.0005258006023278411,0.00018300510262623314,0,other
93,0.0009132915083810047,0.00011826818790436924,0,other
94,0.00035009778435535986,8.064558108374698e-05,0,other
95,0.00039019843013875287,9.101883212153921e-05,0,other
96,0.0012854527339460212,0.00018750220570782023,0,other
97,0.0005906743746358713,0.000280415996867832,0,other
98,0.0015939338565617452,0.0003080831503107082,0,other
99,0.003555871188575592,0.000217575622661891,0,other
100,0.001934306344203902,0.0004808493615198483,0,other
101,0.0011033090330439357,0.0005265059947899145,0,other
102,0.0016554698053104814,0.001136885359257631,0,other
103,0.0012180082486348536,0.0011787801384483293,0,other
104,0.00027807770953788944,0.0002819650633564267,0,other
105,0.0011242652930065387,0.00022431496504711482,0,other
106,0.005140388545770658,0.0004374428236348106,0,other
107,0.006033084522408891,0.0005965802212026898,0,other
