Frame,nose_dist,body_dist,freezing,body
1,0.0,0.0,0,centre
2,0.0,0.0,0,centre
3,0.0,0.0,0,centre
4,0.0,0.0,0,centre
5,0.0,0.0,0,centre
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,other
34,0.0,0.0,0,other
35,0.0,0.0,0,other
36,0.0,0.0,0,other
37,0.0,0.0,0,other
38,0.0,0.0,0,other
39,0.0,0.0,0,other
40,0.0,0.0,0,other
41,0.0,0.0,0,other
42,0.0,0.0,0,other
43,0.0,0.0,0,other
44,0.0,0.0,0,other
45,0.0,0.0,0,other
46,0.0,0.0,0,centre
47,0.0,0.0,0,centre
48,0.0,0.0,0,centre
49,0.0,0.0,0,centre
50,0.0,0.0,0,centre
51,0.0,0.0,0,other
52,0.0,0.0,0,centre
53,0.0,0.0,0,centre
54,0.0,0.0,0,centre
55,0.0,0.0,0,centre
56,0.0,0.0,0,centre
57,0.0,0.0,0,centre
58,0.0,0.0,0,centre
59,0.0,0.0,0,centre
60,0.0,0.0,0,centre
61,0.0,0.0,0,centre
62,0.0022703813836123317,0.0007516742799363541,0,centre
63,0.0037552443895929335,0.002051753177543263,0,centre
64,0.0019244018082947996,0.0026300553086862273,0,other
65,0.0014030112334280933,0.0015144953376672423,0,other
66,0.001458872272994085,0.0010072687434998365,0,other
67,0.0043866856696913635,0.002460189200178938,0,other
68,0.005053003218712909,0.003583781256602267,0,other
69,0.004429631893807247,0.0032605295635890898,0,other
70,0.004552589883615767,0.004728605170220938,0,other
71,0.004387809818699973,0.004799142752610388,0,other
72,0.005444262357139119,0.0042364344183447224,0,other
73,0.005850278049446123,0.004606630119278377,0,other
74,0.0019336038752556322,0.0015968603328541697,0,other
75,0.0042253984416760594,0.003939239045215521,0,other
76,0.007346140674699863,0.007885817931525933,0,other
77,0.005025546972349945,0.005637724944680183,0,other
78,0.00322466523753341,0.003282224727712734,0,other
79,0.004706775924777954,0.00501131228372152,0,other
80,0.0066526124051787825,0.007529024523172385,0,other
81,0.004270508878697286,0.003370401613103499,0,other
82,0.0008110424789226837,0.002920160754027017,0,other
83,0.000562366451468699,0.0009988335143789272,0,other
84,0.003167676346967999,0.0010302508121330242,0,other
85,0.007558570785463745,0.0017693207952331658,0,other
86,0.010975206483658927,0.0021528201901513055,0,other
