Frame,obj_1,obj_2
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.01
7,0.0,0.01
8,0.0,0.01
9,0.0,0.02
10,0.0,0.05
11,0.0,0.05
12,0.0,0.06
13,0.0,0.09
14,0.0,0.14
15,0.0,0.15
16,0.0,0.11
17,0.0,0.09
18,0.0,0.08
19,0.0,0.07
20,0.0,0.08
21,0.0,0.11
22,0.0,0.17
23,0.0,0.31
24,0.0,0.45
25,0.0,0.19
26,0.0,0.08
27,0.0,0.02
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.01,0.0
33,0.02,0.0
34,0.02,0.0
35,0.01,0.0
36,0.01,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.01
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.01,0.0
47,0.01,0.0
48,0.02,0.0
49,0.01,0.0
50,0.02,0.0
51,0.02,0.0
52,0.03,0.0
53,0.05,0.0
54,0.13,0.0
55,0.21,0.0
56,0.34,0.0
57,0.44,0.0
58,0.34,0.0
59,0.28,0.0
60,0.2,0.0
61,0.09,0.0
62,0.01,0.01
63,0.0,0.01
64,0.0,0.01
65,0.0,0.01
66,0.0,0.0
67,0.0,0.0
68,0.0,0.01
69,0.0,0.01
70,0.0,0.01
71,0.01,0.01
72,0.29,0.01
73,0.0,0.01
74,0.13,0.02
75,0.51,0.02
76,0.02,0.02
77,0.01,0.01
78,0.0,0.01
79,0.02,0.01
80,0.04,0.01
81,0.07,0.01
82,0.08,0.01
83,0.07,0.01
84,0.04,0.01
85,0.01,0.05
86,0.02,0.1
87,0.01,0.11
88,0.02,0.08
89,0.04,0.08
90,0.08,0.08
91,0.07,0.05
92,0.03,0.03
93,0.0,0.03
94,0.0,0.03
95,0.0,0.02
96,0.0,0.02
97,0.0,0.02
98,0.0,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.01
