Frame,obj_1,obj_2
1,0.01,0.02
2,0.01,0.02
3,0.01,0.02
4,0.01,0.02
5,0.01,0.02
6,0.01,0.03
7,0.01,0.04
8,0.01,0.04
9,0.01,0.04
10,0.01,0.04
11,0.01,0.04
12,0.01,0.04
13,0.01,0.04
14,0.01,0.04
15,0.01,0.04
16,0.01,0.04
17,0.01,0.04
18,0.01,0.04
19,0.01,0.04
20,0.01,0.04
21,0.01,0.04
22,0.01,0.04
23,0.01,0.04
24,0.01,0.04
25,0.01,0.04
26,0.01,0.04
27,0.01,0.04
28,0.01,0.04
29,0.01,0.04
30,0.01,0.04
31,0.01,0.04
32,0.01,0.04
33,0.01,0.03
34,0.01,0.03
35,0.01,0.03
36,0.01,0.03
37,0.01,0.03
38,0.01,0.02
39,0.01,0.02
40,0.01,0.02
41,0.01,0.02
42,0.01,0.02
43,0.01,0.02
44,0.01,0.02
45,0.01,0.02
46,0.01,0.02
47,0.01,0.01
48,0.01,0.01
49,0.01,0.01
50,0.01,0.01
51,0.01,0.01
52,0.02,0.01
53,0.02,0.01
54,0.03,0.01
55,0.03,0.01
56,0.04,0.01
57,0.05,0.01
58,0.06,0.01
59,0.08,0.01
60,0.12,0.01
61,0.29,0.01
62,0.88,0.01
63,0.97,0.01
64,0.99,0.01
65,0.99,0.01
66,0.99,0.01
67,0.99,0.01
68,0.99,0.01
69,0.99,0.01
70,1.0,0.01
71,0.99,0.01
72,0.99,0.01
73,0.99,0.01
74,0.95,0.01
75,0.26,0.01
76,0.05,0.01
77,0.03,0.02
78,0.02,0.02
79,0.02,0.02
80,0.02,0.02
81,0.02,0.02
82,0.01,0.02
83,0.01,0.01
84,0.01,0.01
85,0.01,0.01
86,0.01,0.01
87,0.01,0.01
88,0.01,0.01
89,0.01,0.01
90,0.01,0.02
91,0.01,0.02
92,0.01,0.02
93,0.01,0.02
94,0.01,0.02
95,0.01,0.01
96,0.01,0.01
97,0.01,0.01
98,0.01,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.01
106,0.01,0.01
107,0.01,0.01
108,0.01,0.01
109,0.01,0.01
110,0.01,0.01
111,0.01,0.01
112,0.01,0.01
113,0.01,0.01
114,0.01,0.01
115,0.01,0.01
116,0.01,0.02
117,0.01,0.02
118,0.01,0.02
119,0.01,0.02
120,0.01,0.02
121,0.01,0.02
122,0.01,0.01
123,0.01,0.01
124,0.01,0.01
125,0.01,0.01
126,0.01,0.01
127,0.01,0.02
128,0.01,0.02
129,0.01,0.02
130,0.01,0.02
131,0.01,0.02
132,0.01,0.03
133,0.01,0.03
134,0.01,0.04
135,0.01,0.04
136,0.01,0.04
137,0.01,0.04
138,0.01,0.04
139,0.01,0.04
140,0.01,0.03
141,0.01,0.02
142,0.01,0.02
143,0.01,0.02
144,0.01,0.01
145,0.01,0.01
146,0.01,0.01
147,0.01,0.01
148,0.01,0.01
149,0.01,0.01
150,0.01,0.01
151,0.01,0.01
152,0.01,0.01
153,0.01,0.01
154,0.01,0.01
155,0.01,0.01
156,0.01,0.01
157,0.01,0.02
158,0.01,0.02
159,0.01,0.02
160,0.01,0.02
161,0.01,0.02
162,0.01,0.02
163,0.01,0.02
164,0.01,0.02
165,0.01,0.02
166,0.01,0.02
167,0.01,0.02
168,0.01,0.02
169,0.01,0.02
170,0.01,0.02
171,0.01,0.02
172,0.01,0.02
173,0.01,0.02
174,0.01,0.01
175,0.01,0.01
176,0.01,0.01
177,0.01,0.02
178,0.01,0.01
179,0.01,0.01
180,0.02,0.01
181,0.02,0.01
182,0.02,0.01
183,0.02,0.01
184,0.02,0.01
185,0.02,0.01
186,0.02,0.01
187,0.02,0.01
188,0.02,0.01
189,0.02,0.01
190,0.02,0.01
191,0.02,0.01
192,0.02,0.01
193,0.02,0.01
194,0.02,0.02
195,0.02,0.02
196,0.02,0.03
197,0.01,0.03
198,0.01,0.03
199,0.01,0.04
200,0.01,0.04
201,0.01,0.04
202,0.01,0.04
203,0.01,0.04
204,0.01,0.04
205,0.01,0.04
206,0.01,0.04
207,0.01,0.04
208,0.01,0.04
209,0.01,0.04
210,0.01,0.04
211,0.01,0.04
212,0.01,0.04
213,0.01,0.04
214,0.01,0.04
215,0.01,0.04
216,0.01,0.04
217,0.01,0.04
218,0.01,0.04
219,0.01,0.04
220,0.01,0.04
221,0.01,0.04
222,0.01,0.04
223,0.01,0.04
224,0.01,0.03
225,0.01,0.03
226,0.01,0.03
227,0.01,0.03
228,0.01,0.03
229,0.01,0.03
230,0.02,0.02
231,0.02,0.02
232,0.02,0.02
233,0.02,0.02
234,0.02,0.02
235,0.02,0.02
236,0.02,0.02
237,0.02,0.02
238,0.02,0.02
239,0.01,0.02
240,0.01,0.02
241,0.01,0.02
242,0.01,0.02
243,0.01,0.02
244,0.01,0.02
245,0.01,0.02
246,0.01,0.02
247,0.01,0.01
248,0.01,0.01
249,0.01,0.01
250,0.01,0.01
251,0.01,0.01
252,0.01,0.01
253,0.01,0.01
254,0.01,0.02
255,0.01,0.02
256,0.01,0.02
257,0.01,0.02
258,0.01,0.03
259,0.01,0.03
260,0.01,0.03
261,0.01,0.03
262,0.01,0.03
263,0.01,0.03
264,0.01,0.04
265,0.01,0.03
266,0.01,0.03
267,0.01,0.03
268,0.01,0.03
269,0.01,0.02
270,0.01,0.02
271,0.01,0.02
272,0.01,0.02
273,0.01,0.02
274,0.01,0.02
275,0.01,0.02
276,0.01,0.02
277,0.01,0.02
278,0.01,0.02
279,0.01,0.02
280,0.01,0.02
281,0.01,0.02
282,0.01,0.01
283,0.01,0.01
284,0.01,0.01
285,0.01,0.01
