Frame,obj_1,obj_2
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.01
7,0.0,0.02
8,0.0,0.03
9,0.0,0.07
10,0.0,0.09
11,0.0,0.11
12,0.0,0.17
13,0.0,0.23
14,0.0,0.25
15,0.0,0.21
16,0.0,0.16
17,0.0,0.08
18,0.0,0.07
19,0.0,0.06
20,0.0,0.05
21,0.0,0.05
22,0.0,0.05
23,0.0,0.05
24,0.0,0.05
25,0.0,0.07
26,0.0,0.1
27,0.0,0.19
28,0.0,0.58
29,0.0,0.15
30,0.0,0.02
31,0.0,0.01
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.01,0.0
37,0.01,0.0
38,0.02,0.0
39,0.02,0.0
40,0.02,0.0
41,0.02,0.0
42,0.02,0.0
43,0.01,0.0
44,0.01,0.0
45,0.0,0.01
46,0.0,0.01
47,0.0,0.13
48,0.0,0.09
49,0.0,0.11
50,0.0,0.41
51,0.0,0.15
52,0.0,0.01
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.01,0.0
60,0.01,0.0
61,0.01,0.0
62,0.01,0.0
63,0.01,0.0
64,0.01,0.0
65,0.02,0.0
66,0.03,0.0
67,0.04,0.0
68,0.07,0.0
69,0.11,0.0
70,0.22,0.0
71,0.38,0.0
72,0.45,0.0
73,0.49,0.0
74,0.56,0.0
75,0.66,0.0
76,0.76,0.0
77,0.77,0.0
78,0.65,0.0
79,0.61,0.0
80,0.62,0.0
81,0.65,0.0
82,0.66,0.0
83,0.69,0.0
84,0.72,0.0
85,0.73,0.0
86,0.76,0.0
87,0.53,0.0
88,0.34,0.0
89,0.03,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.01
97,0.0,0.01
98,0.0,0.01
99,0.0,0.01
100,0.0,0.01
101,0.0,0.01
102,0.0,0.01
103,0.0,0.02
104,0.0,0.01
105,0.01,0.01
