Frame,obj_1,obj_2
1,0.01,0.07
2,0.01,0.11
3,0.01,0.1
4,0.01,0.02
5,0.01,0.02
6,0.01,0.02
7,0.01,0.03
8,0.01,0.02
9,0.01,0.02
10,0.01,0.02
11,0.01,0.02
12,0.01,0.02
13,0.01,0.02
14,0.01,0.02
15,0.01,0.02
16,0.01,0.02
17,0.01,0.02
18,0.01,0.02
19,0.01,0.01
20,0.01,0.01
21,0.01,0.01
22,0.01,0.01
23,0.02,0.01
24,0.02,0.01
25,0.01,0.01
26,0.01,0.01
27,0.01,0.01
28,0.01,0.01
29,0.01,0.01
30,0.02,0.01
31,0.02,0.01
32,0.02,0.01
33,0.03,0.01
34,0.03,0.01
35,0.04,0.01
36,0.05,0.01
37,0.07,0.01
38,0.14,0.01
39,0.67,0.01
40,0.97,0.01
41,0.99,0.01
42,0.99,0.01
43,0.99,0.01
44,0.99,0.01
45,0.99,0.01
46,0.99,0.01
47,1.0,0.01
48,1.0,0.01
49,1.0,0.01
50,1.0,0.01
51,1.0,0.01
52,1.0,0.01
53,0.99,0.01
54,0.97,0.01
55,0.16,0.01
56,0.05,0.01
57,0.03,0.01
58,0.02,0.01
59,0.02,0.01
60,0.02,0.01
61,0.02,0.01
62,0.02,0.01
63,0.02,0.01
64,0.02,0.01
65,0.02,0.01
66,0.02,0.01
67,0.02,0.01
68,0.02,0.01
69,0.02,0.01
70,0.02,0.01
71,0.02,0.01
72,0.02,0.01
73,0.03,0.01
74,0.03,0.01
75,0.02,0.01
76,0.02,0.01
77,0.01,0.02
78,0.01,0.02
79,0.01,0.02
80,0.01,0.02
81,0.01,0.02
82,0.01,0.02
83,0.01,0.02
84,0.01,0.02
85,0.01,0.03
86,0.01,0.03
87,0.01,0.04
88,0.01,0.04
89,0.01,0.04
90,0.01,0.03
91,0.01,0.03
92,0.01,0.03
93,0.01,0.02
94,0.01,0.01
95,0.01,0.01
96,0.01,0.01
97,0.01,0.01
98,0.01,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.01
106,0.01,0.01
107,0.01,0.01
108,0.01,0.01
109,0.01,0.01
110,0.01,0.01
111,0.01,0.01
112,0.01,0.01
113,0.01,0.01
114,0.01,0.01
115,0.01,0.01
116,0.01,0.01
117,0.01,0.01
118,0.01,0.01
119,0.01,0.01
120,0.01,0.01
121,0.01,0.01
122,0.01,0.01
123,0.01,0.01
124,0.01,0.01
125,0.01,0.01
126,0.01,0.01
127,0.01,0.01
128,0.01,0.01
129,0.01,0.01
130,0.01,0.01
131,0.01,0.01
132,0.01,0.01
133,0.01,0.01
134,0.01,0.01
135,0.01,0.01
136,0.01,0.01
137,0.01,0.01
138,0.01,0.01
139,0.01,0.01
140,0.01,0.01
141,0.01,0.01
142,0.01,0.01
143,0.01,0.01
144,0.01,0.01
145,0.01,0.01
146,0.01,0.02
147,0.01,0.02
148,0.01,0.02
149,0.01,0.02
150,0.01,0.03
151,0.01,0.03
152,0.01,0.02
153,0.01,0.01
154,0.01,0.01
155,0.01,0.01
156,0.01,0.01
157,0.01,0.01
158,0.01,0.01
159,0.01,0.01
160,0.01,0.01
161,0.01,0.01
162,0.01,0.01
163,0.01,0.01
164,0.01,0.01
165,0.01,0.01
166,0.01,0.01
167,0.01,0.01
168,0.01,0.01
169,0.01,0.01
170,0.01,0.01
171,0.01,0.01
172,0.01,0.01
173,0.01,0.01
174,0.01,0.01
175,0.01,0.01
176,0.01,0.01
177,0.01,0.01
178,0.01,0.01
179,0.01,0.01
180,0.01,0.01
181,0.01,0.01
182,0.01,0.01
183,0.01,0.01
184,0.01,0.01
185,0.01,0.01
186,0.01,0.01
187,0.01,0.01
188,0.01,0.01
189,0.01,0.01
190,0.01,0.01
191,0.01,0.01
192,0.01,0.01
193,0.01,0.01
194,0.01,0.01
195,0.01,0.01
196,0.01,0.01
197,0.01,0.01
198,0.01,0.01
199,0.01,0.01
200,0.01,0.01
201,0.01,0.01
202,0.01,0.01
203,0.01,0.01
204,0.01,0.01
205,0.01,0.01
206,0.01,0.01
207,0.01,0.01
208,0.01,0.01
209,0.01,0.01
210,0.01,0.01
211,0.01,0.01
212,0.01,0.01
213,0.01,0.01
214,0.01,0.01
215,0.01,0.01
216,0.01,0.01
217,0.01,0.01
218,0.01,0.01
219,0.01,0.01
220,0.01,0.01
221,0.01,0.01
222,0.01,0.01
223,0.01,0.01
224,0.01,0.01
225,0.01,0.01
226,0.01,0.01
227,0.01,0.01
228,0.01,0.01
229,0.01,0.01
230,0.01,0.01
231,0.01,0.01
232,0.01,0.01
233,0.01,0.01
234,0.01,0.01
235,0.01,0.01
236,0.01,0.01
237,0.01,0.01
238,0.01,0.01
239,0.01,0.01
240,0.01,0.01
241,0.01,0.01
242,0.01,0.01
243,0.01,0.01
244,0.01,0.01
245,0.01,0.01
246,0.01,0.01
247,0.01,0.01
248,0.01,0.01
249,0.01,0.01
250,0.01,0.01
251,0.01,0.01
252,0.01,0.01
253,0.01,0.01
254,0.01,0.01
255,0.01,0.01
256,0.01,0.01
257,0.01,0.01
258,0.01,0.01
259,0.01,0.01
260,0.01,0.01
261,0.01,0.01
262,0.01,0.01
263,0.01,0.01
264,0.01,0.01
265,0.01,0.01
266,0.01,0.01
267,0.01,0.01
268,0.01,0.01
269,0.01,0.01
270,0.01,0.01
271,0.01,0.01
272,0.01,0.01
273,0.01,0.01
274,0.01,0.01
275,0.01,0.01
276,0.02,0.01
277,0.02,0.01
278,0.02,0.01
279,0.02,0.01
280,0.02,0.01
281,0.02,0.01
282,0.02,0.01
283,0.02,0.01
284,0.02,0.01
285,0.02,0.01
286,0.02,0.02
287,0.02,0.02
288,0.02,0.02
289,0.02,0.02
290,0.02,0.02
291,0.02,0.02
292,0.02,0.02
293,0.02,0.02
294,0.02,0.02
295,0.02,0.02
296,0.02,0.02
297,0.02,0.02
298,0.02,0.02
299,0.02,0.02
300,0.02,0.02
301,0.02,0.02
302,0.02,0.02
303,0.02,0.02
304,0.02,0.02
305,0.02,0.02
306,0.02,0.02
307,0.01,0.02
308,0.01,0.02
309,0.01,0.02
310,0.01,0.02
311,0.02,0.02
312,0.02,0.02
313,0.02,0.02
314,0.02,0.02
315,0.02,0.02
316,0.02,0.02
317,0.02,0.02
318,0.02,0.02
319,0.02,0.02
320,0.02,0.02
321,0.02,0.02
322,0.02,0.02
323,0.02,0.02
324,0.02,0.02
325,0.02,0.02
326,0.02,0.02
327,0.02,0.02
328,0.02,0.02
329,0.02,0.02
330,0.02,0.02
331,0.02,0.02
332,0.02,0.02
333,0.02,0.02
334,0.02,0.02
335,0.02,0.02
336,0.02,0.02
337,0.02,0.02
338,0.02,0.02
339,0.02,0.02
340,0.02,0.02
341,0.02,0.02
342,0.02,0.02
343,0.02,0.02
344,0.02,0.02
345,0.02,0.02
346,0.02,0.02
347,0.02,0.02
348,0.01,0.02
349,0.01,0.02
350,0.01,0.02
351,0.01,0.02
352,0.01,0.02
353,0.01,0.02
354,0.01,0.02
355,0.01,0.02
356,0.01,0.02
357,0.01,0.02
358,0.01,0.02
359,0.01,0.02
360,0.01,0.02
361,0.01,0.02
362,0.01,0.02
363,0.01,0.02
364,0.01,0.02
365,0.01,0.02
366,0.01,0.02
367,0.01,0.02
368,0.01,0.03
369,0.01,0.03
370,0.01,0.03
371,0.01,0.03
372,0.01,0.03
373,0.01,0.03
374,0.01,0.03
375,0.01,0.03
376,0.01,0.03
377,0.01,0.03
378,0.01,0.03
379,0.01,0.03
380,0.01,0.03
381,0.01,0.03
382,0.01,0.03
383,0.01,0.03
384,0.01,0.03
385,0.01,0.03
386,0.01,0.03
387,0.01,0.03
388,0.01,0.03
389,0.01,0.03
390,0.01,0.03
391,0.01,0.03
392,0.01,0.03
393,0.01,0.03
394,0.01,0.03
395,0.01,0.03
396,0.01,0.03
397,0.01,0.03
398,0.01,0.03
399,0.01,0.03
400,0.01,0.03
401,0.01,0.03
402,0.01,0.03
403,0.01,0.03
404,0.01,0.03
405,0.01,0.03
406,0.01,0.03
407,0.01,0.03
408,0.01,0.03
409,0.01,0.03
410,0.01,0.02
411,0.01,0.02
412,0.01,0.02
413,0.01,0.02
414,0.01,0.02
415,0.01,0.02
416,0.01,0.02
417,0.01,0.02
418,0.01,0.02
419,0.01,0.02
420,0.01,0.02
