Frame,obj_1,obj_2
1,0.01,0.01
2,0.01,0.0
3,0.01,0.0
4,0.01,0.0
5,0.01,0.0
6,0.01,0.0
7,0.01,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.01
27,0.0,0.01
28,0.0,0.01
29,0.0,0.01
30,0.0,0.01
31,0.0,0.01
32,0.0,0.01
33,0.01,0.01
34,0.01,0.01
35,0.01,0.01
36,0.01,0.01
37,0.01,0.01
38,0.01,0.02
39,0.01,0.03
40,0.01,0.06
41,0.01,0.16
42,0.01,0.47
43,0.01,0.76
44,0.01,0.86
45,0.01,0.89
46,0.01,0.9
47,0.01,0.9
48,0.01,0.9
49,0.01,0.9
50,0.01,0.91
51,0.01,0.92
52,0.01,0.92
53,0.01,0.93
54,0.01,0.94
55,0.01,0.94
56,0.01,0.94
57,0.01,0.95
58,0.01,0.95
59,0.01,0.95
60,0.01,0.95
61,0.01,0.95
62,0.01,0.95
63,0.01,0.95
64,0.01,0.95
65,0.01,0.95
66,0.01,0.95
67,0.01,0.95
68,0.01,0.95
69,0.01,0.95
70,0.01,0.95
71,0.01,0.95
72,0.01,0.94
73,0.01,0.93
74,0.01,0.92
75,0.01,0.91
76,0.01,0.91
77,0.01,0.91
78,0.01,0.93
79,0.01,0.93
80,0.01,0.91
81,0.01,0.87
82,0.01,0.56
83,0.01,0.23
84,0.01,0.1
85,0.01,0.05
86,0.01,0.02
87,0.01,0.01
88,0.01,0.01
89,0.01,0.0
90,0.01,0.01
91,0.01,0.01
92,0.01,0.0
93,0.01,0.0
94,0.01,0.0
95,0.01,0.0
96,0.01,0.0
97,0.01,0.0
98,0.01,0.0
99,0.01,0.0
100,0.01,0.0
101,0.01,0.0
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.01
106,0.01,0.01
107,0.01,0.01
108,0.01,0.0
109,0.01,0.0
110,0.01,0.0
111,0.01,0.0
112,0.0,0.01
113,0.0,0.01
114,0.0,0.0
115,0.01,0.0
116,0.01,0.0
117,0.01,0.0
118,0.01,0.0
119,0.01,0.0
120,0.01,0.0
121,0.01,0.0
122,0.01,0.0
123,0.01,0.0
124,0.01,0.0
125,0.01,0.0
126,0.01,0.0
127,0.01,0.0
128,0.01,0.0
129,0.01,0.0
130,0.01,0.0
131,0.01,0.0
132,0.01,0.0
133,0.01,0.01
134,0.01,0.01
135,0.01,0.01
136,0.01,0.01
137,0.01,0.01
138,0.01,0.01
139,0.01,0.01
140,0.01,0.01
141,0.01,0.01
142,0.01,0.0
143,0.01,0.0
144,0.01,0.0
145,0.01,0.0
146,0.01,0.0
147,0.01,0.0
148,0.01,0.0
149,0.01,0.0
150,0.01,0.0
151,0.01,0.0
152,0.01,0.0
153,0.01,0.0
154,0.01,0.0
155,0.01,0.0
156,0.01,0.0
157,0.01,0.0
158,0.01,0.0
159,0.01,0.0
160,0.01,0.0
161,0.01,0.0
162,0.01,0.0
163,0.01,0.0
164,0.01,0.0
165,0.01,0.0
166,0.01,0.0
167,0.01,0.0
168,0.01,0.0
169,0.01,0.0
170,0.01,0.0
171,0.01,0.0
172,0.01,0.0
173,0.01,0.0
174,0.01,0.0
175,0.01,0.01
176,0.01,0.01
177,0.01,0.0
178,0.01,0.0
179,0.01,0.0
180,0.01,0.0
181,0.01,0.0
182,0.01,0.0
183,0.01,0.0
184,0.01,0.0
185,0.01,0.0
186,0.01,0.0
187,0.01,0.0
188,0.01,0.0
189,0.01,0.0
190,0.01,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
