Frame,nose_dist,body_dist,freezing,body
1,0.0,0.0,0,other
2,0.0,0.0,0,other
3,0.0,0.0,0,other
4,0.0,0.0,0,other
5,0.0,0.0,0,other
6,0.0,0.0,0,other
7,0.0,0.0,0,other
8,0.0,0.0,0,other
9,0.0,0.0,0,other
10,0.0,0.0,0,other
11,0.0,0.0,0,other
12,0.0,0.0,0,other
13,0.0,0.0,0,other
14,0.0,0.0,0,other
15,0.0,0.0,0,other
16,0.0,0.0,0,other
17,0.0,0.0,0,other
18,0.0,0.0,0,other
19,0.0,0.0,0,other
20,0.0,0.0,0,other
21,0.0,0.0,0,other
22,0.0,0.0,0,other
23,0.0,0.0,0,other
24,0.0,0.0,0,other
25,0.0,0.0,0,other
26,0.0,0.0,0,other
27,0.0,0.0,0,other
28,0.0,0.0,0,other
29,0.0,0.0,0,other
30,0.0,0.0,0,other
31,0.0,0.0,0,other
32,0.0,0.0,0,other
33,0.0,0.0,0,other
34,0.0,0.0,0,other
35,0.0,0.0,0,other
36,0.0,0.0,0,other
37,0.0,0.0,0,other
38,0.0,0.0,0,other
39,0.0,0.0,0,other
40,0.0,0.0,0,other
41,0.0,0.0,0,other
42,0.0,0.0,0,other
43,0.0,0.0,0,other
44,0.0,0.0,0,other
45,0.0,0.0,0,other
46,0.0,0.0,0,other
47,0.0,0.0,0,other
48,0.0,0.0,0,other
49,0.0,0.0,0,other
50,0.0,0.0,0,other
51,0.0,0.0,0,other
52,0.0,0.0,0,other
53,0.0,0.0,0,other
54,0.0,0.0,0,other
55,0.0,0.0,0,other
56,0.0,0.0,0,other
57,0.0,0.0,0,other
58,0.0,0.0,0,other
59,0.0,0.0,0,other
60,0.0,0.0,0,other
61,0.0,0.0,0,other
62,0.004051336286946948,0.0020087965724667166,0,other
63,0.0025575491754307816,0.0027598624960751663,0,other
64,0.002246237441842116,0.002635002591030391,0,other
65,0.003710445419976161,0.0010439775532642907,0,other
66,0.006596466337925299,0.00122534975711434,0,other
67,0.004014901109714642,0.0012052105282582234,0,other
68,0.005254462061151543,0.0009478320079438074,0,other
69,0.004555302679259793,0.00022720965356137993,0,other
70,0.0029975794048401425,0.00032403838664486854,0,other
71,0.0024343452332688904,0.00023647889201435142,0,other
72,0.0016758698021085647,0.00026854019619129227,0,other
73,0.0008683625369159017,8.542783752922721e-05,0,other
74,0.0012011717395048617,0.0003308617565835014,0,other
75,0.005046135518151317,0.0006210047599921177,0,other
76,0.011225631095667966,0.0006068888558381885,0,other
77,0.007782593085639519,0.0005354158016762539,0,other
78,0.006789365195603264,0.001729739606266976,0,other
79,0.006039045111148064,0.0023980173441039464,0,other
80,0.0061066632773190965,0.0026626962392439085,0,other
81,0.006562289166136726,0.0035892776356676757,0,other
82,0.009906850570616426,0.008588258574872581,0,other
83,0.008797622953663469,0.0061129259956855175,0,other
84,0.009147880254250375,0.006523213701753694,0,other
85,0.007742712767947693,0.007319568752961694,0,other
86,0.005007093534587694,0.005174307058331475,0,other
87,0.01564336574891103,0.015970324961607066,0,other
88,0.0141417211773509,0.013481663995122515,0,other
89,0.016994031362158647,0.017411634612773088,0,other
90,0.013441579072445742,0.01390884859246317,0,other
91,0.017130119399365266,0.01855353396513716,0,other
92,0.01156170113942659,0.011232594833494031,0,other
93,0.007921444849327625,0.007591784334244167,0,other
94,0.004685033000193536,0.004774994273799991,0,other
95,0.0017886262374056086,0.0037837868075099213,0,other
96,0.0014809391301918787,0.0025050486343531826,0,other
97,0.0009054252010068832,0.0026247593844921004,0,other
98,0.0012463210401792105,0.0009992070718244889,0,other
99,0.0008921788708285227,0.00011982871686950563,0,other
100,0.0016423339743767008,0.00039288534381485814,0,other
101,0.004351174216914498,0.0011628792664949922,0,other
102,0.0035814729125867996,0.0010017876883337041,0,other
103,0.00245310368479861,0.0006718485993400497,0,other
104,0.0023244567886902285,0.0010279505900543796,0,other
105,0.0016756925650988532,0.0013690097869219486,0,other
106,0.0015890057404018875,0.0014486688492797793,0,other
107,0.0027924290928050964,0.002224160472747741,0,other
108,0.001895094277374647,0.002178735008847124,0,other
109,0.0017664945967809382,0.0013778256388642432,0,other
110,0.0013930455971722002,0.0005030252327927957,0,other
111,0.00027460192892370507,0.00021754564766476248,0,other
112,1.71201840976687e-06,0.0007307570561344069,0,other
113,0.00024369680929001465,0.0008483327043241133,0,other
114,0.0012274022234789576,0.0011497176992564312,0,other
115,0.0013429916701429665,0.00039140430499214063,0,other
116,0.0003779841694823307,0.000534460194055756,0,other
117,0.0005911571563266018,0.0002182908442118503,0,other
118,0.0024611009052654125,0.0012215847129242354,0,other
119,0.007605709625482233,0.004470004679020924,0,other
120,0.0035917148620530385,0.0016260198537115095,0,other
121,0.008299193287322322,0.002972446408023224,0,other
122,0.010210172900060613,0.005622847467972632,0,other
123,0.014226409045275895,0.003543820359120485,0,other
124,0.005705345026815141,0.0007871771891827137,0,other
125,0.0036761405700391353,3.79160012109736e-05,0,other
126,0.003236616942750131,0.0008495209345876719,0,other
127,0.005214439483200093,0.0031978736809346354,0,other
128,0.006424844757234095,0.004063775201727197,0,other
129,0.008810331869854684,0.0074749743089219745,0,other
130,0.00819851605667905,0.006257766361426744,0,other
131,0.002618189808861814,0.0026613566467097918,0,other
132,0.004744977676254483,0.005603432696629689,0,other
133,0.004779697285491696,0.0030634339885786135,0,other
134,0.0014107079145394916,0.0014393874543470147,0,other
135,0.0019576432795970385,0.0035550329210875973,0,other
136,0.0006667539309621969,0.0012765621434205727,0,other
137,0.0019341586369378766,0.0010039402799332999,0,other
138,0.005583478338800161,0.0025308299758000003,0,other
139,0.0029808837497869683,0.0020638319219622434,0,other
140,0.007039619814354672,0.006849930127272014,0,other
141,0.0036413188858466883,0.003820288619517058,0,other
142,0.0012831130725808773,0.0010629773116938085,0,other
143,0.00027740429904674313,0.0002723014234532505,0,other
144,0.00016368831115991098,3.947178940394435e-05,0,other
145,0.0002618660522711558,2.4136360348916688e-05,0,other
146,0.00042572663317536183,8.530160556960308e-05,0,other
147,0.0019752199416594647,0.00045333577549690174,0,other
148,0.005021730699559673,0.0018150337972673999,0,other
149,0.006624818102286492,0.0020855641124262734,0,other
150,0.021407212245351154,0.005144026300015952,0,other
151,0.008087189632679124,0.0017113718235403392,0,other
152,0.013042758822378275,0.0015666523041270271,0,other
153,0.017083181845797334,0.007039427158333126,0,other
154,0.03156740271214666,0.023588964808878496,0,other
155,0.0156703245119921,0.015893420729856576,0,other
156,0.006617152667776777,0.0073580919797748175,0,other
157,0.01923320943703196,0.02058974097344329,0,other
158,0.015860685305692342,0.01627765235755797,0,other
159,0.01875300258992877,0.01877009305166156,0,other
160,0.016011623538008505,0.018271947933283152,0,other
161,0.004832320159165897,0.0053084732842138575,0,other
162,0.007380913837511351,0.007517124521476265,0,other
163,0.005756809703243457,0.008477869018361919,0,other
164,0.005138985016839458,0.005042995061224175,0,other
165,0.0040611021771764485,0.0033247307779399166,0,other
166,0.01254905677301752,0.010360621885758491,0,other
167,0.007100656167655661,0.007338363130356915,0,other
168,0.003914408295851947,0.006801362996737813,0,other
169,0.0024006755674252003,0.002456980994250714,0,other
170,0.0008312481548860937,0.0007326200892336356,0,other
171,0.0037001701737536725,0.004042332408142209,0,other
172,0.011417454744838374,0.010714120698899559,0,other
173,0.011484099046197632,0.010906708497319199,0,other
174,0.007974298698375645,0.007797562962404292,0,other
175,0.007906425923278419,0.008206101776073466,0,other
176,0.00832161822330231,0.00896205404475356,0,other
177,0.009546635200407208,0.01039934850632628,0,other
178,0.005661156501111384,0.00590908493440319,0,other
179,0.003524833802809693,0.0037151600479317787,0,other
180,0.011018493791823241,0.011451061410017923,0,other
181,0.0069974490833326465,0.006279315417818964,0,other
182,0.008166391253901296,0.0076340226605321245,0,other
183,0.005812268085055911,0.00798892059027085,0,other
184,0.0030195854647711764,0.0034902028228978826,0,other
185,0.00886971259302369,0.007764148336974339,0,other
186,0.008075635481496944,0.005665462523233366,0,other
187,0.009276383074188729,0.009292865870123986,0,other
188,0.0047604276431046635,0.005747498301302778,0,other
189,0.002734309009783111,0.0013208239341290704,0,other
190,0.0077482013963282295,0.0014019815864264728,0,other
191,0.004327203668669464,0.0004950987841347697,0,other
192,0.0018703105587176646,0.0012872076986606461,0,other
193,0.0004267977124477033,0.0006195497166387277,0,other
194,0.0004716885076456528,0.002030024505912795,0,other
195,0.00018596436214499398,0.0006063487948531332,0,other
