Video,Group,obj_1,obj_2
NOR_TS_C1_A,Group_1,Novel,Known
NOR_TS_C1_B,Group_2,Known,Novel
NOR_TS_C1_C,Group_2,Novel,Known
NOR_TS_C1_D,Group_1,Known,Novel
NOR_TS_C2_A,Group_2,Novel,Known
NOR_TS_C2_B,Group_1,Known,Novel
NOR_TS_C2_C,Group_1,Novel,Known
NOR_TS_C2_D,Group_2,Novel,Known
NOR_TS_C3_A,Group_1,Novel,Known
NOR_TS_C3_B,Group_1,Known,Novel
NOR_TS_C3_C,Group_2,Novel,Known
NOR_TS_C3_D,Group_2,Novel,Known
NOR_TS_C4_A,Group_2,Known,Novel
NOR_TS_C4_B,Group_1,Novel,Known
NOR_TS_C4_C,Group_1,Known,Novel
NOR_TS_C4_D,Group_2,Known,Novel
NOR_TS_C5_A,Group_2,Novel,Known
NOR_TS_C5_B,Group_2,Novel,Known
NOR_TS_C5_C,Group_1,Novel,Known
NOR_TS_C5_D,Group_1,Known,Novel
NOR_TR_C1_A,Group_1,Left,Right
NOR_TR_C1_B,Group_2,Left,Right
NOR_TR_C1_C,Group_2,Left,Right
NOR_TR_C1_D,Group_1,Left,Right
NOR_TR_C2_A,Group_2,Left,Right
NOR_TR_C2_B,Group_1,Left,Right
NOR_TR_C2_C,Group_1,Left,Right
NOR_TR_C2_D,Group_2,Left,Right
NOR_TR_C3_A,Group_1,Left,Right
NOR_TR_C3_B,Group_1,Left,Right
NOR_TR_C3_C,Group_2,Left,Right
NOR_TR_C3_D,Group_2,Left,Right
NOR_TR_C4_A,Group_2,Left,Right
NOR_TR_C4_B,Group_1,Left,Right
NOR_TR_C4_C,Group_1,Left,Right
NOR_TR_C4_D,Group_2,Left,Right
NOR_TR_C5_A,Group_2,Left,Right
NOR_TR_C5_B,Group_2,Left,Right
NOR_TR_C5_C,Group_1,Left,Right
NOR_TR_C5_D,Group_1,Left,Right
NOR_Hab_C1_A,Group_1,None,None
NOR_Hab_C1_B,Group_2,None,None
NOR_Hab_C1_C,Group_2,None,None
NOR_Hab_C1_D,Group_1,None,None
NOR_Hab_C2_A,Group_2,None,None
NOR_Hab_C2_B,Group_1,None,None
NOR_Hab_C2_C,Group_1,None,None
NOR_Hab_C2_D,Group_2,None,None
NOR_Hab_C3_A,Group_1,None,None
NOR_Hab_C3_B,Group_1,None,None
NOR_Hab_C3_C,Group_2,None,None
NOR_Hab_C3_D,Group_2,None,None
NOR_Hab_C4_A,Group_2,None,None
NOR_Hab_C4_B,Group_1,None,None
NOR_Hab_C4_C,Group_1,None,None
NOR_Hab_C4_D,Group_2,None,None
NOR_Hab_C5_A,Group_2,None,None
NOR_Hab_C5_B,Group_2,None,None
NOR_Hab_C5_C,Group_1,None,None
NOR_Hab_C5_D,Group_1,None,None
