Time,Frame,nose_dist,body_dist,freezing,body,Left,Right
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,1
0.88,22,0.0,0.0,0,other,0,1
0.92,23,0.0,0.0,0,other,0,1
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0005267597162608,0.0002046143462321,0,other,0,0
2.52,63,0.0004742620196038,0.0004146191142027,0,other,0,0
2.56,64,0.0015247081975511,0.000407070887773,0,other,0,0
2.6,65,0.0054543414944916,0.0008143367742556,0,other,0,0
2.64,66,0.0095660124147854,0.0020732865994061,0,other,0,0
2.68,67,0.0024404229592994,0.0005031708009778,0,other,0,0
2.72,68,0.0011798421588321,0.0002361408673447,0,other,0,0
2.76,69,0.0012594038341771,0.0003400402341629,0,other,0,0
2.8,70,0.0011696934647519,0.0002333002834378,0,other,0,0
2.84,71,0.0013407678803932,0.0005138331525909,0,other,0,0
2.88,72,0.0007482025133795,0.0009916552113738,0,other,0,0
2.92,73,0.0018289636108485,0.0009721610480953,0,other,0,0
2.96,74,0.0027779456874143,0.0019087269907965,0,other,0,0
3.0,75,0.0037656226298812,0.0027469138559571,0,other,0,0
3.04,76,0.0053641497209405,0.0045654762878305,0,other,0,0
3.08,77,0.003399383472294,0.0026776091717658,0,other,0,0
3.12,78,0.0009636096249471,0.0007810117428966,0,other,0,0
3.16,79,0.0026872834259676,0.0021172383746925,0,other,0,0
3.2,80,0.0054802847614654,0.0035195440456381,0,other,0,0
3.24,81,0.0034295943972225,0.0014057652269324,0,other,0,0
3.28,82,0.003122114559899,0.0023078086823086,0,other,0,0
3.32,83,0.005767555787945,0.0062182899490882,0,other,0,0
3.36,84,0.0087384563210243,0.0116383922888535,0,other,0,0
3.4,85,0.0043254754606828,0.0066534986705952,0,other,0,0
3.44,86,0.0030630552997734,0.0019582382271618,0,other,0,0
3.48,87,0.0021004069833095,0.0006575262805994,0,other,0,0
3.52,88,0.0026950164507953,0.0003185481943415,0,other,0,0
3.56,89,0.0058553310574612,0.0022834569666318,0,other,0,0
3.6,90,0.0088789151633516,0.0073846292316556,0,other,0,0
3.64,91,0.0030221251959607,0.0027158719631572,0,other,0,0
3.68,92,0.0056016844508503,0.0049277342782746,0,other,0,0
3.72,93,0.0077585107181214,0.0060904625379789,0,other,0,0
3.76,94,0.004500971842844,0.0029187832070162,0,other,0,0
3.8,95,0.0034693010517236,0.0021013727190065,0,other,0,0
3.84,96,0.0047041754038716,0.0024466789388463,0,other,0,0
3.88,97,0.0048521088489419,0.0015596849987059,0,other,0,0
3.92,98,0.0033340471118674,0.0026338928555878,0,other,0,0
3.96,99,0.0112973125987423,0.0120439204081907,0,other,0,0
4.0,100,0.0111970260813988,0.013760625240632,0,other,0,0
4.04,101,0.0065196967134731,0.007257292429085,0,other,0,0
4.08,102,0.0051307268570535,0.005122187125942,0,other,0,0
4.12,103,0.0053161775266191,0.005595446622002,0,other,0,0
4.16,104,0.0094260040828601,0.0104234912484819,0,other,0,0
4.2,105,0.0081924072169186,0.008869900603365,0,other,0,0
4.24,106,0.0095004579066025,0.0093579706112327,0,other,0,0
4.28,107,0.0060989124903921,0.006724294058037,0,other,0,0
4.32,108,0.0043837137222921,0.0045233148741648,0,other,0,0
4.36,109,0.0043163207218372,0.0036118514038272,0,other,0,0
4.4,110,0.0062154350596719,0.0025820837005152,0,other,0,0
4.44,111,0.0019068414704272,0.0008555634917661,0,other,0,0
4.48,112,0.0030860370389855,0.0024617456060843,0,other,0,0
4.52,113,0.0055566570854604,0.0048458542794211,0,other,0,0
4.56,114,0.0028819990030521,0.0035623779223011,0,other,0,0
4.6,115,0.0007247911980389,0.0046283483115238,0,other,0,0
4.64,116,0.0009088123615377,0.0019335052362355,0,other,0,0
4.68,117,0.0027356921842683,0.0003196391110492,0,other,0,0
4.72,118,0.0008455984423417,0.0002593268516194,0,other,0,0
4.76,119,0.000778141766701,0.000402247641206,0,other,0,0
4.8,120,0.0007197486988898,0.0002712995634192,0,other,0,0
