Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,1,0
2.0,50,0.0,0.0,0,other,1,0
2.04,51,0.0,0.0,0,other,1,0
2.08,52,0.0,0.0,0,other,1,0
2.12,53,0.0,0.0,0,other,1,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0148190168729047,0.0174781728002773,0,other,0,0
2.52,63,0.0102523144449671,0.010520600517481,0,other,0,0
2.56,64,0.0055960221207836,0.0060213499626943,0,other,0,0
2.6,65,0.0058535472385569,0.0071108670365731,0,other,0,0
2.64,66,0.0057950309534475,0.0070191770282027,0,other,0,0
2.68,67,0.005981002772171,0.0047835144515095,0,other,0,0
2.72,68,0.0043960870998083,0.0042330183481401,0,other,0,0
2.76,69,0.0040700237047004,0.0051226261190954,0,other,0,0
2.8,70,0.0045219015745918,0.0059474660392366,0,other,0,0
2.84,71,0.0047755183248378,0.0038601946393235,0,other,0,0
2.88,72,0.0057584971359039,0.0032708225353498,0,other,0,0
2.92,73,0.0078099309482036,0.0070200947679814,0,other,0,0
2.96,74,0.0066226097811195,0.0050374830366844,0,other,0,0
3.0,75,0.006456474219016,0.0048036785251891,0,other,0,0
3.04,76,0.0077159373950717,0.006598100899249,0,other,0,0
3.08,77,0.0095097010135171,0.0098505255625703,0,other,0,0
3.12,78,0.015809095238641,0.0146166067280138,0,other,0,0
3.16,79,0.0111398343924359,0.0116582428790716,0,other,0,0
3.2,80,0.0105215651499094,0.0102866502766591,0,other,0,0
3.24,81,0.0105796200502411,0.0102531565316272,0,other,0,0
3.28,82,0.01245703891902,0.0138124670891773,0,other,0,0
3.32,83,0.018524505575695,0.0191273909743459,0,other,0,0
3.36,84,0.0102637003803776,0.0110870439357979,0,other,0,0
3.4,85,0.0060915845046899,0.0062121000628698,0,other,0,0
3.44,86,0.0030899116186293,0.0023845823625914,0,other,0,0
3.48,87,0.000671223083173,0.0013997374369161,0,other,0,0
3.52,88,0.0012282113761275,0.000327110097241,0,other,0,0
3.56,89,0.0029337973640411,7.409000654083751e-05,0,other,0,0
3.6,90,0.0016662557207063,0.0004065415483966,0,other,0,0
3.64,91,0.0011479640714496,0.0007342122574489,0,other,0,0
3.68,92,0.0040214423140387,0.0009074576405729,0,other,0,0
3.72,93,0.0010761282199145,0.0004322036384447,0,other,0,0
3.76,94,0.0018364496772713,0.0004864529497074,0,other,0,0
3.8,95,0.003401709550848,0.0004261214917162,0,other,0,0
3.84,96,0.0020026514247409,0.000296186519139,0,other,0,0
3.88,97,0.0013788246561466,0.0001069004745055,0,other,0,0
3.92,98,0.0016469527221166,8.104520536933002e-05,0,other,0,0
3.96,99,0.0011139124488855,0.0001361745896495,0,other,0,0
4.0,100,0.0002199299933916,4.546839423072713e-05,0,other,0,0
4.04,101,0.0003582580217866,0.0001894554177286,0,other,0,0
4.08,102,0.0021471097152483,0.0007187054015945,0,other,0,0
4.12,103,0.0046453286472946,0.0003460134028326,0,other,0,0
4.16,104,0.0054257665137998,0.0006086180869208,0,other,0,0
4.2,105,0.004625375378838,0.0009343628555471,0,other,0,0
4.24,106,0.0010610077785415,0.0003471087991729,0,other,0,0
4.28,107,0.000474089102465,0.0003270089170162,0,other,0,0
4.32,108,0.0009078504159991,0.0015345458501954,0,other,0,0
4.36,109,0.0019308009541246,0.0015761931541562,0,other,0,0
4.4,110,0.0004703995019447,0.0003195988228126,0,other,0,0
4.44,111,0.0010122070208436,0.0001543246027912,0,other,0,0
4.48,112,0.0024020788595478,0.0001679687638861,0,other,0,0
4.52,113,0.0017175326853481,0.0001891546669706,0,other,0,0
4.56,114,0.0021305166280474,0.0002871430410821,0,other,0,0
4.6,115,0.0043756585104278,3.972943118225282e-05,0,other,0,0
4.64,116,0.0065439742367288,0.0003058556889422,0,other,0,0
4.68,117,0.0068697215276053,0.0004845075215317,0,other,0,0
4.72,118,0.0056477526076262,0.0017730348382024,0,other,0,0
4.76,119,0.0043616295960717,0.001147748451314,0,other,0,0
4.8,120,0.0033687613435726,0.0016112619542052,0,other,0,0
