Time,Frame,nose_dist,body_dist,freezing,body,Left,Right
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,1
0.96,24,0.0,0.0,0,other,0,1
1.0,25,0.0,0.0,0,other,0,1
1.04,26,0.0,0.0,0,other,0,1
1.08,27,0.0,0.0,0,other,0,1
1.12,28,0.0,0.0,0,other,0,1
1.16,29,0.0,0.0,0,other,0,1
1.2,30,0.0,0.0,0,other,0,1
1.24,31,0.0,0.0,0,other,0,1
1.28,32,0.0,0.0,0,other,0,1
1.32,33,0.0,0.0,0,other,0,1
1.36,34,0.0,0.0,0,other,0,1
1.4,35,0.0,0.0,0,other,0,1
1.44,36,0.0,0.0,0,other,0,1
1.48,37,0.0,0.0,0,other,0,1
1.52,38,0.0,0.0,0,other,0,1
1.56,39,0.0,0.0,0,other,0,1
1.6,40,0.0,0.0,0,other,0,1
1.64,41,0.0,0.0,0,other,0,1
1.68,42,0.0,0.0,0,other,0,1
1.72,43,0.0,0.0,0,other,0,1
1.76,44,0.0,0.0,0,other,0,1
1.8,45,0.0,0.0,0,other,0,1
1.84,46,0.0,0.0,0,other,0,1
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0029116533977072,0.0023308612858009,0,other,0,0
2.52,63,0.0033301781735819,0.003398045956116,0,other,0,0
2.56,64,0.0044089966912243,0.0047815858102787,0,other,0,0
2.6,65,0.003969628337048,0.0037570386464432,0,other,0,0
2.64,66,0.0037467929280333,0.0044326146628174,0,other,0,0
2.68,67,0.0048214360358981,0.0046536508082916,0,other,0,0
2.72,68,0.0050865414511172,0.0058321218112765,0,other,0,0
2.76,69,0.0053430559927785,0.0070612322095634,0,other,0,0
2.8,70,0.0072666097225014,0.006692713782245,0,other,0,0
2.84,71,0.0053043378702167,0.0045060288665895,0,other,0,0
2.88,72,0.0047656107501911,0.0046087945643375,0,other,0,0
2.92,73,0.0055611238566559,0.006493766172121,0,other,0,0
2.96,74,0.0067032132736955,0.0067693826758314,0,other,0,0
3.0,75,0.0077905775093613,0.0080671725077722,0,other,0,0
3.04,76,0.0101092590196742,0.0107232638821226,0,other,0,0
3.08,77,0.0054346877302226,0.0056224593397613,0,centre,0,0
3.12,78,0.0032958028361214,0.0041867057628443,0,centre,0,0
3.16,79,0.0043652872253992,0.0044420056638596,0,centre,0,0
3.2,80,0.0051318163257256,0.0052595441986616,0,centre,0,0
3.24,81,0.0067997553317297,0.0073880581408269,0,centre,0,0
3.28,82,0.0102080928726733,0.0116259692410701,0,centre,0,0
3.32,83,0.0077290418917009,0.0078705000283572,0,centre,0,0
3.36,84,0.0062793961126055,0.0051207483610976,0,centre,0,0
3.4,85,0.0051591835562919,0.0051360960275041,0,centre,0,0
3.44,86,0.0053737515137165,0.0060313508902804,0,centre,0,0
3.48,87,0.006326379640014,0.0065433934194172,0,centre,0,0
3.52,88,0.0057068504176644,0.0076780513672001,0,centre,0,0
3.56,89,0.0031529165890889,0.0054655326591303,0,centre,0,0
3.6,90,0.0032863635911925,0.0049902956334243,0,centre,0,0
3.64,91,0.0038231506338155,0.0039116073757595,0,other,0,0
3.68,92,0.0036231446592234,0.0016461609862706,0,other,0,0
3.72,93,0.0022477438880996,0.0023693119853923,0,other,0,0
3.76,94,0.0020891935871147,0.0016751517843851,0,other,0,0
3.8,95,0.0024367034493005,0.0020385406135978,0,other,0,0
3.84,96,0.0027982034115597,0.0015904296810052,0,other,0,0
3.88,97,0.0025118743229224,0.0014326072145017,0,other,0,0
3.92,98,0.0032034827428639,0.0022988681728568,0,other,0,0
3.96,99,0.0045165771608838,0.0037676174139578,0,other,0,0
4.0,100,0.0031506564454743,0.0032911069367236,0,other,0,0
4.04,101,0.0048291194606339,0.0042003456369832,0,other,0,0
4.08,102,0.0033654426395608,0.0035455220956727,0,other,0,0
4.12,103,0.0021259427374874,0.002147269695227,0,other,0,0
4.16,104,0.0022901075298631,0.0023161186459275,0,other,0,0
4.2,105,0.0019037348788733,0.002310438765729,0,centre,0,0
4.24,106,0.0028336871054659,0.0024262391489082,0,centre,0,0
4.28,107,0.0044063720349191,0.0028652248066867,0,centre,0,0
4.32,108,0.0022666924792458,0.001454102784467,0,centre,0,0
4.36,109,0.002034965655419,0.0024775754947472,0,centre,0,0
4.4,110,0.0029209953161309,0.0032533668079089,0,centre,0,0
4.44,111,0.0043211970078858,0.0038555182931791,0,centre,0,0
4.48,112,0.0032841112258626,0.0030189694299797,0,centre,0,0
4.52,113,0.0033481670691051,0.0030576934987128,0,centre,0,0
4.56,114,0.0033239015044145,0.0026422582358783,0,centre,0,0
4.6,115,0.0040242349680494,0.0033037906083318,0,centre,0,0
4.64,116,0.0042180529006081,0.0033765098848537,0,centre,0,0
4.68,117,0.0041833590708739,0.0026121012046808,0,other,0,0
4.72,118,0.0034219323505322,0.0024109110668765,0,other,0,0
4.76,119,0.0018607735069954,0.0025058304392154,0,other,0,0
