Time,Frame,nose_dist,body_dist,freezing,body,Left,Right
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,1
1.96,49,0.0,0.0,0,other,0,1
2.0,50,0.0,0.0,0,other,0,1
2.04,51,0.0,0.0,0,other,0,1
2.08,52,0.0,0.0,0,other,0,1
2.12,53,0.0,0.0,0,other,0,1
2.16,54,0.0,0.0,0,other,0,1
2.2,55,0.0,0.0,0,other,0,1
2.24,56,0.0,0.0,0,other,0,1
2.28,57,0.0,0.0,0,other,0,1
2.32,58,0.0,0.0,0,other,0,1
2.36,59,0.0,0.0,0,other,0,1
2.4,60,0.0,0.0,0,other,0,1
2.44,61,0.0,0.0,0,other,0,1
2.48,62,0.0135638562352761,0.004530590351837,0,other,0,0
2.52,63,0.0119387873794488,0.0038899329291478,0,other,0,0
2.56,64,0.0048768739572265,0.0014744774348954,0,other,0,0
2.6,65,0.0012179297712516,0.0003724682190833,0,other,0,0
2.64,66,0.0027412760554186,0.0015032798196079,0,other,0,0
2.68,67,0.0050196940788033,0.0047271678942021,0,other,0,0
2.72,68,0.0123730558388978,0.0112348999706897,0,other,0,0
2.76,69,0.0080434254621597,0.0065443724300581,0,other,0,0
2.8,70,0.0051000623186795,0.0059272572383025,0,other,0,0
2.84,71,0.0030012104934359,0.0050729802556489,0,other,0,0
2.88,72,0.0046757492642109,0.0016570956136984,0,other,0,0
2.92,73,0.0024319415395338,0.0001802844261352,0,other,0,0
2.96,74,0.0003667383874906,9.235916465080151e-06,0,other,0,0
3.0,75,1.1932052607477318e-06,3.557013192810699e-05,0,other,0,0
3.04,76,9.346541275026378e-05,0.0002425058489371,0,other,0,0
3.08,77,0.0025787607573646,0.0019800694590827,0,other,0,0
3.12,78,0.0103102990803323,0.0060624378068421,0,other,0,0
3.16,79,0.0043131694522143,0.0022181016292287,0,other,0,0
3.2,80,0.001826484836737,0.0008692619408683,0,other,0,0
3.24,81,0.0015683813417534,0.000469455797755,0,other,0,0
3.28,82,0.0015704498496248,0.0003287750027445,0,other,0,0
3.32,83,0.000376613415809,0.0001629738107628,0,other,0,0
3.36,84,0.0044032975476421,0.0009329516323616,0,other,0,0
3.4,85,0.0162756320293101,0.0031026151837735,0,other,0,0
3.44,86,0.009761363618564,0.0027856550768627,0,other,0,0
3.48,87,0.0064404547982178,0.0026616060972465,0,other,0,0
3.52,88,0.0016433884969901,0.0005676273300097,0,other,0,0
3.56,89,0.0019274361801132,0.0002095817517229,0,other,0,0
3.6,90,0.0034498695885353,0.0009293627175442,0,other,0,0
3.64,91,0.0034845537337816,0.000930917343346,0,other,0,0
3.68,92,0.0055983535759423,0.0011257194575872,0,other,0,0
3.72,93,0.001671905658422,0.0004872858145119,0,other,0,0
3.76,94,0.0026006705448824,0.0012542917005456,0,other,0,1
3.8,95,0.0043806953172735,0.0018151777399652,0,other,0,1
3.84,96,0.0021687529865339,0.001332288940913,0,other,0,1
3.88,97,0.0014378981504278,0.0009742399905169,0,other,0,1
3.92,98,0.0003330796811485,0.0002339529154928,0,other,0,1
3.96,99,0.0018082008290431,0.0001528808601349,0,other,0,1
4.0,100,0.0074659445164631,0.0008536908638712,0,other,0,0
4.04,101,0.0093274297338916,0.0027130013169882,0,other,0,0
4.08,102,0.0118705553033156,0.0039134756075598,0,other,0,0
4.12,103,0.0040900902989172,0.0016701517280584,0,other,0,0
4.16,104,0.0089534050612007,0.0057908015656634,0,other,0,0
4.2,105,0.0150776420705959,0.0125055715203209,0,other,0,0
4.24,106,0.0121314780507883,0.0114818287787565,0,other,0,0
4.28,107,0.015416200529692,0.0160542947421622,0,centre,0,0
4.32,108,0.0107407835005137,0.0106792964139198,0,centre,0,0
4.36,109,0.0035754130524562,0.003447002983075,0,centre,0,0
4.4,110,0.0078878417743548,0.0085478300622493,0,centre,0,0
4.44,111,0.0088554421966266,0.0126109046568296,0,centre,0,0
4.48,112,0.0091503309738007,0.0098654482721869,0,centre,0,0
4.52,113,0.002783487637562,0.0027821827262584,0,centre,0,0
4.56,114,0.0064232261829181,0.0048525202072256,0,centre,0,0
4.6,115,0.0068134081065892,0.0054675827362616,0,centre,0,0
4.64,116,0.0059343714677916,0.0050504338210631,0,centre,0,0
4.68,117,0.0101232189997211,0.0088095986911613,0,centre,0,0
4.72,118,0.0061908381968674,0.0067911613741203,0,centre,0,0
4.76,119,0.0025307869762832,0.0024263753983589,0,centre,0,0
