Time,Frame,nose_dist,body_dist,freezing,body,Left,Right
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,1,0
1.04,26,0.0,0.0,0,other,1,0
1.08,27,0.0,0.0,0,other,1,0
1.12,28,0.0,0.0,0,other,1,0
1.16,29,0.0,0.0,0,other,1,0
1.2,30,0.0,0.0,0,other,1,0
1.24,31,0.0,0.0,0,other,1,0
1.28,32,0.0,0.0,0,other,1,0
1.32,33,0.0,0.0,0,other,1,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0091765274867052,0.0100070609083808,0,other,0,0
2.52,63,0.0028382800162759,0.0029693053424631,0,other,0,0
2.56,64,0.0047000635439469,0.0047046020071959,0,other,0,0
2.6,65,0.0086436341832218,0.008006834867645,0,other,0,0
2.64,66,0.009218743869394,0.0086622065604057,0,other,0,0
2.68,67,0.0120121378516633,0.0133506110463568,0,other,0,0
2.72,68,0.0042089974403684,0.0048231243829418,0,other,0,0
2.76,69,0.0090799462463497,0.0100081802815586,0,other,0,0
2.8,70,0.015782196536916,0.0165557148470285,0,other,0,0
2.84,71,0.0115273876307868,0.0126798195026798,0,other,0,0
2.88,72,0.0095252742266016,0.0104799322778321,0,other,0,0
2.92,73,0.0095034205848571,0.0102836800150591,0,other,0,0
2.96,74,0.0109689586305503,0.011271523069238,0,other,0,0
3.0,75,0.0086623904578585,0.0055334479048436,0,other,0,0
3.04,76,0.0082961662472452,0.0032139329201915,0,other,0,0
3.08,77,0.0076439133160635,0.0048264132716217,0,other,0,0
3.12,78,0.0097363077757361,0.0096574885803355,0,other,0,0
3.16,79,0.0033441484689184,0.0032327621551292,0,other,0,0
3.2,80,0.0068587846250881,0.0054180280319191,0,other,0,0
3.24,81,0.0118427525241716,0.0094162126271382,0,other,0,0
3.28,82,0.0110009263098083,0.0109256108865119,0,other,0,0
3.32,83,0.0114584162502687,0.0141659529621705,0,other,0,0
3.36,84,0.0036599551456947,0.0043811197072711,0,other,0,0
3.4,85,0.0075246041411711,0.0074573948419277,0,other,0,0
3.44,86,0.0132251949252351,0.0125324064998355,0,other,0,0
3.48,87,0.008205666737072,0.0088359554176003,0,other,0,0
3.52,88,0.0078677730658497,0.0084307012891841,0,other,0,0
3.56,89,0.0082694933810192,0.0080534515811888,0,other,0,0
3.6,90,0.0085440607259732,0.0091439748927401,0,other,0,0
3.64,91,0.0113890544627976,0.0109456779975907,0,other,0,0
3.68,92,0.0037878403725837,0.0036182485102853,0,other,0,0
3.72,93,0.0072878081067928,0.0075936817483876,0,other,0,0
3.76,94,0.0118389447676775,0.0129738713840366,0,other,0,0
3.8,95,0.0044874363016591,0.0069445558953727,0,other,0,0
3.84,96,0.0067143327195721,0.0052689543394237,0,other,0,0
3.88,97,0.007616974902735,0.0037090498328008,0,other,0,0
3.92,98,0.005320577965393,0.0028351587550855,0,other,0,0
3.96,99,0.0018050646879669,0.0015757298046049,0,other,0,0
4.0,100,0.0041048897165005,0.004938753646105,0,other,0,0
4.04,101,0.0052017739097168,0.0057869080911274,0,other,0,0
4.08,102,0.0034138547115591,0.0024720408107116,0,other,0,0
4.12,103,0.0027458018770553,0.0017924982841061,0,other,0,0
4.16,104,0.0018737766150601,0.0020997248672575,0,other,0,0
4.2,105,0.0011525600186184,0.0013187191432083,0,other,0,0
4.24,106,0.0038519124120734,0.0038535728170273,0,other,0,0
4.28,107,0.005406778633217,0.0043840268579726,0,other,0,0
4.32,108,0.00884637458935,0.0080890835937017,0,other,0,0
4.36,109,0.0042816856600421,0.0037245801378887,0,other,0,0
4.4,110,0.0018477074212982,0.001606124387417,0,other,0,0
4.44,111,0.0018880359249519,0.0011729838713386,0,other,0,0
4.48,112,0.0025022991356034,0.0019711641419847,0,other,0,0
4.52,113,0.001604209684551,0.0008310877134646,0,other,0,0
4.56,114,0.0057881331118292,0.0022561812625605,0,other,0,0
4.6,115,0.0074918965402852,0.0045106297916776,0,other,0,0
4.64,116,0.004599285718622,0.0046400438188335,0,other,0,0
4.68,117,0.0063653121036337,0.0051479495855581,0,other,0,0
4.72,118,0.0023546632905094,0.0017775894182438,0,other,0,0
4.76,119,0.0055394277383827,0.0043715196789037,0,other,0,0
4.8,120,0.0100791784557904,0.0089802531286169,0,other,0,0
