Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
0.04,1,0.0,0.0,0,centre,0,0
0.08,2,0.0,0.0,0,centre,0,0
0.12,3,0.0,0.0,0,centre,0,0
0.16,4,0.0,0.0,0,centre,0,0
0.2,5,0.0,0.0,0,centre,0,0
0.24,6,0.0,0.0,0,centre,0,0
0.28,7,0.0,0.0,0,centre,0,0
0.32,8,0.0,0.0,0,centre,0,0
0.36,9,0.0,0.0,0,centre,0,0
0.4,10,0.0,0.0,0,centre,0,0
0.44,11,0.0,0.0,0,centre,0,0
0.48,12,0.0,0.0,0,centre,0,0
0.52,13,0.0,0.0,0,centre,0,0
0.56,14,0.0,0.0,0,centre,0,0
0.6,15,0.0,0.0,0,centre,0,0
0.64,16,0.0,0.0,0,centre,0,0
0.68,17,0.0,0.0,0,centre,0,0
0.72,18,0.0,0.0,0,centre,0,0
0.76,19,0.0,0.0,0,centre,0,0
0.8,20,0.0,0.0,0,centre,0,0
0.84,21,0.0,0.0,0,centre,0,0
0.88,22,0.0,0.0,0,centre,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,centre,0,0
1.44,36,0.0,0.0,0,centre,0,0
1.48,37,0.0,0.0,0,centre,0,0
1.52,38,0.0,0.0,0,centre,0,0
1.56,39,0.0,0.0,0,centre,0,0
1.6,40,0.0,0.0,0,centre,0,0
1.64,41,0.0,0.0,0,centre,0,0
1.68,42,0.0,0.0,0,centre,0,0
1.72,43,0.0,0.0,0,centre,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,1,0
2.48,62,0.0003067141647655,0.0014215646447708,0,other,1,0
2.52,63,4.279680693273819e-05,0.0024299754316553,0,other,1,0
2.56,64,0.0002355758388423,0.0011564838059353,0,other,1,0
2.6,65,0.0003354863110915,0.0004740591181746,0,other,1,0
2.64,66,0.0002490418611224,0.0005334534884803,0,other,1,0
2.68,67,0.0006823900169185,0.0002509470372379,0,other,1,0
2.72,68,0.0010566030494319,0.0004597147061915,0,other,1,0
2.76,69,0.0007925012977715,0.0005955663024682,0,other,1,0
2.8,70,0.0010669931511762,0.0008242876172017,0,other,1,0
2.84,71,0.0006913739560921,0.0005190338899404,0,other,1,0
2.88,72,0.0002742748986511,0.0002789190656501,0,other,1,0
2.92,73,0.0001472123337274,9.979994312213136e-05,0,other,1,0
2.96,74,0.0008105673896539,2.511427882611521e-05,0,other,1,0
3.0,75,0.0015434763776632,0.0002248791094667,0,other,1,0
3.04,76,0.0031261167921064,0.00087813619988,0,other,1,0
3.08,77,0.0055257619285497,0.0012118637532808,0,other,0,0
3.12,78,0.0049269461030547,0.0007508436396828,0,other,0,0
3.16,79,0.0039351231282717,0.000238846897353,0,other,0,0
3.2,80,0.0040283295878394,0.0005658950343873,0,other,0,0
3.24,81,0.0020489168970626,0.00095265954501,0,other,0,0
3.28,82,0.0024827983244498,0.001727348017779,0,other,0,0
3.32,83,0.0051884931462693,0.005122364801463,0,other,0,0
3.36,84,0.0044349648489353,0.0040478499874381,0,other,0,0
3.4,85,0.0038046196962709,0.0035059623694643,0,other,0,0
3.44,86,0.0043836454653449,0.0036501452005686,0,other,0,0
3.48,87,0.0053237373381869,0.0058965512516745,0,other,0,0
3.52,88,0.0041553764708543,0.0046325021457653,0,other,0,0
