Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,1,0
0.24,6,0.0,0.0,0,other,1,0
0.28,7,0.0,0.0,0,other,1,0
0.32,8,0.0,0.0,0,centre,1,0
0.36,9,0.0,0.0,0,centre,1,0
0.4,10,0.0,0.0,0,centre,1,0
0.44,11,0.0,0.0,0,centre,1,0
0.48,12,0.0,0.0,0,centre,1,0
0.52,13,0.0,0.0,0,centre,1,0
0.56,14,0.0,0.0,0,centre,1,0
0.6,15,0.0,0.0,0,centre,1,0
0.64,16,0.0,0.0,0,centre,1,0
0.68,17,0.0,0.0,0,other,1,0
0.72,18,0.0,0.0,0,other,1,0
0.76,19,0.0,0.0,0,other,1,0
0.8,20,0.0,0.0,0,other,1,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0077527821127835,0.0087641176358044,0,other,0,0
2.52,63,0.0100525337861474,0.0100215294637376,0,other,0,0
2.56,64,0.0047351432917061,0.0051134636316667,0,other,0,0
2.6,65,0.0009326765974071,0.0009717199982625,0,other,0,0
2.64,66,0.0013801205788345,0.0012923633500969,0,other,0,0
2.68,67,0.002713723048913,0.0014318248490913,0,other,0,0
2.72,68,0.0074636926427202,0.0012370419563967,0,other,0,0
2.76,69,0.0090392160633792,0.0015733255756024,0,other,0,0
2.8,70,0.0072138259840848,0.0020508020236143,0,other,0,0
2.84,71,0.0073799973427828,0.0037883594994692,0,other,0,0
2.88,72,0.008828608452255,0.0068235127332312,0,other,0,0
2.92,73,0.0040321309034417,0.0034380195047986,0,other,0,0
2.96,74,0.0019422432286291,0.00194859678454,0,other,0,0
3.0,75,0.0063031334383439,0.0068204455389932,0,other,0,0
3.04,76,0.0056503138565029,0.0067176806662617,0,other,0,0
3.08,77,0.0068548099186064,0.006734298410717,0,other,0,0
3.12,78,0.0054339953713705,0.0053110149471674,0,other,0,0
3.16,79,0.0049807891508958,0.004647886196723,0,other,0,0
3.2,80,0.0060098667999834,0.0058610455510173,0,other,0,0
3.24,81,0.0095731626566789,0.008641478677892,0,other,0,0
3.28,82,0.0046338154918663,0.0049909493625688,0,other,0,0
3.32,83,0.0024170681901582,0.0026808315491199,0,other,0,0
3.36,84,0.0079992302768135,0.0083660510097169,0,other,0,0
3.4,85,0.0074770589294094,0.006641506223583,0,other,0,0
3.44,86,0.0079494563235451,0.0088036183847854,0,other,0,0
3.48,87,0.0038793471410366,0.0058785710221631,0,other,0,0
3.52,88,0.0043916346872249,0.0045586790725906,0,other,0,0
3.56,89,0.0062976445504346,0.0042955202616752,0,other,0,0
3.6,90,0.0068631677118125,0.0067363036428692,0,other,0,0
3.64,91,0.0034421676247065,0.0059750641281117,0,other,0,0
3.68,92,0.0019720784538303,0.0030993097444711,0,other,0,0
3.72,93,0.0004855999264974,0.0010202400944451,0,other,0,0
3.76,94,0.0004427441512682,0.0018225603895656,0,other,0,0
3.8,95,0.0021301977662245,0.0012434475776875,0,other,0,0
3.84,96,0.0028693825697991,0.0011550796100382,0,other,0,0
3.88,97,0.0026602696860279,0.0023445325887079,0,other,0,0
3.92,98,0.0040626793174701,0.0039697154421733,0,other,0,0
3.96,99,0.0031575746456657,0.0024509220704156,0,other,0,0
4.0,100,0.0010527708450061,0.0007679423114135,0,other,0,0
4.04,101,0.001922213051768,0.0014261680836393,0,other,0,0
4.08,102,0.0025158767810486,0.0006723677244956,0,other,0,0
4.12,103,0.0055626653094949,0.0006340475720271,0,other,0,0
4.16,104,0.0037191170742772,0.0005684531164369,0,other,0,0
4.2,105,0.0031711144820891,0.0002493445012833,0,other,0,0
4.24,106,0.0021595904390563,0.0002318413315653,0,other,0,0
4.28,107,0.0015930163007419,0.0002411485665826,0,other,1,0
4.32,108,0.0006497958247539,4.598917723043882e-05,0,other,1,0
4.36,109,0.0010104517809116,0.00018186756868,0,other,1,0
4.4,110,0.0044143692432029,0.0003556914805972,0,other,0,0
4.44,111,0.0053796318126477,0.0001798800721389,0,other,0,0
4.48,112,0.003107371058926,5.138295719902239e-05,0,other,0,0
4.52,113,0.0020793990632961,0.0003850806767615,0,other,0,0
4.56,114,0.0027701981381887,0.0019309107965915,0,other,0,0
4.6,115,0.0032392886141652,0.0030310265354143,0,other,0,0
4.64,116,0.0045562387122248,0.0044117279878364,0,other,0,0
4.68,117,0.0040758542361346,0.0043973735645716,0,other,0,0
4.72,118,0.0031446705807952,0.0034687922423393,0,other,0,0
4.76,119,0.0105903764607865,0.0112228882191858,0,other,0,0
