Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,centre,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,1
1.92,48,0.0,0.0,0,other,0,1
1.96,49,0.0,0.0,0,other,0,1
2.0,50,0.0,0.0,0,other,0,1
2.04,51,0.0,0.0,0,other,0,1
2.08,52,0.0,0.0,0,other,0,1
2.12,53,0.0,0.0,0,other,0,1
2.16,54,0.0,0.0,0,other,0,1
2.2,55,0.0,0.0,0,other,0,1
2.24,56,0.0,0.0,0,other,0,1
2.28,57,0.0,0.0,0,other,0,1
2.32,58,0.0,0.0,0,other,0,1
2.36,59,0.0,0.0,0,other,0,1
2.4,60,0.0,0.0,0,other,0,1
2.44,61,0.0,0.0,0,other,0,1
2.48,62,0.0014701829285571,0.0001445250487417,0,other,0,1
2.52,63,0.0013051852426823,0.0002897316342751,0,other,0,1
2.56,64,0.0007988798320576,0.0004459632404155,0,other,0,1
2.6,65,0.0004247425893653,0.0009356989876431,0,other,0,1
2.64,66,0.000429309449292,0.0011104891836045,0,other,0,1
2.68,67,0.0003025392653353,0.0008237029506494,0,other,0,1
2.72,68,0.0016297113933967,0.0011578079202969,0,other,0,1
2.76,69,0.0034774800756893,0.0010970808745417,0,other,0,1
2.8,70,0.0034164080072076,0.0006155548176891,0,other,0,1
2.84,71,0.0046117121741234,0.0004283455753249,0,other,0,1
2.88,72,0.0051509230868918,0.0005813228701559,0,other,0,1
2.92,73,0.002709314633299,0.0007959183181228,0,other,0,0
2.96,74,0.0019915327569167,0.0010600130679746,0,other,0,0
3.0,75,0.0020816008028509,0.0022491924565338,0,other,0,0
3.04,76,0.0037834972120235,0.0038389317230804,0,other,0,0
3.08,77,0.0036046410889507,0.0049289577647668,0,other,0,0
3.12,78,0.0040648539217332,0.0042428916144552,0,other,0,0
3.16,79,0.0048556767116688,0.0020670859178972,0,other,0,0
3.2,80,0.0011189539251015,0.0024091289236078,0,other,0,0
3.24,81,0.0005856377418631,0.0005546439874369,0,other,0,0
3.28,82,0.0049777319335991,0.0008798886256171,0,other,0,0
3.32,83,0.0122324129345385,0.0040232285081176,0,other,0,0
3.36,84,0.0072970166121694,0.0033314900790062,0,other,0,0
3.4,85,0.0031890539322484,0.0011096315836115,0,other,0,0
3.44,86,0.0009694984228425,0.001794951672816,0,other,0,0
3.48,87,0.0044234076091949,0.0039492134465283,0,other,0,0
3.52,88,0.0089915898904979,0.008652474554625,0,other,0,0
3.56,89,0.0160465994159346,0.016276193016362,0,other,0,0
3.6,90,0.0106579355888992,0.0102961260502925,0,other,0,0
3.64,91,0.0074524105861066,0.0063836627201906,0,other,0,0
3.68,92,0.0051757201090459,0.0042930520845049,0,other,0,0
3.72,93,0.0056798368093311,0.0026377075880175,0,other,0,0
3.76,94,0.0028393109866898,0.0023779103311954,0,other,0,0
3.8,95,0.0019830544623984,0.0007609393708705,0,other,0,0
3.84,96,0.0026003734015337,0.000248183496013,0,other,0,0
3.88,97,0.001641593427614,0.0005602182858346,0,other,0,0
3.92,98,0.0010777873539462,0.0006955719032829,0,other,0,0
3.96,99,0.0028135169400995,0.001470510385132,0,other,0,0
4.0,100,0.0019568454570047,0.0026497622860427,0,other,0,0
4.04,101,0.0036182126245852,0.0012694790641247,0,other,0,0
4.08,102,0.0048967395715312,0.0006678868553304,0,other,0,0
4.12,103,0.0062037442639477,0.000194829289595,0,other,0,0
4.16,104,0.008608484627295,0.000292252999402,0,other,0,0
4.2,105,0.002674186884524,0.0001838159812001,0,other,0,0
4.24,106,0.0016806657059046,3.044437279158893e-05,0,other,0,0
4.28,107,0.0012858715490594,0.0005372635302595,0,other,0,0
4.32,108,0.0079481463934096,0.0059048182762367,0,other,0,0
4.36,109,0.0199906037207059,0.0170550948467512,0,other,0,0
4.4,110,0.013078970101011,0.0117824102114401,0,other,0,0
4.44,111,0.0129381738237234,0.0137414452776369,0,other,0,0
4.48,112,0.004516105670192,0.0045183614936004,0,other,0,0
4.52,113,0.0104695095706631,0.0093043141102353,0,other,0,0
4.56,114,0.0181467320751664,0.0189176327340437,0,other,0,0
4.6,115,0.0141557202118379,0.0151087194876661,0,other,0,0
4.64,116,0.0149834120584028,0.0157339409871703,0,other,0,0
4.68,117,0.0046828088428496,0.0049888990039336,0,other,0,0
4.72,118,0.0057587603217767,0.0073888367901654,0,other,0,0
4.76,119,0.0026438471269061,0.0065162181910377,0,other,0,0
4.8,120,0.0010849557017094,0.002581082628564,0,other,0,0
