Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0072017192518861,0.0005739627048348,0,other,0,0
2.52,63,0.0073442913122995,0.0019503735747194,0,other,0,0
2.56,64,0.0077883237421461,0.0028987138767006,0,other,0,0
2.6,65,0.0105227345317526,0.0058723278950526,0,other,0,0
2.64,66,0.0071348271772212,0.0061790054731153,0,other,0,0
2.68,67,0.0043323936333121,0.0042845611419065,0,other,0,0
2.72,68,0.0020350946343314,0.0030422531737451,0,other,0,0
2.76,69,0.0032563881982034,0.0034211257454949,0,other,0,0
2.8,70,0.002191291714591,0.0020682621200575,0,other,0,0
2.84,71,0.0028573875543494,0.0020341869927076,0,other,0,0
2.88,72,0.0051512072941609,0.0021532598230278,0,other,0,0
2.92,73,0.0035350660308389,0.0018880305942656,0,other,0,0
2.96,74,0.0030408185150271,0.0022981942134969,0,other,0,0
3.0,75,0.0015922562623221,0.0028874311138867,0,other,0,0
3.04,76,0.0023310286042944,0.0034792718011755,0,other,0,0
3.08,77,0.0019502020210091,0.0014391562104072,0,other,0,0
3.12,78,0.0033425897946375,0.0012625178359177,0,other,0,0
3.16,79,0.0028404213395263,0.0002828207374627,0,other,0,0
3.2,80,0.000595738604167,0.0001540593092565,0,other,0,0
3.24,81,0.0015766178647537,0.0010260432627449,0,other,0,0
3.28,82,0.005473156639672,0.0027649296514887,0,other,0,0
3.32,83,0.0032458928343885,0.0016533853524544,0,other,0,0
3.36,84,0.0019440955105823,0.0008041905913589,0,other,0,0
3.4,85,0.0004273009499622,0.000145729023992,0,other,0,0
3.44,86,0.0009470821132008,8.55378956393256e-05,0,other,0,0
3.48,87,0.0029227885807213,0.0006210874738883,0,other,0,0
3.52,88,0.0034262908304183,0.0014591556199386,0,other,0,0
3.56,89,0.002850909975014,0.0014346523767847,0,other,0,0
3.6,90,0.0019619264279609,0.0011238130020434,0,other,0,0
3.64,91,0.0019210091660024,0.0011888361012839,0,other,0,0
3.68,92,0.003121158965743,0.0022024053770212,0,other,0,0
3.72,93,0.0034075406358913,0.0017484135714464,0,other,0,0
3.76,94,0.0036616625289435,0.0013364130473739,0,other,0,0
3.8,95,0.0018594681494761,0.0012085188114246,0,other,0,0
3.84,96,0.0021802259484834,0.0008204370984916,0,other,0,0
3.88,97,0.0022273502060778,0.0003981395950743,0,other,0,0
3.92,98,0.0019090011230952,0.0002887515080713,0,other,0,0
3.96,99,0.0003818256834368,7.598595567557296e-05,0,other,0,0
4.0,100,0.0001781086958189,8.424837395820814e-06,0,other,0,0
4.04,101,0.0009850593972204,0.0001529006666125,0,other,0,0
4.08,102,0.0017918845650313,0.0007982590030656,0,other,0,0
4.12,103,0.0021032367149022,0.0009191160763456,0,other,0,0
4.16,104,0.0049295577746741,0.0002588552926703,0,other,0,0
4.2,105,0.0055018245063665,0.0004831931302196,0,other,0,0
4.24,106,0.0035228048466013,0.0009391904574628,0,other,0,0
4.28,107,0.0031764298174994,0.0019402332699186,0,other,0,0
4.32,108,0.0022565478106906,0.0035366763505443,0,other,0,0
4.36,109,0.0030205743136373,0.0046943396804887,0,other,0,0
4.4,110,0.0038527444697317,0.0071799204615673,0,other,0,0
4.44,111,0.0018557922933858,0.0029953349297175,0,other,0,0
4.48,112,0.0013786081153082,0.000821045310992,0,other,0,0
4.52,113,0.000840670627016,0.0002953618687101,0,other,0,0
4.56,114,0.0032311984560359,0.0010531296082159,0,other,0,0
4.6,115,0.004541386808021,0.002410549480874,0,other,0,0
4.64,116,0.00253351971463,0.0017207350755272,0,other,0,0
4.68,117,0.003248537649385,0.0028166756234996,0,other,0,0
4.72,118,0.0042728502894436,0.0026920503910184,0,other,0,0
4.76,119,0.005934931298599,0.000875102385561,0,other,0,0
4.8,120,0.0028474816067175,9.013211004655902e-05,0,other,0,0
