Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
0.04,1,0.0,0.0,0,other,0,0
0.08,2,0.0,0.0,0,other,0,0
0.12,3,0.0,0.0,0,other,0,0
0.16,4,0.0,0.0,0,other,0,0
0.2,5,0.0,0.0,0,other,0,0
0.24,6,0.0,0.0,0,other,0,0
0.28,7,0.0,0.0,0,other,0,0
0.32,8,0.0,0.0,0,other,0,0
0.36,9,0.0,0.0,0,other,0,0
0.4,10,0.0,0.0,0,other,0,0
0.44,11,0.0,0.0,0,other,0,0
0.48,12,0.0,0.0,0,other,0,0
0.52,13,0.0,0.0,0,other,0,0
0.56,14,0.0,0.0,0,other,0,0
0.6,15,0.0,0.0,0,other,0,0
0.64,16,0.0,0.0,0,other,0,0
0.68,17,0.0,0.0,0,other,0,0
0.72,18,0.0,0.0,0,other,0,0
0.76,19,0.0,0.0,0,other,0,0
0.8,20,0.0,0.0,0,other,0,0
0.84,21,0.0,0.0,0,other,0,0
0.88,22,0.0,0.0,0,other,0,0
0.92,23,0.0,0.0,0,other,0,0
0.96,24,0.0,0.0,0,other,0,0
1.0,25,0.0,0.0,0,other,0,0
1.04,26,0.0,0.0,0,other,0,0
1.08,27,0.0,0.0,0,other,0,0
1.12,28,0.0,0.0,0,other,0,0
1.16,29,0.0,0.0,0,other,0,0
1.2,30,0.0,0.0,0,other,0,0
1.24,31,0.0,0.0,0,other,0,0
1.28,32,0.0,0.0,0,other,0,0
1.32,33,0.0,0.0,0,other,0,0
1.36,34,0.0,0.0,0,other,0,0
1.4,35,0.0,0.0,0,other,0,0
1.44,36,0.0,0.0,0,other,0,0
1.48,37,0.0,0.0,0,other,0,0
1.52,38,0.0,0.0,0,other,0,0
1.56,39,0.0,0.0,0,other,0,0
1.6,40,0.0,0.0,0,other,0,0
1.64,41,0.0,0.0,0,other,0,0
1.68,42,0.0,0.0,0,other,0,0
1.72,43,0.0,0.0,0,other,0,0
1.76,44,0.0,0.0,0,other,0,0
1.8,45,0.0,0.0,0,other,0,0
1.84,46,0.0,0.0,0,other,0,0
1.88,47,0.0,0.0,0,other,0,0
1.92,48,0.0,0.0,0,other,0,0
1.96,49,0.0,0.0,0,other,0,0
2.0,50,0.0,0.0,0,other,0,0
2.04,51,0.0,0.0,0,other,0,0
2.08,52,0.0,0.0,0,other,0,0
2.12,53,0.0,0.0,0,other,0,0
2.16,54,0.0,0.0,0,other,0,0
2.2,55,0.0,0.0,0,other,0,0
2.24,56,0.0,0.0,0,other,0,0
2.28,57,0.0,0.0,0,other,0,0
2.32,58,0.0,0.0,0,other,0,0
2.36,59,0.0,0.0,0,other,0,0
2.4,60,0.0,0.0,0,other,0,0
2.44,61,0.0,0.0,0,other,0,0
2.48,62,0.0012734031472199,0.0003367302782581,0,other,0,0
2.52,63,0.0018916009770995,0.0008143145861886,0,other,0,0
2.56,64,0.0030478102903523,0.0007987503520637,0,other,0,0
2.6,65,0.0050607474293055,0.0001615874749686,0,other,0,0
2.64,66,0.0025109412535401,0.0001880539779424,0,other,0,0
2.68,67,0.0020113586431368,0.0008842293730894,0,other,0,0
2.72,68,0.0025076207524073,0.0007917743206493,0,other,0,0
2.76,69,0.0018769304504375,0.0003605686460132,0,other,0,0
2.8,70,0.002330170443854,0.0,0,other,0,0
2.84,71,0.0034628209213831,0.0002528961829713,0,other,0,0
2.88,72,0.0038601563331665,0.0001985395105092,0,other,0,0
2.92,73,0.0027103200823746,0.0002450926997188,0,other,0,0
2.96,74,0.0018633778814232,0.0008480675906652,0,other,0,0
3.0,75,0.0016049988593577,0.0013806212982223,0,other,0,0
3.04,76,0.0010024011729434,0.0010502431972698,0,other,0,0
3.08,77,0.0011407496321333,0.001214438435368,0,other,0,0
3.12,78,0.0023491833006644,0.0012908711136131,0,other,0,0
3.16,79,0.0022384614203863,0.0009190943990458,0,other,0,0
3.2,80,0.0021587341494494,0.0001732257603332,0,other,0,0
3.24,81,0.0015265832035224,0.0007391957189014,0,other,0,0
3.28,82,0.0052245258508505,0.0031463435372918,0,other,0,0
3.32,83,0.0040410039488204,0.0020421267212569,0,other,0,0
3.36,84,0.0022248545954778,0.001166159753479,0,other,0,0
3.4,85,0.0016334281892705,0.0013413046142013,0,other,0,0
3.44,86,0.0006945414841987,0.0006070059063946,0,other,0,0
3.48,87,0.0012376742944279,0.0001560167003179,0,other,0,0
3.52,88,0.004205209715005,0.0007547884327185,0,other,0,0
3.56,89,0.0034172098469812,0.0013494578291534,0,other,0,0
3.6,90,0.0020097829250537,0.0016037840192598,0,other,0,0
3.64,91,0.0013614977602281,0.0019393738668863,0,other,0,0
3.68,92,0.0007178656442603,0.0010476095513071,0,other,0,0
3.72,93,0.0012608696402874,0.0005008707644929,0,other,0,0
3.76,94,0.000343459956308,0.0001039978638725,0,other,0,0
3.8,95,0.0002362421259639,5.47271905239384e-05,0,other,0,0
3.84,96,0.0009665506513782,5.589024215986171e-06,0,other,0,0
3.88,97,0.0004829747227052,6.83504523966032e-05,0,other,0,0
3.92,98,0.0008840233240644,0.0001980769246848,0,other,0,0
3.96,99,0.0053293598491128,0.0005688394486223,0,other,0,0
4.0,100,0.013127181554025,0.0018187923252848,0,other,0,0
4.04,101,0.0079830917253936,0.0011382505738304,0,other,0,0
4.08,102,0.0047574268634044,0.0004516174840309,0,other,0,0
4.12,103,0.00354998813706,0.0004492093260558,0,other,0,0
4.16,104,0.0029462811189026,0.0003450965173139,0,other,0,0
4.2,105,0.0027244948626995,0.0006613572188096,0,other,0,0
4.24,106,0.0035357184957557,0.0014630064733236,0,other,0,0
4.28,107,0.0050154326999996,0.0025921829863208,0,other,0,0
4.32,108,0.0079683884300565,0.0049146329133333,0,other,0,0
4.36,109,0.0050493824954311,0.0035201012938283,0,other,0,0
4.4,110,0.0049338953651675,0.0051144169345926,0,other,0,0
4.44,111,0.0058913351320069,0.0061753893341413,0,other,0,0
4.48,112,0.0039369605666886,0.0049950389274679,0,other,0,0
4.52,113,0.0034228897965779,0.0037775003712129,0,other,0,0
4.56,114,0.0031971874520461,0.0032376975996361,0,other,0,0
4.6,115,0.0046232177039275,0.0044541006065761,0,other,0,0
4.64,116,0.0081676218353323,0.0077510849960218,0,other,0,0
4.68,117,0.0071093686239197,0.0077329039244301,0,other,0,0
4.72,118,0.0064140759001871,0.0070275079838388,0,other,0,0
4.76,119,0.0072815784887457,0.0076415883069404,0,other,0,0
4.8,120,0.0111718612543688,0.0105118387120646,0,other,0,0
