Time,Frame,nose_dist,body_dist,freezing,Left,Right
0.04,1,0.0,0.0,0,0.01,0.01
0.08,2,0.0,0.0,0,0.0,0.0
0.12,3,0.0,0.0,0,0.0,0.0
0.16,4,0.0,0.0,0,0.0,0.0
0.2,5,0.0,0.0,0,0.0,0.0
0.24,6,0.0,0.0,0,0.0,0.01
0.28,7,0.0,0.0,0,0.0,0.0
0.32,8,0.0,0.0,0,0.0,0.0
0.36,9,0.0,0.0,0,0.0,0.0
0.4,10,0.0,0.0,0,0.0,0.0
0.44,11,0.0,0.0,0,0.0,0.0
0.48,12,0.0,0.0,0,0.0,0.0
0.52,13,0.0,0.0,0,0.0,0.0
0.56,14,0.0,0.0,0,0.0,0.0
0.6,15,0.0,0.0,0,0.0,0.01
0.64,16,0.0,0.0,0,0.0,0.01
0.68,17,0.0,0.0,0,0.01,0.01
0.72,18,0.0,0.0,0,0.01,0.01
0.76,19,0.0,0.0,0,0.01,0.01
0.8,20,0.0,0.0,0,0.01,0.01
0.84,21,0.0,0.0,0,0.0,0.01
0.88,22,0.0,0.0,0,0.0,0.01
0.92,23,0.0,0.0,0,0.0,0.01
0.96,24,0.0,0.0,0,0.01,0.01
1.0,25,0.0,0.0,0,0.01,0.01
1.04,26,0.0,0.0,0,0.01,0.01
1.08,27,0.0,0.0,0,0.01,0.01
1.12,28,0.0,0.0,0,0.01,0.01
1.16,29,0.0,0.0,0,0.01,0.01
1.2,30,0.0,0.0,0,0.01,0.02
1.24,31,0.0,0.0,0,0.01,0.03
1.28,32,0.0,0.0,0,0.01,0.06
1.32,33,0.0,0.0,0,0.01,0.05
1.36,34,0.0,0.0,0,0.01,0.04
1.4,35,0.0,0.0,0,0.01,0.02
1.44,36,0.0,0.0,0,0.01,0.01
1.48,37,0.0,0.0,0,0.01,0.01
1.52,38,0.0,0.0,0,0.01,0.01
1.56,39,0.0,0.0,0,0.01,0.0
1.6,40,0.0,0.0,0,0.01,0.0
1.64,41,0.0,0.0,0,0.01,0.0
1.68,42,0.0,0.0,0,0.01,0.0
1.72,43,0.0,0.0,0,0.01,0.0
1.76,44,0.0,0.0,0,0.01,0.0
1.8,45,0.0,0.0,0,0.01,0.0
1.84,46,0.0,0.0,0,0.01,0.01
1.88,47,0.0,0.0,0,0.01,0.01
1.92,48,0.0,0.0,0,0.01,0.01
1.96,49,0.0,0.0,0,0.01,0.01
2.0,50,0.0,0.0,0,0.01,0.01
2.04,51,0.0,0.0,0,0.01,0.01
2.08,52,0.00621234414121,0.0042895037590625,0,0.01,0.01
2.12,53,0.0068531494541559,0.0056574198243571,0,0.01,0.01
2.16,54,0.0056638099007709,0.0038685851174432,0,0.01,0.01
2.2,55,0.0051172330476389,0.0032100388665802,0,0.01,0.01
2.24,56,0.0057770461477585,0.0050734003225643,0,0.01,0.0
2.28,57,0.006662855887225,0.0083362295762925,0,0.01,0.0
2.32,58,0.0080488768987258,0.0101101391986324,0,0.01,0.0
2.36,59,0.0063875947002734,0.0059817510839762,0,0.01,0.0
2.4,60,0.008982661672827,0.0105597842173066,0,0.01,0.01
2.44,61,0.0177576679944525,0.0189977507192882,0,0.0,0.01
2.48,62,0.0143651051819263,0.0147625266557749,0,0.0,0.01
2.52,63,0.016414416225033,0.0150816270986047,0,0.0,0.0
2.56,64,0.0098995910460174,0.0085370065987754,0,0.01,0.0
2.6,65,0.0069562666600289,0.0075793512938442,0,0.01,0.0
2.64,66,0.0054298059920184,0.0066167213272409,0,0.01,0.0
2.68,67,0.0053016182947967,0.006235135994473,0,0.01,0.0
2.72,68,0.0072440720722267,0.006503917037385,0,0.01,0.0
2.76,69,0.0093161184060705,0.0078754822265994,0,0.01,0.0
2.8,70,0.0051490308422425,0.0040954997890997,0,0.01,0.0
2.84,71,0.0031313957434816,0.0027556957971193,0,0.01,0.0
2.88,72,0.0018380366070951,0.001723450632442,0,0.01,0.0
2.92,73,0.0003688267092479,0.0020504328424725,0,0.01,0.0
2.96,74,0.0009832353510906,0.0006082622086083,0,0.01,0.0
3.0,75,0.0046896143614751,0.0004367887520533,0,0.01,0.0
