Time,Frame,nose_dist,body_dist,freezing,Known,Novel
0.04,1,0.0,0.0,0,0.01,0.01
0.08,2,0.0,0.0,0,0.01,0.0
0.12,3,0.0,0.0,0,0.01,0.0
0.16,4,0.0,0.0,0,0.01,0.0
0.2,5,0.0,0.0,0,0.01,0.0
0.24,6,0.0,0.0,0,0.01,0.0
0.28,7,0.0,0.0,0,0.01,0.0
0.32,8,0.0,0.0,0,0.0,0.0
0.36,9,0.0,0.0,0,0.0,0.0
0.4,10,0.0,0.0,0,0.0,0.0
0.44,11,0.0,0.0,0,0.0,0.0
0.48,12,0.0,0.0,0,0.0,0.0
0.52,13,0.0,0.0,0,0.0,0.0
0.56,14,0.0,0.0,0,0.0,0.0
0.6,15,0.0,0.0,0,0.0,0.0
0.64,16,0.0,0.0,0,0.0,0.0
0.68,17,0.0,0.0,0,0.0,0.0
0.72,18,0.0,0.0,0,0.0,0.0
0.76,19,0.0,0.0,0,0.0,0.0
0.8,20,0.0,0.0,0,0.0,0.0
0.84,21,0.0,0.0,0,0.0,0.0
0.88,22,0.0,0.0,0,0.0,0.0
0.92,23,0.0,0.0,0,0.0,0.0
0.96,24,0.0,0.0,0,0.0,0.0
1.0,25,0.0,0.0,0,0.0,0.0
1.04,26,0.0,0.0,0,0.0,0.01
1.08,27,0.0,0.0,0,0.0,0.01
1.12,28,0.0,0.0,0,0.0,0.01
1.16,29,0.0,0.0,0,0.0,0.01
1.2,30,0.0,0.0,0,0.0,0.01
1.24,31,0.0,0.0,0,0.0,0.01
1.28,32,0.0,0.0,0,0.0,0.01
1.32,33,0.0,0.0,0,0.01,0.01
1.36,34,0.0,0.0,0,0.01,0.01
1.4,35,0.0,0.0,0,0.01,0.01
1.44,36,0.0,0.0,0,0.01,0.01
1.48,37,0.0,0.0,0,0.01,0.01
1.52,38,0.0,0.0,0,0.01,0.02
1.56,39,0.0,0.0,0,0.01,0.03
1.6,40,0.0,0.0,0,0.01,0.06
1.64,41,0.0,0.0,0,0.01,0.16
1.68,42,0.0,0.0,0,0.01,0.47
1.72,43,0.0,0.0,0,0.01,0.76
1.76,44,0.0,0.0,0,0.01,0.86
1.8,45,0.0,0.0,0,0.01,0.89
1.84,46,0.0,0.0,0,0.01,0.9
1.88,47,0.0,0.0,0,0.01,0.9
1.92,48,0.0,0.0,0,0.01,0.9
1.96,49,0.0,0.0,0,0.01,0.9
2.0,50,0.0,0.0,0,0.01,0.91
2.04,51,0.0,0.0,0,0.01,0.92
2.08,52,0.0015844835633694,0.0011085453050167,0,0.01,0.92
2.12,53,0.0026411174352981,0.0018036828605364,0,0.01,0.93
2.16,54,0.0022013930790532,0.0012709584993609,0,0.01,0.94
2.2,55,0.0016118747512428,0.0017122095049718,0,0.01,0.94
2.24,56,0.0020075122923147,0.0018189144580219,0,0.01,0.94
2.28,57,0.0007848366899154,0.0008990075561915,0,0.01,0.95
2.32,58,0.0014074763334123,0.0007621637275711,0,0.01,0.95
2.36,59,0.0025583158686714,0.0015911691972507,0,0.01,0.95
