Time,Frame,nose_dist,body_dist,freezing,Novel,Known
0.04,1,0.0,0.0,0,0.0,0.01
0.08,2,0.0,0.0,0,0.0,0.01
0.12,3,0.0,0.0,0,0.0,0.01
0.16,4,0.0,0.0,0,0.0,0.01
0.2,5,0.0,0.0,0,0.01,0.01
0.24,6,0.0,0.0,0,0.01,0.01
0.28,7,0.0,0.0,0,0.01,0.01
0.32,8,0.0,0.0,0,0.01,0.02
0.36,9,0.0,0.0,0,0.01,0.02
0.4,10,0.0,0.0,0,0.01,0.07
0.44,11,0.0,0.0,0,0.01,0.13
0.48,12,0.0,0.0,0,0.01,0.15
0.52,13,0.0,0.0,0,0.01,0.18
0.56,14,0.0,0.0,0,0.01,0.13
0.6,15,0.0,0.0,0,0.01,0.05
0.64,16,0.0,0.0,0,0.01,0.02
0.68,17,0.0,0.0,0,0.01,0.01
0.72,18,0.0,0.0,0,0.01,0.01
0.76,19,0.0,0.0,0,0.01,0.01
0.8,20,0.0,0.0,0,0.01,0.0
0.84,21,0.0,0.0,0,0.01,0.0
0.88,22,0.0,0.0,0,0.01,0.0
0.92,23,0.0,0.0,0,0.01,0.01
0.96,24,0.0,0.0,0,0.01,0.01
1.0,25,0.0,0.0,0,0.01,0.01
1.04,26,0.0,0.0,0,0.01,0.01
1.08,27,0.0,0.0,0,0.01,0.01
1.12,28,0.0,0.0,0,0.01,0.01
1.16,29,0.0,0.0,0,0.01,0.01
1.2,30,0.0,0.0,0,0.01,0.01
1.24,31,0.0,0.0,0,0.01,0.01
1.28,32,0.0,0.0,0,0.01,0.01
1.32,33,0.0,0.0,0,0.01,0.01
1.36,34,0.0,0.0,0,0.01,0.0
1.4,35,0.0,0.0,0,0.01,0.0
1.44,36,0.0,0.0,0,0.01,0.0
1.48,37,0.0,0.0,0,0.01,0.0
1.52,38,0.0,0.0,0,0.01,0.0
1.56,39,0.0,0.0,0,0.01,0.0
1.6,40,0.0,0.0,0,0.01,0.0
1.64,41,0.0,0.0,0,0.01,0.0
1.68,42,0.0,0.0,0,0.01,0.0
1.72,43,0.0,0.0,0,0.01,0.0
1.76,44,0.0,0.0,0,0.02,0.0
1.8,45,0.0,0.0,0,0.07,0.0
1.84,46,0.0,0.0,0,0.35,0.0
1.88,47,0.0,0.0,0,0.76,0.0
1.92,48,0.0,0.0,0,0.86,0.0
1.96,49,0.0,0.0,0,0.88,0.0
2.0,50,0.0,0.0,0,0.89,0.0
2.04,51,0.0,0.0,0,0.91,0.0
2.08,52,0.0001068394637603,0.0001361691934707,0,0.92,0.0
2.12,53,0.0009764557966879,8.5290102000428e-05,0,0.92,0.0
2.16,54,0.0049012438310427,0.0002137047603911,0,0.89,0.0
2.2,55,0.0075215719458313,0.0013611358527992,0,0.69,0.0
2.24,56,0.0065905051379004,0.0030112920391396,0,0.24,0.0
2.28,57,0.0054635200391384,0.0050967159169355,0,0.05,0.0
2.32,58,0.0087923340810786,0.0081822448283637,0,0.02,0.0
