Time,Frame,nose_dist,body_dist,freezing,Novel,Known
0.04,1,0.0,0.0,0,0.01,0.01
0.08,2,0.0,0.0,0,0.01,0.0
0.12,3,0.0,0.0,0,0.01,0.0
0.16,4,0.0,0.0,0,0.01,0.0
0.2,5,0.0,0.0,0,0.01,0.01
0.24,6,0.0,0.0,0,0.01,0.01
0.28,7,0.0,0.0,0,0.01,0.0
0.32,8,0.0,0.0,0,0.01,0.01
0.36,9,0.0,0.0,0,0.0,0.01
0.4,10,0.0,0.0,0,0.0,0.01
0.44,11,0.0,0.0,0,0.01,0.01
0.48,12,0.0,0.0,0,0.01,0.01
0.52,13,0.0,0.0,0,0.01,0.01
0.56,14,0.0,0.0,0,0.01,0.01
0.6,15,0.0,0.0,0,0.01,0.01
0.64,16,0.0,0.0,0,0.0,0.01
0.68,17,0.0,0.0,0,0.0,0.0
0.72,18,0.0,0.0,0,0.0,0.0
0.76,19,0.0,0.0,0,0.01,0.0
0.8,20,0.0,0.0,0,0.01,0.0
0.84,21,0.0,0.0,0,0.01,0.0
0.88,22,0.0,0.0,0,0.01,0.0
0.92,23,0.0,0.0,0,0.01,0.0
0.96,24,0.0,0.0,0,0.01,0.0
1.0,25,0.0,0.0,0,0.01,0.01
1.04,26,0.0,0.0,0,0.01,0.01
1.08,27,0.0,0.0,0,0.01,0.01
1.12,28,0.0,0.0,0,0.01,0.01
1.16,29,0.0,0.0,0,0.01,0.01
1.2,30,0.0,0.0,0,0.01,0.01
1.24,31,0.0,0.0,0,0.01,0.01
1.28,32,0.0,0.0,0,0.01,0.01
1.32,33,0.0,0.0,0,0.01,0.01
1.36,34,0.0,0.0,0,0.01,0.01
1.4,35,0.0,0.0,0,0.01,0.01
1.44,36,0.0,0.0,0,0.01,0.01
1.48,37,0.0,0.0,0,0.01,0.01
1.52,38,0.0,0.0,0,0.01,0.01
1.56,39,0.0,0.0,0,0.01,0.01
1.6,40,0.0,0.0,0,0.01,0.01
1.64,41,0.0,0.0,0,0.01,0.02
1.68,42,0.0,0.0,0,0.01,0.13
1.72,43,0.0,0.0,0,0.01,0.49
1.76,44,0.0,0.0,0,0.01,0.63
1.8,45,0.0,0.0,0,0.01,0.67
1.84,46,0.0,0.0,0,0.01,0.69
1.88,47,0.0,0.0,0,0.01,0.7
1.92,48,0.0,0.0,0,0.01,0.71
1.96,49,0.0,0.0,0,0.01,0.72
2.0,50,0.0,0.0,0,0.01,0.69
2.04,51,0.0,0.0,0,0.01,0.56
2.08,52,0.010604433735313,0.0048658578647967,0,0.01,0.25
2.12,53,0.0073368478656891,0.0050330819204643,0,0.01,0.05
2.16,54,0.0051799194884608,0.0049653229137651,0,0.01,0.02
2.2,55,0.005653756779378,0.0064962998107919,0,0.01,0.01
2.24,56,0.0063314755513877,0.0051840028187666,0,0.01,0.01
2.28,57,0.007455032037754,0.0068847904655942,0,0.01,0.01
2.32,58,0.0114895147467954,0.0120904381940568,0,0.01,0.01
2.36,59,0.0094163135372723,0.0098091587276567,0,0.01,0.01
