Frame,nose_dist,body_dist,freezing,darting
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,0.0,0.0,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
12,0.0,0.0,0,0
13,0.0,0.0,0,0
14,0.0,0.0,0,0
15,0.0,0.0,0,0
16,0.0,0.0,0,0
17,0.0,0.0,0,0
18,0.0,0.0,0,0
19,0.0,0.0,0,0
20,0.0,0.0,0,0
21,0.0,0.0,0,0
22,0.0,0.0,0,0
23,0.0,0.0,0,0
24,0.0,0.0,0,0
25,0.0,0.0,0,0
26,0.0,0.0,0,0
27,0.0,0.0,0,0
28,0.0,0.0,0,0
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.0,0.0,0,0
32,0.0,0.0,0,0
33,0.0,0.0,0,0
34,0.0,0.0,0,0
35,0.0,0.0,0,0
36,0.0,0.0,0,0
37,0.0,0.0,0,0
38,0.0,0.0,0,0
39,0.0,0.0,0,0
40,0.0,0.0,0,0
41,0.0,0.0,0,0
42,0.0,0.0,0,0
43,0.0,0.0,0,0
44,0.0,0.0,0,0
45,0.0,0.0,0,0
46,0.0,0.0,0,0
47,0.0,0.0,0,0
48,0.0,0.0,0,0
49,0.0,0.0,0,0
50,0.0,0.0,0,0
51,0.0,0.0,0,0
52,0.005232295536229907,0.003988740214999615,0,0
53,0.005676940413003663,0.004484629920152078,0,0
54,0.01006731993327526,0.00450954012569509,0,0
55,0.003640703792256468,0.001424689965759688,0,0
56,0.0070370511443292975,0.002488320158684358,0,0
57,0.008275782962814724,0.004358242980570318,0,0
58,0.0042060913240918145,0.0029388722149525093,0,0
59,0.0015230180415033198,0.0013380296504171476,0,0
60,0.003460128693658646,0.003261385744616918,0,0
61,0.001146814636900719,0.0012767248018640772,0,0
62,0.002704943518103301,0.0029013236846206496,0,0
63,0.0068969979921310555,0.00682359481120548,0,0
64,0.002456275670374043,0.0035712912618337924,0,0
65,0.002320409584762686,0.002159122160602255,0,0
66,0.0010458525753424188,0.0006469308932367589,0,0
67,0.0002199570248346074,0.0005112942535639599,0,0
68,0.00026341712743256114,0.0009465161014593464,0,0
69,0.0010807877972129523,0.000524821787887623,0,0
70,0.0003612416737625506,0.00014455693965532672,0,0
71,8.095672715975333e-05,0.00024998216705503397,0,0
72,0.00034249454176496735,0.0003280016730031476,0,0
73,0.0006342065441974117,0.0006494609346705641,0,0
74,0.0032693350772100382,0.00048551824939607963,0,0
75,0.005931466895530411,0.0002596023160313096,0,0
76,0.006755583614700781,0.0006690200295166363,0,0
77,0.0024400213644855946,0.00072321530373331,0,0
78,0.0008094086152696434,0.00016403798167147397,0,0
79,0.00021957307976601346,7.922214534198273e-05,0,0
80,0.0004732194499559409,8.371304864298647e-05,0,0
81,0.002201263957988764,0.00034850447754082136,0,0
82,0.005408927779403644,0.0004947925125901671,0,0
83,0.0028713639537127893,0.00043557838941866246,0,0
84,0.0005842402590281792,0.00010965251063537231,0,0
85,0.0006154572113536604,0.0006149937975461626,0,0
86,0.0031316849759488673,0.002146575969540238,0,0
87,0.005596653449193439,0.0016082579372492887,0,0
88,0.006350336057973932,0.0017471524423700098,0,0
89,0.0045653048538218085,0.0037322753609309745,0,0
90,0.0009030971322729953,0.0012106615811426063,0,0
91,0.001751225811033069,0.00041904534366830936,0,0
92,0.007362894448138968,0.0010416199386770108,0,0
93,0.008011404544542584,0.0013571505157306497,0,0
94,0.007581197305197566,0.001688962901416368,0,0
95,0.004310555749750185,0.0026211988750159143,0,0
96,0.003650070686906892,0.001748856103636738,0,0
97,0.0024016145572221797,0.0004500560588941059,0,0
98,0.0021392173075107696,0.0002066998461909552,0,0
99,0.0024331583956013676,0.0007293097539969506,0,0
100,0.005151197533118589,0.0030994817400913028,0,0
101,0.003485679264762206,0.003486422445101546,0,0
102,0.004357267393802728,0.003554071625050724,0,0
103,0.004112853589771374,0.0019577679075487215,0,0
104,0.0022646904151961307,0.0022253976652188818,0,0
105,0.0032472120587144215,0.0017076219386316894,0,0
106,0.002716604114173815,0.0011153679837782775,0,0
107,0.002016154154993419,0.0007174609033135913,0,0
108,0.0007611778299904337,0.00064585465368447,0,0
109,0.0007240069456541039,0.0011228773393068094,0,0
110,0.002043134947083197,0.002645877010683417,0,0
111,0.00241272041315988,0.0010959121608509746,0,0
112,0.004621827677858018,0.0009790902402921104,0,0
113,0.005166705366913932,0.002968519201006881,0,0
114,0.005153519169583338,0.002874365062125672,0,0
115,0.005985517537083402,0.00321249814167893,0,0
116,0.006296256031973769,0.004596874111787887,0,0
117,0.004764048001380766,0.0043091346877977684,0,0
118,0.004742524121067715,0.004194316558082515,0,0
119,0.006140857165650906,0.006826314884082477,0,0
120,0.008714767408894476,0.008683509706652819,0,0
