Frame,nose_dist,body_dist,freezing,darting
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,0.0,0.0,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
12,0.0,0.0,0,0
13,0.0,0.0,0,0
14,0.0,0.0,0,0
15,0.0,0.0,0,0
16,0.0,0.0,0,0
17,0.0,0.0,0,0
18,0.0,0.0,0,0
19,0.0,0.0,0,0
20,0.0,0.0,0,0
21,0.0,0.0,0,0
22,0.0,0.0,0,0
23,0.0,0.0,0,0
24,0.0,0.0,0,0
25,0.0,0.0,0,0
26,0.0,0.0,0,0
27,0.0,0.0,0,0
28,0.0,0.0,0,0
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.0,0.0,0,0
32,0.0,0.0,0,0
33,0.0,0.0,0,0
34,0.0,0.0,0,0
35,0.0,0.0,0,0
36,0.0,0.0,0,0
37,0.0,0.0,0,0
38,0.0,0.0,0,0
39,0.0,0.0,0,0
40,0.0,0.0,0,0
41,0.0,0.0,0,0
42,0.0,0.0,0,0
43,0.0,0.0,0,0
44,0.0,0.0,0,0
45,0.0,0.0,0,0
46,0.0,0.0,0,0
47,0.0,0.0,0,0
48,0.0,0.0,0,0
49,0.0,0.0,0,0
50,0.0,0.0,0,0
51,0.0,0.0,0,0
52,0.003969378785774716,0.004049345845826598,0,0
53,0.0038125488885244895,0.004354698568228077,0,0
54,0.002208306093556105,0.002878689245381762,0,0
55,0.002730660153689528,0.003336878921476756,0,0
56,0.003138867576009854,0.003572131672326599,0,0
57,0.0032078416451213673,0.003491390322789986,0,0
58,0.003524641709111431,0.004223509792613216,0,0
59,0.006258100418626524,0.006621711405817993,0,0
60,0.006405967319277627,0.003080057093806977,0,0
61,0.006479518199166269,0.0011734478858526005,0,0
62,0.006387107058611281,0.002045875492721113,0,0
63,0.0032934792674039403,0.0017203614742361784,0,0
64,0.0030258866820506753,0.00035830367424156343,0,0
65,0.0011350719670030645,0.0004254665531172581,0,0
66,0.0016611873003751704,0.001131156539269553,0,0
67,0.001349590076146024,0.001393249110398594,0,0
68,0.0019265213024989955,0.0013879923406539877,0,0
69,0.004405224147302203,0.001783037712548776,0,0
70,0.00828006374745635,0.0025047801716663832,0,0
71,0.009217504178372275,0.0022472971170616673,0,0
72,0.007247645610801545,0.0012296804408881256,0,0
73,0.008163904088451744,0.0009784042138844267,0,0
74,0.010288049623109155,0.0008548405204923922,0,0
75,0.0049711643263019665,0.0003501841072069412,0,0
76,0.0030215069695048407,0.0006762160926604286,0,0
77,0.004195125869547066,0.0020249519822724263,0,0
78,0.007987687463698169,0.005771772296691592,0,0
79,0.006526851716269144,0.006036926117004519,0,0
80,0.006071738018611245,0.005164001211603784,0,0
81,0.0049901164433958775,0.004744772173109579,0,0
82,0.0043268208929718045,0.004240970747321335,0,0
83,0.003021218271748315,0.003984566467611951,0,0
84,0.0027967149545967663,0.0036024737432912603,0,0
85,0.0027142541951654863,0.0029199487024715877,0,0
86,0.003296618381845774,0.0031322286286586377,0,0
87,0.0020964381472343223,0.0012350225385741192,0,0
88,0.004451318317210443,0.0006266196295669871,0,0
89,0.006286702889085351,0.0009481819349206109,0,0
90,0.0051904482784941855,0.0003278431161583708,0,0
91,0.002392422116446591,0.0006801846522076209,0,0
92,0.002149752486215578,0.002488293827973617,0,0
93,0.002234883306257706,0.001606687302334265,0,0
94,0.000915904575281,0.0012863698898857572,0,0
95,0.0005457350066872206,0.0008419984119826924,0,0
96,0.0010874703527758937,0.00046328217070445093,0,0
97,0.0019061754981403501,0.0014865615346104052,0,0
98,0.004876048437023383,0.0027104355410560925,0,0
99,0.004671770351596724,0.0024000115885390227,0,0
100,0.004947381893526515,0.003541861251745059,0,0
101,0.005794207852440069,0.0052979843529985604,0,0
102,0.006709829928361337,0.0054610916842706796,0,0
103,0.006456769817280285,0.007161064781371208,0,0
104,0.00792683085782027,0.009391816995543652,0,0
105,0.0054549684850479915,0.007157701482471473,0,0
106,0.006128482590838895,0.005508523063610873,0,0
107,0.007384020082324372,0.006435306486679604,0,0
108,0.009465137252098915,0.007326105030089957,0,0
109,0.0058604338020217805,0.005917238628524581,0,0
110,0.0062185357586373256,0.005967039477371768,0,0
111,0.0075303184162900825,0.00755150301767003,0,0
112,0.012108194352969946,0.01288515190451274,0,0
113,0.008693732073005661,0.008989297440724795,0,0
114,0.006590984470866759,0.005700800366310041,0,0
115,0.006180382516750016,0.005640323256946841,0,0
116,0.006589201869020857,0.007376813365685441,0,0
117,0.007484901117892581,0.010667248441278221,0,0
118,0.007162285785677362,0.0066996397622769545,0,0
119,0.009961411662734536,0.00927934948603995,0,0
120,0.007914507265930775,0.0066804924382423865,0,0
121,0.005631006530349167,0.005566731139831522,0,0
