Frame,obj_1,obj_2
1,0.01,0.01
2,0.01,0.01
3,0.01,0.01
4,0.01,0.01
5,0.01,0.01
6,0.01,0.01
7,0.01,0.01
8,0.01,0.01
9,0.01,0.01
10,0.01,0.01
11,0.01,0.01
12,0.01,0.01
13,0.01,0.02
14,0.01,0.02
15,0.01,0.03
16,0.01,0.04
17,0.01,0.07
18,0.01,0.13
19,0.01,0.24
20,0.01,0.4
21,0.01,0.57
22,0.01,0.74
23,0.01,0.85
24,0.01,0.91
25,0.01,0.95
26,0.01,0.98
27,0.01,0.98
28,0.01,0.99
29,0.01,0.99
30,0.01,0.99
31,0.01,0.99
32,0.01,0.99
33,0.01,0.99
34,0.01,0.99
35,0.01,0.99
36,0.01,0.99
37,0.01,0.99
38,0.01,0.99
39,0.01,0.99
40,0.01,0.99
41,0.01,0.99
42,0.01,0.99
43,0.01,0.98
44,0.01,0.96
45,0.01,0.91
46,0.01,0.81
47,0.01,0.49
48,0.01,0.14
49,0.01,0.04
50,0.01,0.02
51,0.01,0.02
52,0.01,0.02
53,0.01,0.01
54,0.01,0.01
55,0.01,0.01
56,0.01,0.01
57,0.01,0.01
58,0.01,0.01
59,0.01,0.01
60,0.01,0.01
61,0.01,0.02
62,0.01,0.02
63,0.01,0.02
64,0.01,0.02
65,0.01,0.02
66,0.01,0.02
67,0.01,0.02
68,0.01,0.01
69,0.01,0.01
70,0.01,0.01
71,0.01,0.01
72,0.01,0.01
73,0.01,0.01
74,0.01,0.01
75,0.01,0.01
76,0.01,0.01
77,0.01,0.01
78,0.01,0.01
79,0.01,0.01
80,0.01,0.02
81,0.01,0.02
82,0.01,0.02
83,0.01,0.02
84,0.01,0.02
85,0.01,0.02
86,0.01,0.02
87,0.01,0.02
88,0.01,0.02
89,0.01,0.02
90,0.01,0.02
91,0.01,0.02
92,0.01,0.02
93,0.01,0.02
94,0.01,0.02
95,0.01,0.02
96,0.01,0.02
97,0.01,0.02
98,0.01,0.02
99,0.01,0.02
100,0.01,0.02
101,0.01,0.02
102,0.01,0.02
103,0.01,0.02
104,0.01,0.02
105,0.01,0.02
106,0.01,0.02
107,0.01,0.02
108,0.01,0.02
109,0.01,0.02
110,0.01,0.02
111,0.01,0.02
112,0.01,0.02
113,0.01,0.02
114,0.02,0.02
115,0.02,0.02
116,0.02,0.02
117,0.02,0.02
118,0.02,0.02
119,0.02,0.02
120,0.02,0.02
121,0.02,0.02
122,0.02,0.02
123,0.02,0.02
124,0.02,0.02
125,0.02,0.02
126,0.02,0.02
127,0.02,0.02
128,0.03,0.02
129,0.03,0.02
130,0.04,0.02
131,0.07,0.02
132,0.13,0.02
133,0.31,0.02
134,0.55,0.02
135,0.8,0.03
136,0.89,0.03
137,0.93,0.03
138,0.96,0.03
139,0.96,0.03
140,0.96,0.03
141,0.95,0.03
142,0.93,0.03
143,0.9,0.03
144,0.87,0.03
145,0.78,0.03
146,0.58,0.03
147,0.43,0.03
148,0.23,0.03
149,0.09,0.03
150,0.05,0.03
151,0.04,0.03
152,0.03,0.03
153,0.03,0.03
154,0.03,0.03
155,0.03,0.03
156,0.03,0.03
157,0.02,0.03
158,0.02,0.02
159,0.02,0.02
160,0.02,0.02
161,0.02,0.02
162,0.02,0.02
163,0.02,0.01
164,0.02,0.01
165,0.02,0.01
166,0.02,0.01
167,0.02,0.01
168,0.02,0.01
169,0.02,0.01
170,0.02,0.01
171,0.02,0.01
172,0.02,0.01
173,0.02,0.01
174,0.02,0.01
175,0.02,0.02
176,0.02,0.02
177,0.02,0.02
178,0.02,0.02
179,0.02,0.02
180,0.02,0.02
181,0.02,0.02
182,0.02,0.01
183,0.02,0.01
184,0.02,0.01
185,0.02,0.01
186,0.02,0.01
187,0.02,0.01
188,0.02,0.01
189,0.02,0.01
190,0.02,0.01
191,0.02,0.01
192,0.02,0.01
193,0.02,0.01
194,0.02,0.01
195,0.02,0.01
196,0.02,0.01
197,0.02,0.01
198,0.02,0.01
199,0.02,0.01
200,0.02,0.02
201,0.02,0.02
202,0.02,0.02
203,0.02,0.02
204,0.02,0.02
205,0.02,0.02
206,0.02,0.02
207,0.02,0.02
208,0.03,0.02
209,0.09,0.02
210,0.41,0.02
211,0.87,0.02
212,0.96,0.02
213,0.98,0.02
214,0.98,0.02
215,0.98,0.02
216,0.98,0.02
217,0.98,0.02
218,0.98,0.02
219,0.98,0.02
220,0.98,0.02
221,0.99,0.02
222,0.99,0.02
223,0.99,0.02
224,0.99,0.02
225,0.99,0.02
226,0.99,0.02
227,0.98,0.02
228,0.98,0.02
229,0.97,0.02
230,0.91,0.02
231,0.4,0.02
232,0.12,0.02
233,0.07,0.02
234,0.05,0.02
235,0.04,0.02
236,0.03,0.02
237,0.03,0.02
238,0.03,0.02
239,0.02,0.02
240,0.02,0.02
241,0.02,0.02
242,0.02,0.02
243,0.02,0.02
244,0.02,0.02
245,0.02,0.02
246,0.01,0.02
247,0.01,0.02
248,0.01,0.02
249,0.01,0.02
250,0.01,0.02
251,0.01,0.02
252,0.01,0.02
253,0.01,0.02
254,0.01,0.02
255,0.01,0.03
256,0.01,0.04
257,0.01,0.03
258,0.01,0.03
259,0.01,0.03
260,0.01,0.03
261,0.01,0.03
262,0.01,0.02
263,0.01,0.02
264,0.01,0.02
265,0.02,0.01
266,0.02,0.01
267,0.02,0.01
268,0.02,0.01
269,0.02,0.01
270,0.02,0.01
271,0.02,0.01
272,0.02,0.01
273,0.02,0.01
274,0.02,0.01
275,0.02,0.01
276,0.02,0.01
277,0.02,0.01
278,0.02,0.01
279,0.02,0.01
280,0.02,0.01
281,0.02,0.01
282,0.02,0.01
283,0.02,0.01
284,0.02,0.01
285,0.02,0.01
286,0.02,0.02
287,0.02,0.02
288,0.02,0.04
289,0.02,0.07
290,0.02,0.07
291,0.02,0.08
292,0.02,0.08
293,0.02,0.07
294,0.02,0.06
295,0.02,0.05
296,0.02,0.05
297,0.02,0.04
298,0.02,0.04
299,0.02,0.03
300,0.02,0.03
301,0.02,0.03
302,0.02,0.03
303,0.02,0.03
304,0.02,0.03
305,0.02,0.03
306,0.02,0.03
307,0.02,0.03
308,0.02,0.03
309,0.02,0.02
310,0.02,0.02
311,0.02,0.02
312,0.02,0.02
313,0.01,0.02
314,0.01,0.02
315,0.01,0.02
316,0.01,0.01
317,0.01,0.01
318,0.01,0.01
319,0.01,0.01
320,0.01,0.01
321,0.01,0.02
