Frame,obj_1,obj_2
1,0.01,0.02
2,0.01,0.01
3,0.01,0.01
4,0.01,0.02
5,0.01,0.02
6,0.01,0.02
7,0.01,0.02
8,0.01,0.02
9,0.01,0.02
10,0.01,0.02
11,0.02,0.02
12,0.02,0.02
13,0.02,0.02
14,0.02,0.02
15,0.03,0.02
16,0.04,0.02
17,0.06,0.02
18,0.12,0.02
19,0.17,0.02
20,0.21,0.02
21,0.27,0.03
22,0.32,0.02
23,0.39,0.02
24,0.51,0.02
25,0.56,0.02
26,0.62,0.02
27,0.75,0.02
28,0.87,0.02
29,0.95,0.03
30,0.98,0.03
31,0.97,0.03
32,0.93,0.03
33,0.77,0.03
34,0.36,0.03
35,0.16,0.03
36,0.09,0.03
37,0.07,0.03
38,0.06,0.03
39,0.05,0.03
40,0.04,0.03
41,0.03,0.03
42,0.02,0.02
43,0.02,0.02
44,0.02,0.02
45,0.02,0.02
46,0.02,0.02
47,0.02,0.01
48,0.02,0.01
49,0.02,0.01
50,0.02,0.01
51,0.02,0.01
52,0.02,0.01
53,0.02,0.01
54,0.02,0.01
55,0.02,0.01
56,0.02,0.01
57,0.02,0.01
58,0.02,0.01
59,0.02,0.01
60,0.02,0.01
61,0.01,0.01
62,0.01,0.01
63,0.01,0.01
64,0.01,0.01
65,0.02,0.02
66,0.02,0.02
67,0.02,0.02
68,0.02,0.02
69,0.02,0.02
70,0.02,0.02
71,0.02,0.02
72,0.02,0.02
73,0.02,0.02
74,0.02,0.02
75,0.02,0.02
76,0.02,0.02
77,0.04,0.02
78,0.05,0.02
79,0.06,0.02
80,0.07,0.02
81,0.06,0.02
82,0.05,0.02
83,0.04,0.02
84,0.04,0.02
85,0.04,0.02
86,0.03,0.02
87,0.03,0.02
88,0.03,0.02
89,0.02,0.02
90,0.02,0.02
91,0.02,0.02
92,0.02,0.02
93,0.02,0.02
94,0.01,0.02
95,0.01,0.02
96,0.01,0.02
97,0.01,0.03
98,0.01,0.04
99,0.01,0.05
100,0.01,0.08
101,0.01,0.17
102,0.01,0.3
103,0.01,0.55
104,0.01,0.78
105,0.01,0.88
106,0.01,0.94
107,0.01,0.97
108,0.01,0.98
109,0.01,0.98
110,0.01,0.98
111,0.01,0.98
112,0.01,0.98
113,0.01,0.98
114,0.01,0.99
115,0.01,0.99
116,0.01,0.98
117,0.01,0.98
118,0.01,0.98
119,0.01,0.98
120,0.01,0.97
121,0.01,0.93
122,0.01,0.75
123,0.01,0.43
124,0.01,0.15
125,0.01,0.06
126,0.01,0.03
127,0.01,0.03
128,0.01,0.03
129,0.01,0.03
130,0.01,0.03
131,0.01,0.02
132,0.01,0.02
133,0.02,0.02
134,0.01,0.02
135,0.01,0.02
136,0.01,0.02
137,0.01,0.02
138,0.01,0.02
139,0.01,0.02
140,0.01,0.02
141,0.01,0.02
142,0.01,0.02
143,0.01,0.02
144,0.01,0.02
145,0.01,0.02
146,0.01,0.01
147,0.01,0.01
148,0.01,0.02
149,0.01,0.02
150,0.01,0.02
151,0.01,0.02
152,0.01,0.02
153,0.01,0.02
154,0.01,0.02
155,0.01,0.02
156,0.01,0.02
157,0.01,0.02
158,0.01,0.02
159,0.01,0.02
160,0.01,0.02
161,0.01,0.02
162,0.01,0.02
163,0.01,0.02
164,0.01,0.02
165,0.01,0.02
166,0.01,0.02
167,0.01,0.02
168,0.01,0.02
169,0.01,0.02
170,0.01,0.02
171,0.01,0.02
172,0.01,0.02
173,0.01,0.02
174,0.01,0.02
175,0.01,0.02
176,0.01,0.02
177,0.01,0.02
178,0.01,0.02
179,0.01,0.02
180,0.01,0.02
181,0.01,0.02
182,0.01,0.02
183,0.01,0.02
184,0.01,0.02
185,0.01,0.02
186,0.02,0.02
187,0.02,0.02
188,0.02,0.02
189,0.01,0.02
190,0.01,0.02
191,0.01,0.02
192,0.01,0.02
193,0.01,0.02
194,0.01,0.02
195,0.01,0.02
196,0.01,0.02
197,0.01,0.02
198,0.01,0.02
199,0.01,0.02
200,0.01,0.02
201,0.01,0.02
202,0.01,0.02
203,0.01,0.02
204,0.01,0.02
205,0.01,0.02
206,0.01,0.02
207,0.01,0.02
208,0.01,0.02
209,0.01,0.02
210,0.01,0.02
211,0.01,0.02
212,0.01,0.02
213,0.01,0.02
214,0.01,0.02
215,0.01,0.02
216,0.01,0.02
217,0.01,0.02
218,0.01,0.02
219,0.01,0.02
220,0.01,0.02
221,0.01,0.02
222,0.01,0.02
223,0.01,0.02
224,0.01,0.02
225,0.01,0.02
226,0.01,0.02
227,0.01,0.02
228,0.01,0.02
229,0.01,0.02
230,0.01,0.02
231,0.01,0.02
232,0.01,0.02
233,0.01,0.02
234,0.01,0.02
235,0.01,0.02
236,0.01,0.02
237,0.01,0.02
238,0.01,0.02
239,0.01,0.02
240,0.01,0.02
241,0.01,0.02
242,0.01,0.02
243,0.01,0.02
244,0.01,0.02
245,0.01,0.02
246,0.01,0.02
247,0.01,0.02
248,0.01,0.02
249,0.01,0.02
250,0.01,0.02
251,0.01,0.02
252,0.01,0.02
253,0.01,0.02
254,0.01,0.02
255,0.01,0.02
256,0.01,0.02
257,0.01,0.02
258,0.01,0.02
259,0.01,0.02
260,0.01,0.02
261,0.01,0.02
262,0.01,0.02
263,0.01,0.02
264,0.01,0.02
265,0.01,0.02
266,0.01,0.02
267,0.01,0.02
268,0.01,0.02
269,0.01,0.02
270,0.01,0.02
271,0.01,0.02
272,0.01,0.02
273,0.01,0.02
274,0.01,0.02
275,0.01,0.02
276,0.01,0.02
277,0.01,0.02
278,0.01,0.02
279,0.01,0.02
280,0.01,0.02
281,0.01,0.02
282,0.01,0.02
283,0.01,0.02
284,0.01,0.02
285,0.01,0.02
286,0.01,0.02
287,0.01,0.02
288,0.01,0.02
289,0.02,0.02
290,0.02,0.02
291,0.02,0.02
292,0.02,0.02
293,0.02,0.02
294,0.02,0.03
295,0.02,0.03
296,0.02,0.03
297,0.02,0.03
298,0.02,0.03
299,0.02,0.02
300,0.02,0.02
301,0.02,0.02
302,0.02,0.01
303,0.02,0.01
304,0.02,0.01
305,0.02,0.01
306,0.02,0.01
307,0.02,0.01
308,0.02,0.01
309,0.02,0.01
310,0.02,0.01
311,0.01,0.02
312,0.01,0.02
313,0.02,0.02
314,0.02,0.02
315,0.02,0.02
316,0.05,0.02
317,0.25,0.02
318,0.81,0.02
319,0.92,0.02
320,0.93,0.02
321,0.92,0.02
322,0.88,0.02
323,0.65,0.02
324,0.26,0.02
325,0.07,0.02
326,0.03,0.02
327,0.03,0.02
328,0.02,0.02
329,0.02,0.02
330,0.02,0.02
331,0.02,0.02
332,0.02,0.02
333,0.02,0.02
334,0.02,0.02
335,0.02,0.02
336,0.02,0.02
337,0.01,0.02
338,0.01,0.02
339,0.01,0.02
340,0.01,0.02
341,0.01,0.02
342,0.01,0.02
343,0.01,0.02
