Frame,obj_1,obj_2
1,0.01,0.02
2,0.01,0.02
3,0.01,0.02
4,0.01,0.02
5,0.01,0.02
6,0.01,0.02
7,0.01,0.02
8,0.01,0.02
9,0.01,0.02
10,0.01,0.02
11,0.02,0.02
12,0.02,0.02
13,0.03,0.02
14,0.07,0.02
15,0.23,0.02
16,0.62,0.02
17,0.98,0.02
18,1.0,0.03
19,1.0,0.03
20,1.0,0.03
21,1.0,0.03
22,1.0,0.03
23,1.0,0.03
24,0.99,0.03
25,0.91,0.03
26,0.5,0.03
27,0.25,0.03
28,0.14,0.03
29,0.08,0.03
30,0.06,0.03
31,0.05,0.02
32,0.03,0.02
33,0.02,0.02
34,0.02,0.02
35,0.02,0.02
36,0.02,0.01
37,0.02,0.01
38,0.02,0.01
39,0.01,0.01
40,0.01,0.01
41,0.02,0.01
42,0.02,0.01
43,0.02,0.01
44,0.02,0.02
45,0.03,0.02
46,0.04,0.02
47,0.04,0.02
48,0.04,0.02
49,0.03,0.02
50,0.04,0.02
51,0.04,0.02
52,0.03,0.02
53,0.02,0.02
54,0.02,0.02
55,0.02,0.02
56,0.02,0.02
57,0.02,0.02
58,0.02,0.03
59,0.02,0.05
60,0.02,0.1
61,0.01,0.21
62,0.01,0.42
63,0.01,0.67
64,0.01,0.82
65,0.01,0.87
66,0.01,0.9
67,0.01,0.91
68,0.01,0.92
69,0.01,0.91
70,0.01,0.86
71,0.01,0.73
72,0.01,0.37
73,0.01,0.11
74,0.01,0.05
75,0.01,0.04
76,0.01,0.04
77,0.01,0.05
78,0.01,0.06
79,0.01,0.07
80,0.01,0.06
81,0.01,0.04
82,0.01,0.03
83,0.01,0.03
84,0.01,0.03
85,0.01,0.02
86,0.01,0.02
87,0.02,0.01
88,0.02,0.01
89,0.01,0.01
90,0.01,0.01
91,0.01,0.02
92,0.01,0.02
93,0.01,0.02
94,0.01,0.02
95,0.02,0.02
96,0.02,0.01
97,0.01,0.01
98,0.01,0.01
99,0.01,0.01
100,0.01,0.01
101,0.01,0.01
102,0.01,0.01
103,0.01,0.01
104,0.01,0.01
105,0.01,0.01
106,0.01,0.01
107,0.01,0.01
108,0.01,0.01
109,0.01,0.01
110,0.01,0.01
111,0.01,0.01
112,0.01,0.01
113,0.01,0.01
114,0.01,0.01
115,0.01,0.01
116,0.01,0.01
117,0.01,0.01
118,0.01,0.02
119,0.01,0.02
120,0.01,0.02
121,0.01,0.01
122,0.01,0.01
123,0.01,0.01
124,0.01,0.01
125,0.01,0.01
126,0.01,0.01
127,0.01,0.01
128,0.01,0.01
129,0.01,0.01
130,0.01,0.01
131,0.01,0.01
132,0.01,0.01
133,0.01,0.01
134,0.01,0.02
135,0.01,0.02
136,0.01,0.02
137,0.02,0.02
138,0.02,0.02
139,0.02,0.02
140,0.02,0.02
141,0.02,0.02
142,0.02,0.02
143,0.02,0.02
144,0.02,0.02
145,0.02,0.02
146,0.02,0.02
147,0.03,0.02
148,0.13,0.02
149,0.55,0.02
150,0.85,0.02
151,0.93,0.02
152,0.97,0.02
153,0.99,0.02
154,0.98,0.02
155,0.96,0.02
156,0.81,0.02
157,0.58,0.02
158,0.37,0.02
159,0.17,0.02
160,0.07,0.02
161,0.04,0.02
162,0.02,0.02
163,0.02,0.02
164,0.02,0.02
165,0.02,0.02
166,0.02,0.02
167,0.02,0.02
168,0.02,0.02
169,0.02,0.02
170,0.02,0.02
171,0.02,0.02
172,0.02,0.02
173,0.02,0.02
174,0.02,0.02
175,0.02,0.02
176,0.02,0.02
177,0.02,0.02
178,0.02,0.02
179,0.02,0.02
180,0.02,0.02
181,0.02,0.02
182,0.02,0.02
183,0.02,0.02
184,0.02,0.02
185,0.02,0.02
186,0.01,0.02
187,0.01,0.02
188,0.01,0.02
189,0.01,0.02
190,0.01,0.02
191,0.02,0.02
192,0.02,0.02
193,0.02,0.02
194,0.02,0.02
195,0.02,0.02
196,0.02,0.02
197,0.02,0.02
198,0.02,0.02
199,0.02,0.02
200,0.02,0.02
201,0.02,0.02
202,0.02,0.02
203,0.02,0.02
204,0.02,0.02
205,0.02,0.02
206,0.02,0.02
207,0.02,0.02
208,0.02,0.02
209,0.02,0.02
210,0.02,0.02
211,0.02,0.02
212,0.02,0.02
213,0.02,0.02
214,0.02,0.02
215,0.02,0.02
216,0.02,0.02
217,0.02,0.02
218,0.02,0.02
219,0.02,0.02
220,0.01,0.02
221,0.01,0.02
222,0.02,0.02
223,0.02,0.02
224,0.02,0.02
225,0.02,0.02
226,0.02,0.02
227,0.02,0.02
228,0.02,0.02
229,0.02,0.02
230,0.02,0.02
231,0.02,0.02
232,0.02,0.02
233,0.01,0.02
234,0.01,0.02
235,0.01,0.02
236,0.01,0.01
237,0.01,0.01
238,0.01,0.01
239,0.01,0.01
240,0.01,0.01
241,0.01,0.01
242,0.01,0.01
243,0.01,0.01
244,0.01,0.01
245,0.01,0.01
246,0.01,0.01
247,0.01,0.02
248,0.01,0.02
249,0.01,0.02
250,0.01,0.03
251,0.01,0.05
252,0.01,0.09
253,0.01,0.17
254,0.01,0.34
255,0.01,0.7
256,0.01,0.9
257,0.01,0.96
258,0.01,0.98
259,0.01,0.98
260,0.01,0.96
261,0.01,0.9
262,0.01,0.7
263,0.01,0.42
264,0.01,0.2
265,0.01,0.07
266,0.01,0.04
267,0.01,0.03
268,0.01,0.02
269,0.01,0.02
270,0.01,0.02
271,0.01,0.02
272,0.01,0.02
273,0.01,0.01
274,0.01,0.01
275,0.01,0.01
276,0.01,0.01
277,0.01,0.01
278,0.01,0.01
279,0.01,0.01
280,0.01,0.01
281,0.01,0.01
282,0.01,0.01
283,0.01,0.01
284,0.01,0.01
285,0.01,0.01
