Frame,nose_dist,body_dist,freezing,darting
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,0.0,0.0,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
12,0.0,0.0,0,0
13,0.0,0.0,0,0
14,0.0,0.0,0,0
15,0.0,0.0,0,0
16,0.0,0.0,0,0
17,0.0,0.0,0,0
18,0.0,0.0,0,0
19,0.0,0.0,0,0
20,0.0,0.0,0,0
21,0.0,0.0,0,0
22,0.0,0.0,0,0
23,0.0,0.0,0,0
24,0.0,0.0,0,0
25,0.0,0.0,0,0
26,0.0,0.0,0,0
27,0.0,0.0,0,0
28,0.0,0.0,0,0
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.0,0.0,0,0
32,0.0,0.0,0,0
33,0.0,0.0,0,0
34,0.0,0.0,0,0
35,0.0,0.0,0,0
36,0.0,0.0,0,0
37,0.0,0.0,0,0
38,0.0,0.0,0,0
39,0.0,0.0,0,0
40,0.0,0.0,0,0
41,0.0,0.0,0,0
42,0.0,0.0,0,0
43,0.0,0.0,0,0
44,0.0,0.0,0,0
45,0.0,0.0,0,0
46,0.0,0.0,0,0
47,0.0,0.0,0,0
48,0.0,0.0,0,0
49,0.0,0.0,0,0
50,0.0,0.0,0,0
51,0.0,0.0,0,0
52,0.0044877268665723365,0.003969268915945009,0,0
53,0.0010348055256452534,0.0009788333572761884,0,0
54,0.00036948571085759064,0.00045330810618897827,0,0
55,0.0025694783943571655,0.002547183676630062,0,0
56,0.005365647549682595,0.004091996367389655,0,0
57,0.0037158345665721333,0.0034816121336535776,0,0
58,0.0017707945038193684,0.0015150786694003073,0,0
59,0.0011706540901366429,0.0006593259815603531,0,0
60,0.0011915099636674075,0.0014194198184941872,0,0
61,0.00028119622427151824,0.0003474647262189089,0,0
62,0.00031927483495877354,9.410905726523759e-05,0,0
63,0.0017231011139507279,0.0009599491606396252,0,0
64,0.004101886764206155,0.0037151837657287945,0,0
65,0.008110268272817592,0.006744495576416367,0,0
66,0.009351493447592868,0.006218863181797856,0,0
67,0.010177485100818342,0.004993115388242677,0,0
68,0.01425623492861535,0.0034865288122448183,0,0
69,0.02203671151036977,0.002992693262444201,0,0
70,0.015627867306267747,0.004403505592026927,0,0
71,0.0159018194497279,0.009188945496476243,0,0
72,0.012844511403686953,0.00840179826676014,0,0
73,0.014942186095595526,0.011673638751218013,0,0
74,0.0048508495273881696,0.00438267583916838,0,0
75,0.0082974896921899,0.009375946091724348,0,0
76,0.010226597376191127,0.0120584420027033,0,0
77,0.0048691181409510394,0.006041260113305124,0,0
78,0.003691988304504217,0.0037640571680740563,0,0
79,0.007746188652854433,0.004239538558272069,0,0
80,0.008836306174765936,0.0069779298378804,0,0
81,0.005135830289477613,0.00529042942714398,0,0
82,0.00333940378425333,0.004377535563310976,0,0
83,0.0039047911531834545,0.006351648398816226,0,0
84,0.006193136920886637,0.006648203079240525,0,0
85,0.005770238696622774,0.004526585403175094,0,0
86,0.007095558730022062,0.004934993089890691,0,0
87,0.009045860657683362,0.008870847400149585,0,0
88,0.01250636406967776,0.012253640060507167,0,0
89,0.007329344616914102,0.007704206472166395,0,0
90,0.00508282404047266,0.005287317360481239,0,0
91,0.001827616145218816,0.00202299396564559,0,0
92,0.0041222132887916724,0.0045459626110877765,0,0
93,0.005904552227503887,0.004874800400820682,0,0
94,0.004569822006699126,0.00558500290365007,0,0
95,0.006922833168144998,0.007536158061869961,0,0
96,0.005828445603043209,0.004853006421918712,0,0
97,0.0051384174684733505,0.006065393194523994,0,0
98,0.0055157662163054485,0.006495323098306343,0,0
99,0.005516953344958497,0.005490979206571671,0,0
100,0.0058647378469048935,0.004589282994559448,0,0
101,0.008392023897347431,0.007659719048982074,0,0
102,0.008086578290275957,0.007107785397747499,0,0
103,0.009643774375241372,0.008491743863806623,0,0
104,0.0030709720364055643,0.002925383599885528,0,0
105,0.005083051589585282,0.005777510274570495,0,0
106,0.0068915284188610475,0.008595188083722146,0,0
107,0.0029556063213275864,0.004830256259818122,0,0
108,0.0029919830580084432,0.0027584622594390763,0,0
109,0.0007105767783148316,0.0005597425243083188,0,0
110,0.001094491839492464,0.00031965331081367827,0,0
111,0.002577945431081642,0.00141538433982129,0,0
112,0.000950781241156363,0.0009516570759182793,0,0
113,0.0022606807589502153,0.0001714657589295527,0,0
114,0.0008141417805413667,0.00031019332464653893,0,0
115,0.0028342675546990065,0.0016862732140071857,0,0
116,0.0025256734118726267,0.002411105095574916,0,0
117,0.001943306085855727,0.001271686860593418,0,0
118,0.0025060127270526422,0.0002799558873304603,0,0
119,0.000688344957654152,4.715390182654573e-05,0,0
120,0.001280770171803631,5.218432998739087e-05,0,0
121,0.0047589916409374496,0.00035901141910001913,0,0
