Frame,obj_1,obj_2
1,0.01,0.02
2,0.01,0.02
3,0.01,0.02
4,0.01,0.02
5,0.01,0.02
6,0.01,0.02
7,0.01,0.02
8,0.01,0.02
9,0.01,0.02
10,0.01,0.02
11,0.01,0.02
12,0.01,0.02
13,0.01,0.02
14,0.02,0.02
15,0.02,0.02
16,0.02,0.02
17,0.02,0.02
18,0.02,0.02
19,0.02,0.02
20,0.02,0.02
21,0.02,0.02
22,0.02,0.02
23,0.02,0.02
24,0.02,0.03
25,0.02,0.03
26,0.02,0.03
27,0.02,0.03
28,0.03,0.03
29,0.03,0.02
30,0.02,0.02
31,0.02,0.02
32,0.02,0.02
33,0.02,0.02
34,0.02,0.02
35,0.02,0.01
36,0.02,0.01
37,0.02,0.01
38,0.02,0.01
39,0.02,0.01
40,0.02,0.01
41,0.01,0.01
42,0.01,0.01
43,0.01,0.01
44,0.01,0.01
45,0.01,0.01
46,0.01,0.01
47,0.01,0.01
48,0.01,0.01
49,0.02,0.01
50,0.02,0.01
51,0.02,0.01
52,0.02,0.01
53,0.02,0.01
54,0.02,0.02
55,0.01,0.02
56,0.02,0.02
57,0.02,0.02
58,0.02,0.02
59,0.03,0.02
60,0.04,0.02
61,0.04,0.02
62,0.03,0.02
63,0.02,0.02
64,0.02,0.02
65,0.02,0.02
66,0.02,0.02
67,0.02,0.02
68,0.02,0.02
69,0.02,0.02
70,0.02,0.02
71,0.02,0.02
72,0.01,0.02
73,0.01,0.02
74,0.01,0.02
75,0.01,0.02
76,0.01,0.02
77,0.01,0.04
78,0.01,0.12
79,0.01,0.38
80,0.01,0.79
81,0.01,0.91
82,0.01,0.96
83,0.01,0.98
84,0.01,0.99
85,0.01,0.99
86,0.01,0.99
87,0.01,0.99
88,0.01,0.99
89,0.01,0.99
90,0.01,0.99
91,0.01,0.99
92,0.01,0.98
93,0.01,0.98
94,0.01,0.95
95,0.01,0.8
96,0.01,0.25
97,0.01,0.05
98,0.01,0.02
99,0.01,0.02
100,0.01,0.02
101,0.01,0.02
102,0.01,0.02
103,0.01,0.02
104,0.01,0.02
105,0.01,0.02
106,0.01,0.02
107,0.01,0.02
108,0.01,0.02
109,0.01,0.02
110,0.01,0.02
111,0.01,0.02
112,0.01,0.02
113,0.01,0.02
114,0.01,0.02
115,0.01,0.02
116,0.01,0.02
117,0.01,0.02
118,0.01,0.02
119,0.01,0.02
120,0.01,0.01
121,0.01,0.02
122,0.01,0.02
123,0.01,0.02
124,0.01,0.02
125,0.01,0.02
126,0.01,0.02
127,0.01,0.02
128,0.01,0.02
129,0.01,0.02
130,0.01,0.02
131,0.01,0.02
132,0.01,0.02
133,0.01,0.02
134,0.01,0.02
135,0.01,0.02
136,0.01,0.02
137,0.01,0.02
138,0.01,0.02
139,0.02,0.02
140,0.02,0.02
141,0.02,0.02
142,0.02,0.01
143,0.02,0.01
144,0.02,0.01
145,0.02,0.01
146,0.02,0.01
147,0.02,0.01
148,0.02,0.01
149,0.02,0.01
150,0.01,0.01
151,0.01,0.01
152,0.01,0.01
153,0.01,0.01
154,0.01,0.01
155,0.01,0.02
156,0.01,0.02
157,0.01,0.02
158,0.01,0.02
159,0.01,0.02
160,0.01,0.03
161,0.01,0.03
162,0.01,0.03
163,0.01,0.03
164,0.01,0.02
165,0.01,0.02
166,0.01,0.02
167,0.01,0.02
168,0.02,0.02
169,0.02,0.01
170,0.01,0.01
171,0.01,0.01
172,0.01,0.01
173,0.01,0.01
174,0.01,0.01
175,0.01,0.01
176,0.01,0.01
177,0.01,0.01
178,0.01,0.01
179,0.01,0.01
180,0.01,0.01
181,0.01,0.01
182,0.01,0.01
183,0.01,0.01
184,0.01,0.01
185,0.01,0.01
186,0.01,0.01
187,0.01,0.01
188,0.01,0.01
189,0.01,0.01
190,0.01,0.01
191,0.01,0.01
192,0.01,0.01
193,0.01,0.01
194,0.01,0.01
195,0.01,0.01
196,0.01,0.01
197,0.01,0.01
198,0.01,0.01
199,0.01,0.01
200,0.01,0.01
201,0.01,0.01
202,0.01,0.01
203,0.01,0.01
204,0.01,0.01
205,0.01,0.01
206,0.01,0.01
207,0.01,0.01
208,0.01,0.01
209,0.01,0.01
210,0.01,0.01
211,0.01,0.01
212,0.01,0.01
213,0.01,0.01
214,0.01,0.01
215,0.01,0.01
216,0.01,0.01
217,0.01,0.01
218,0.01,0.01
219,0.01,0.01
220,0.01,0.01
221,0.01,0.01
222,0.01,0.01
223,0.01,0.01
224,0.01,0.01
225,0.01,0.01
226,0.01,0.01
227,0.01,0.01
228,0.01,0.01
229,0.01,0.01
230,0.01,0.01
231,0.01,0.01
232,0.01,0.01
233,0.01,0.01
234,0.01,0.01
235,0.01,0.01
236,0.01,0.01
237,0.01,0.01
238,0.01,0.01
239,0.01,0.02
240,0.01,0.02
241,0.01,0.02
242,0.01,0.02
243,0.01,0.02
244,0.01,0.02
245,0.01,0.02
246,0.01,0.02
247,0.01,0.02
248,0.01,0.02
249,0.01,0.02
250,0.01,0.03
251,0.01,0.06
252,0.01,0.11
253,0.01,0.2
254,0.01,0.26
255,0.01,0.31
256,0.01,0.28
257,0.01,0.24
258,0.01,0.18
259,0.01,0.13
260,0.01,0.07
261,0.01,0.04
262,0.01,0.03
263,0.02,0.02
264,0.02,0.02
265,0.02,0.02
266,0.02,0.01
267,0.02,0.01
268,0.01,0.01
269,0.01,0.01
270,0.01,0.01
271,0.01,0.01
272,0.01,0.01
273,0.01,0.01
274,0.01,0.01
275,0.01,0.01
276,0.01,0.01
277,0.01,0.01
278,0.01,0.01
279,0.01,0.01
280,0.01,0.01
281,0.01,0.01
282,0.01,0.01
283,0.01,0.01
284,0.01,0.01
285,0.01,0.01
