Frame,nose_dist,body_dist,freezing,darting
1,0.0,0.0,0,0
2,0.0,0.0,0,0
3,0.0,0.0,0,0
4,0.0,0.0,0,0
5,0.0,0.0,0,0
6,0.0,0.0,0,0
7,0.0,0.0,0,0
8,0.0,0.0,0,0
9,0.0,0.0,0,0
10,0.0,0.0,0,0
11,0.0,0.0,0,0
12,0.0,0.0,0,0
13,0.0,0.0,0,0
14,0.0,0.0,0,0
15,0.0,0.0,0,0
16,0.0,0.0,0,0
17,0.0,0.0,0,0
18,0.0,0.0,0,0
19,0.0,0.0,0,0
20,0.0,0.0,0,0
21,0.0,0.0,0,0
22,0.0,0.0,0,0
23,0.0,0.0,0,0
24,0.0,0.0,0,0
25,0.0,0.0,0,0
26,0.0,0.0,0,0
27,0.0,0.0,0,0
28,0.0,0.0,0,0
29,0.0,0.0,0,0
30,0.0,0.0,0,0
31,0.0,0.0,0,0
32,0.0,0.0,0,0
33,0.0,0.0,0,0
34,0.0,0.0,0,0
35,0.0,0.0,0,0
36,0.0,0.0,0,0
37,0.0,0.0,0,0
38,0.0,0.0,0,0
39,0.0,0.0,0,0
40,0.0,0.0,0,0
41,0.0,0.0,0,0
42,0.0,0.0,0,0
43,0.0,0.0,0,0
44,0.0,0.0,0,0
45,0.0,0.0,0,0
46,0.0,0.0,0,0
47,0.0,0.0,0,0
48,0.0,0.0,0,0
49,0.0,0.0,0,0
50,0.0,0.0,0,0
51,0.0,0.0,0,0
52,0.0015096806397406615,0.0010562112627412377,0,0
53,0.0025164311902814078,0.00171853161353934,0,0
54,0.0020974660695365697,0.001210956986084971,0,0
55,0.0015357786990629159,0.001631376683604839,0,0
56,0.0019127383280039467,0.0017330441325504812,0,0
57,0.0007477848199345765,0.0008565657189127896,0,0
58,0.001341029860181821,0.0007261822403382343,0,0
59,0.0024375386571138372,0.0015160506471477027,0,0
60,0.00198949993407151,0.0013226481241613195,0,0
61,0.001244037086257521,0.00033018896186788995,0,0
62,0.0015013677369284117,0.00014759064409201273,0,0
63,0.001332870200037961,0.0002958772814041692,0,0
64,0.0008158252842122922,0.0004554227967216657,0,0
65,0.00043375202349710154,0.0009555465814738661,0,0
66,0.00043841575344516547,0.0011340443424330104,0,0
67,0.0003089565817325285,0.0008411749387755549,0,0
68,0.001664280042315457,0.0011823667812548948,0,0
69,0.0035512426991486344,0.001120351622811116,0,0
70,0.0034888751995231946,0.0006286116684107291,0,0
71,0.004709533579623374,0.00043743143425027935,0,0
72,0.005260181973170469,0.0005936536093826919,0,0
73,0.002766783303364328,0.0008128009520778634,0,0
74,0.0020337761853930635,0.0010824975518806046,0,0
75,0.0021257547111038395,0.0022969012377913765,0,0
76,0.00386375092279546,0.003920361283857804,0,0
77,0.003681100990247861,0.005033508430115129,0,0
78,0.004151075634789684,0.004332889776838231,0,0
79,0.004958672974803804,0.002110931943439009,0,0
80,0.0011426886339278204,0.0024602301997586245,0,0
81,0.0005980600060591617,0.0005664088271222658,0,0
82,0.0050833171729987026,0.0008985523970737304,0,0
83,0.012491880954383108,0.004108567283056809,0,0
84,0.007451797395099577,0.003402156033348777,0,0
85,0.0032566986000181434,0.0011331685514443036,0,0
86,0.0009900629539259845,0.0018330253185271919,0,0
87,0.004517234789446706,0.0040329822498214336,0,0
88,0.009182315141241657,0.008836006655074786,0,0
89,0.01638697211247233,0.0166214357411755,0,0
90,0.010884006557699945,0.010514522490360086,0,0
91,0.007610487510765236,0.006519069882639066,0,0
92,0.0052855049777509235,0.0043841142264893305,0,0
93,0.005800314757373289,0.002693657364112824,0,0
94,0.0028995370764549966,0.0024283494136810376,0,0
95,0.002025118053396887,0.0007770800483344372,0,0
96,0.0026555312629437176,0.00025344784415222367,0,0
97,0.001676414112488943,0.000572101364838311,0,0
98,0.0011006488573993048,0.0007103260376773436,0,0
99,0.0028731958990386554,0.0015017021393536273,0,0
100,0.001998353115272014,0.002705967760555217,0,0
101,0.0036949603987244312,0.001296406639310846,0,0
102,0.005000606840165669,0.000682053747893726,0,0
103,0.0063353350832246165,0.00019896191414338853,0,0
104,0.008791083634707516,0.00029845212850715847,0,0
105,0.00273091044179239,0.00018771499678382116,0,0
106,0.00171631517302659,3.109014408508742e-05,0,0
107,0.0013131468336982266,0.0005486597041033643,0,0
108,0.008116738625961718,0.006030068422211699,0,0
109,0.02041463472674424,0.01741685926002182,0,0
110,0.01335639488154086,0.012032332991427929,0,0
111,0.013212612101797477,0.014032922160821904,0,0
112,0.004611899116826327,0.004614202789668517,0,0
113,0.01069158373800702,0.009501672715697223,0,0
114,0.018531651768720802,0.0193189043990796,0,0
115,0.014455984494322062,0.015429198329316541,0,0
116,0.01530123293954166,0.01606768172451627,0,0
117,0.004782138316459403,0.005094721113821743,0,0
118,0.00588091235714762,0.0075455652182490176,0,0
119,0.0026999271319272738,0.006654437055946198,0,0
120,0.001107969256684095,0.00263583130343895,0,0
