Video,Group,obj_1,obj_2
2024_05-PD-TS-R13_C6n,PD,Known,Novel
2024_05-PD-TS-R14_C6i,Veh,Known,Novel
2024_05-PD-TS-R15_C6d,Veh,Novel,Known
2024_05-PD-TS-R16_C6a,PD,Novel,Known
2024_05-PD-TS-R17_C7n,PD,Known,Novel
2024_05-PD-TS-R18_C7i,PD,Novel,Known
2024_05-PD-TS-R19_C7d,Veh,Novel,Known
2024_05-PD-TS-R21_C8n,Veh,Novel,Known
2024_05-PD-TS-R22_C8i,PD,Known,Novel
2024_05-PD-TS-R23_C8d,PD,Known,Novel
2024_05-PD-TS-R24_C8a,Veh,Novel,Known
2025_04-PD-TS-R01_C1i,PD,Novel,Known
2025_04-PD-TS-R02_C1n,Veh,Known,Novel
2025_04-PD-TS-R03_C1d,Veh,Known,Novel
2025_04-PD-TS-R04_C1a,PD,Novel,Known
2025_04-PD-TS-R05_C2n,PD,Known,Novel
2025_04-PD-TS-R06_C2d,PD,Novel,Known
2025_04-PD-TS-R07_C2i,Veh,Novel,Known
2025_04-PD-TS-R08_C2a,Veh,Known,Novel
2025_04-PD-TS-R09_C3i,PD,Novel,Known
2025_04-PD-TS-R10_C3d,Veh,Novel,Known
2025_04-PD-TS-R11_C4i,PD,Novel,Known
2025_04-PD-TS-R12_C5i,Veh,Novel,Known
