Video,Group,exploration_time_Novel,exploration_time_Known,DI,diff,freezing_time
2024_05-PD-TS-R13_C6n,PD,9.066666666666666,4.566666666666666,33.007334963325185,4.5,11.766666666666667
2024_05-PD-TS-R16_C6a,PD,16.4,16.433333333333334,-0.10152284263959896,-0.03333333333333499,21.5
2024_05-PD-TS-R17_C7n,PD,15.266666666666667,7.633333333333334,33.33333333333333,7.633333333333334,10.4
2024_05-PD-TS-R18_C7i,PD,17.433333333333334,6.166666666666667,47.74011299435028,11.266666666666666,9.1
2024_05-PD-TS-R22_C8i,PD,14.6,13.7,3.1802120141342773,0.9000000000000004,0.0
2024_05-PD-TS-R23_C8d,PD,8.733333333333333,10.6,-9.655172413793107,-1.8666666666666671,2.1
2025_04-PD-TS-R01_C1i,PD,13.5,6.833333333333333,32.786885245901644,6.666666666666667,7.4
2025_04-PD-TS-R04_C1a,PD,29.3,6.7,62.77777777777778,22.6,24.666666666666668
2025_04-PD-TS-R05_C2n,PD,10.0,6.966666666666667,17.87819253438114,3.033333333333333,93.56666666666666
2025_04-PD-TS-R06_C2d,PD,12.766666666666667,19.966666666666665,-21.99592668024439,-7.1999999999999975,8.433333333333334
2025_04-PD-TS-R09_C3i,PD,33.36666666666667,15.233333333333333,37.31138545953361,18.133333333333333,9.4
2025_04-PD-TS-R11_C4i,PD,17.333333333333332,2.8666666666666667,71.61716171617161,14.466666666666665,4.5
2024_05-PD-TS-R14_C6i,Veh,14.666666666666666,10.333333333333334,17.33333333333333,4.333333333333332,15.6
2024_05-PD-TS-R15_C6d,Veh,6.5,3.8333333333333335,25.806451612903224,2.6666666666666665,6.233333333333333
2024_05-PD-TS-R19_C7d,Veh,10.8,12.866666666666667,-8.73239436619718,-2.0666666666666664,1.9666666666666666
2024_05-PD-TS-R21_C8n,Veh,14.433333333333334,5.7,43.37748344370861,8.733333333333334,9.433333333333334
2024_05-PD-TS-R24_C8a,Veh,18.133333333333333,7.733333333333333,40.20618556701031,10.399999999999999,1.8666666666666667
2025_04-PD-TS-R02_C1n,Veh,11.466666666666667,9.133333333333333,11.326860841423949,2.333333333333334,12.266666666666667
2025_04-PD-TS-R03_C1d,Veh,16.3,1.0,88.43930635838151,15.3,39.8
2025_04-PD-TS-R07_C2i,Veh,17.3,8.8,32.56704980842912,8.5,11.033333333333333
2025_04-PD-TS-R08_C2a,Veh,22.433333333333334,3.7,71.68367346938777,18.733333333333334,4.166666666666667
2025_04-PD-TS-R10_C3d,Veh,17.666666666666668,7.1,42.66487213997309,10.566666666666668,0.8333333333333334
2025_04-PD-TS-R12_C5i,Veh,22.166666666666668,7.966666666666667,47.12389380530974,14.200000000000001,1.1666666666666667
