Frame,nose_dist,body_dist,freezing,Known,Novel
1,0.0,0.0,0,0,0
2,0.0,0.0,0,0,0
3,0.0,0.0,0,0,0
4,0.0,0.0,0,0,0
5,0.0,0.0,0,0,0
6,0.0,0.0,0,0,0
7,0.0,0.0,0,0,0
8,0.0,0.0,0,0,0
9,0.0,0.0,0,0,0
10,0.0,0.0,0,0,0
11,0.0,0.0,0,0,0
12,0.0,0.0,0,0,0
13,0.0,0.0,0,0,0
14,0.0,0.0,0,0,0
15,0.0,0.0,0,0,0
16,0.0,0.0,0,0,0
17,0.0,0.0,0,0,0
18,0.0,0.0,0,0,0
19,0.0,0.0,0,0,0
20,0.0,0.0,0,0,0
21,0.0,0.0,0,0,0
22,0.0,0.0,0,0,0
23,0.0,0.0,0,0,0
24,0.0,0.0,0,0,0
25,0.0,0.0,0,0,0
26,0.0,0.0,0,0,0
27,0.0,0.0,0,0,0
28,0.0,0.0,0,0,0
29,0.0,0.0,0,0,0
30,0.0,0.0,0,0,0
31,0.0,0.0,0,0,0
32,0.0,0.0,0,0,0
33,0.0,0.0,0,0,0
34,0.0,0.0,0,0,0
35,0.0,0.0,0,0,0
36,0.0,0.0,0,0,0
37,0.0,0.0,0,0,0
38,0.0,0.0,0,0,0
39,0.0,0.0,0,0,0
40,0.0,0.0,0,0,0
41,0.0,0.0,0,0,0
42,0.0,0.0,0,0,0
43,0.0,0.0,0,0,0
44,0.0,0.0,0,0,0
45,0.0,0.0,0,0,0
46,0.0,0.0,0,0,0
47,0.0,0.0,0,0,0
48,0.0,0.0,0,0,0
49,0.0,0.0,0,0,0
50,0.0,0.0,0,0,0
51,0.0,0.0,0,0,0
52,0.0,0.0,0,0,0
53,0.0,0.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,0.0,0.0,0,0,0
57,0.0,0.0,0,0,0
58,0.0,0.0,0,0,0
59,0.0,0.0,0,0,0
60,0.0,0.0,0,0,0
61,0.0,0.0,0,0,0
62,0.0001378441650143,0.0003031033420889,0,0,0
63,0.0001895572618088,9.359195178010528e-05,0,0,0
64,0.0005503079529377,0.0003597721727919,0,0,0
65,0.0004120790099164,0.0002221155938124,0,0,0
66,0.0016474935836937,0.0007993788365857,0,0,0
67,0.0022939126560709,0.0011758742716678,0,0,0
68,0.0005217590940679,0.0004452462407161,0,0,0
69,0.0003127872342819,0.0005035273351206,0,0,0
70,0.0002717076576591,0.0001225058839211,0,0,0
71,8.545874672142285e-05,2.215786858074461e-05,0,0,0
72,0.0009401306120235,0.0001488881769009,0,0,0
73,0.0032031408805666,0.0004352384507889,0,0,0
74,0.003499610226577,0.0012278454168591,0,0,0
75,0.0113760639785807,0.0044795637647265,0,0,0
76,0.0049963684614056,0.0032655933097497,0,0,0
77,0.0095461974723159,0.0097354175941472,0,0,0
78,0.007438861523512,0.0068394315796535,0,0,0
79,0.0087852195105214,0.0046361255234486,0,0,0
80,0.0022402389345211,0.0015643255513376,0,0,0
81,0.0018653817976036,0.0022191450003735,0,0,0
82,0.0007031343023427,0.0006418936742457,0,0,0
83,0.0030409796382063,0.0003385132408334,0,0,0
84,0.006755615685863,0.0003422764383395,0,0,0
85,0.0038172942111641,0.0012403806933329,0,0,0
86,0.0003593687635856,0.0002704832112614,0,0,0
87,0.0012715769277698,0.0004985556748307,0,0,0
88,0.0015469567507673,0.0003345531818405,0,0,0
89,0.0019281906843487,0.0003730772636632,0,0,0
90,0.0024463213128882,0.0002525100114841,0,0,0
91,0.0013056061854997,0.0002889695096719,0,0,0
92,0.0005837585614398,0.0002500596723284,0,0,0
93,0.0011811291970188,0.0006708883631765,0,0,0
94,0.000743218748318,0.000419532598001,0,0,0
95,0.0025541020890668,0.0003881003740901,0,0,0
96,0.0007322241600063,0.000597554667941,0,0,0
97,0.0004021999390684,0.0003132663053138,0,0,0
98,0.0001295706657505,8.762453657444235e-05,0,0,0
99,0.0005038957312904,0.0003258799520342,0,0,0
100,0.0016281508396868,0.0005042644733187,0,0,0
101,0.0027957877328879,0.0004594555885497,0,0,0
102,0.0040908413646121,0.0012582248594638,0,0,0
103,0.0020110218124235,0.0010170358568631,0,0,0
104,0.0005707593891267,0.0003218006634574,0,0,0
105,0.001148585131906,0.0008925623730675,0,0,0
106,0.0010278201395617,0.001559072165822,0,0,0
107,0.0008200010915177,0.0008668300054753,0,0,0
108,0.0002905894243211,0.0001881025081376,0,0,0
109,4.451823584340607e-05,0.0001535117607977,0,0,0
110,0.0001510412044707,6.716269277944028e-05,0,0,0
111,0.000727779523948,8.509565856004109e-05,0,0,0
112,0.0010942064906957,6.035634388307724e-05,0,0,0
113,0.0030725735053893,0.0005916699004039,0,0,0
114,0.0080939073268967,0.0018441610856154,0,0,0
115,0.0042089600251849,0.0025145121970121,0,0,0
116,0.0017847273335337,0.0012252862911677,0,0,0
117,0.0055973031963877,0.0032008811405386,0,0,0
118,0.0059914519316965,0.0040519815004577,0,0,0
119,0.0061122013811839,0.0054090063786486,0,0,0
120,0.0063616338367631,0.0074572677934472,0,0,0
121,0.0033063398579718,0.0039047946044927,0,0,0
122,0.000884085783913,0.0008801920686377,0,0,0
123,0.0020443551045517,0.0016469489419403,0,0,0
124,0.003584539449042,0.0029346508834829,0,0,0
125,0.006142399959609,0.0059251499255051,0,0,0
126,0.0102289828969495,0.0119606896204578,0,0,0
127,0.0068219509452343,0.0069212678378839,0,0,0
128,0.0025371601315015,0.0025298752862531,0,0,0
129,0.0066762404827105,0.0067463581568238,0,0,0
130,0.0078048647141916,0.0068929576552493,0,0,0
131,0.0090695520989717,0.0089702742397003,0,0,0
132,0.0128831297183498,0.012449292162406,0,0,0
133,0.0060555176863699,0.0069994423226749,0,0,0
134,0.0015506958715377,0.0020507654398312,0,0,0
135,0.0034538188091918,0.0044438340928058,0,0,0
136,0.0035840257953837,0.0044056490561843,0,0,0
137,0.0044810310002726,0.0039351102733071,0,0,0
138,0.0080520049802863,0.0060064160232624,0,0,0
139,0.0065009113337847,0.0055448234133172,0,0,0
140,0.0025080449288814,0.0021693448568539,0,0,0
141,0.0060885760768287,0.0056484792417425,0,0,0
142,0.0077537416941861,0.0082043183267976,0,0,0
143,0.0095215832738657,0.0111402785136726,0,0,0
144,0.0149786385946133,0.0139747778777049,0,0,0
145,0.0086829508445694,0.0078774454552465,0,0,0
146,0.0026075457827651,0.0033495807074635,0,0,0
147,0.0063568194701713,0.0092505413831282,0,0,0
148,0.0084086865604166,0.0076052947766303,0,0,0
149,0.0071052150965364,0.0087418704278723,0,0,0
150,0.0089555563427199,0.0110896038119305,0,0,0
151,0.0055307513156182,0.0059937945719004,0,0,0
152,0.0012067853172399,0.0015513227773066,0,0,0
153,0.0033858436771311,0.0024550580172064,0,0,0
154,0.0056915688124339,0.0016126754528684,0,0,0
155,0.0034334222734644,0.0024102470229384,0,0,0
156,0.0028149487591429,0.0020626515965713,0,0,0
157,0.0013686423459203,0.0006172284487949,0,0,0
158,0.0003241852053133,5.300997946039599e-05,0,0,0
159,0.0026516708174131,0.000472313869877,0,0,0
160,0.0100687401875591,0.0021264661785847,0,0,0
161,0.0066811211968917,0.0022518468501301,0,0,0
162,0.0044548360204947,0.003591126023506,0,0,0
163,0.0045036930205081,0.0039236238272934,0,0,0
164,0.0020185264512844,0.0012859492228636,0,0,0
165,0.0052172665049707,0.0026617861800307,0,0,0
166,0.0051617971018597,0.0038263048632852,0,0,0
167,0.0034947133309996,0.0043941754594733,0,0,0
168,0.0043358462131484,0.0036325130871746,0,0,0
169,0.0009229138018277,0.0019182296646202,0,0,0
170,0.0004421580736932,0.0003851778245942,0,0,0
171,0.0007146400486073,0.0006668498232972,0,0,0
172,0.0008984892783817,0.0008879011225133,0,0,0
173,0.0010268773951051,0.0013154240962663,0,0,0
174,0.0012252513415839,0.0022572709893585,0,0,0
175,0.0020369205207143,0.0007526672828151,0,0,0
176,0.0033679301143694,0.0004358373209586,0,0,0
177,0.0043255640059983,0.0015495081780718,0,0,0
178,0.0046803579997428,0.0015976380572579,0,0,0
179,0.0044299816520472,0.0012447268353798,0,0,0
180,0.0036569940302095,0.0012003847363263,0,0,0
181,0.0024272929092401,0.0004034337384829,0,0,0
182,0.0007300213103884,1.3717240843439848e-05,0,0,0
183,0.0012422335287161,0.0002533737157206,0,0,0
184,0.0012080789553355,0.0006397827708658,0,0,0
185,0.000770402851816,0.0007055652530373,0,0,0
186,0.0004248652427617,0.0005631197489562,0,0,0
187,0.001192810118053,0.0004276872705522,0,0,0
188,0.0004312712067682,0.0001856780668231,0,0,0
189,0.0012677057694514,0.0004452303757188,0,0,0
190,0.0025537534281723,8.576478044159369e-05,0,0,0
191,0.0022170035937022,0.0001118899535562,0,0,0
192,0.0018060409384157,8.616125851107323e-05,0,0,0
193,0.0016070738228271,1.5675953169545295e-05,0,0,0
194,0.0006265401112692,4.490364867460581e-05,0,0,0
195,0.0017134392818084,0.0001463066694534,0,0,0
196,0.002632829319652,0.0001415978109048,0,0,0
197,0.0021451430585049,0.0002933724312775,0,0,0
198,0.0036547471123469,0.0007220314136399,0,0,0
199,0.0009689569933067,0.0004722424314773,0,0,0
200,0.0003706927898488,0.0003017931897404,0,0,0
201,0.0017665982194841,0.0008929029916417,0,0,0
202,0.0030401429920706,0.0010963418490865,0,0,0
203,0.0032522661551759,0.0011773069296927,0,0,0
204,0.0021711216727631,0.0006270285775254,0,0,0
205,0.0005168411178028,0.0001412474695456,0,0,0
206,8.62256010578991e-05,4.052546174983135e-05,0,0,0
207,0.0003487380421285,5.411981748234043e-05,0,0,0
208,8.764226775864043e-05,6.389937114015175e-05,0,0,0
209,3.67316541126456e-05,1.5695465306469815e-05,0,0,0
210,6.402548405432173e-05,2.93787186892952e-05,0,0,0
211,5.054392553640181e-05,5.267319014046366e-05,0,0,0
212,6.501096986501414e-05,1.4493156298467777e-05,0,0,0
213,0.0001019276415113,1.5159684754360529e-05,0,0,0
214,0.0001764227869043,4.044904896510707e-05,0,0,0
215,0.0020838644658561,0.0002314639260772,0,0,0
216,0.0077310546431051,0.0006575248684673,0,0,0
217,0.0064479038719796,0.0001523620630677,0,0,0
218,0.0020042856573697,0.0001595027049591,0,0,0
219,0.0035917347616078,0.0007721712230803,0,0,0
220,0.0030187175385895,0.0009513409415287,0,0,0
221,0.0035464416691971,0.0013542772290536,0,0,0
222,0.0031680295007965,0.001941451285234,0,0,0
223,0.0013952804495127,0.0010775690293422,0,0,0
224,0.0002832873179138,0.0002645471942202,0,0,0
225,1.346912653954286e-05,0.0003311752525089,0,0,0
226,0.0002652690266817,8.604196417391014e-05,0,0,0
227,0.0007671804952616,8.178892296905929e-05,0,0,0
228,0.0008968408655079,8.883610950584813e-05,0,0,0
229,0.0013684645469851,6.062759920844646e-05,0,0,0
230,0.0004496336633696,9.795336548755078e-05,0,0,0
231,0.0005277944360489,0.0003343979777938,0,0,0
232,0.0004919499250241,0.0004282910762906,0,0,0
233,0.0005770539483801,0.0003154484617273,0,0,0
234,0.0006727863661768,0.0001717146315795,0,0,0
235,0.0005301688826673,0.0003332195360764,0,0,0
236,0.0003774031617764,0.0002457536071124,0,0,0
237,0.0009791333626798,0.0009722645831639,0,0,0
238,0.0003429206111537,0.0008584429618131,0,0,0
239,0.0004665956927503,0.0003439314827187,0,0,0
240,0.0009081383978967,0.000459558735088,0,0,0
241,0.0004818234768584,0.0001921223448702,0,0,0
242,0.0001009534327658,2.0396412809213827e-05,0,0,0
243,4.137825323912176e-05,7.388986452899631e-05,0,0,0
244,0.0001138953333652,1.9163991283195895e-05,0,0,0
245,0.0001038119029161,2.099699335452347e-06,0,0,0
246,7.013606092702327e-05,1.323354359089863e-05,0,0,0
247,2.373090647203529e-05,4.19863080218423e-05,0,0,0
248,1.5951452167618418e-05,7.516366799982314e-06,0,0,0
249,7.19863118325151e-05,2.608941386915187e-05,0,0,0
250,4.9020040210524046e-05,6.120685631813523e-05,0,0,0
251,7.260725994267602e-05,1.7300473257245462e-05,0,0,0
252,0.0001978577413114,1.890221742190921e-05,0,0,0
253,0.0002160478288855,2.7495160047393087e-06,0,0,0
254,4.53242810363781e-05,4.821273587408859e-06,0,0,0
255,1.9460845214881977e-05,1.3856997203336384e-05,0,0,0
256,0.0014072654224386,9.61168604555688e-05,0,0,0
257,0.0077590812853211,0.0005089062201122,0,0,0
258,0.0104178069834512,0.0010903417779115,0,0,0
259,0.0042737979186671,0.0002708055565472,0,0,0
260,0.0006644367349062,2.067933148768465e-05,0,0,0
261,0.0010881951353924,0.0001106668959542,0,0,0
262,0.0011917174543747,0.0002348204502467,0,0,0
263,0.0018213880209935,0.0004161008429149,0,0,0
264,0.0071951018773561,0.0016910120695794,0,0,0
265,0.0072417389766959,0.0014668157218018,0,0,0
266,0.002346796753327,0.0003297931700489,0,0,0
267,0.0051475708847935,0.0003767913609469,0,0,0
268,0.0070059506298851,0.0001866616970938,0,0,0
269,0.0044949853951566,0.0004200754444946,0,0,0
270,0.0030374398829803,0.0006881715405662,0,0,0
271,0.0019848332640596,0.0004356213997749,0,0,0
272,0.0005697507342298,0.0001512844144352,0,0,0
273,0.0007539545985005,0.0004131174142979,0,0,0
274,0.0004677326686567,0.0002843797912306,0,0,0
275,0.0001237191834632,0.0002733750983201,0,0,0
276,4.266960017371112e-05,0.0002321505888867,0,0,0
277,0.0001839669121301,0.000119316445962,0,0,0
278,9.70169805237082e-05,1.8206935009261352e-05,0,0,0
279,0.0001374755744382,0.0001100600051229,0,0,0
280,6.014988348168817e-05,3.06962491648077e-05,0,0,0
281,3.021043890718025e-05,2.8886201723686123e-05,0,0,0
282,0.0001317165914043,0.0001099305880618,0,0,0
283,0.0001835029658438,5.6161370984566106e-05,0,0,0
284,2.7728355305700632e-05,1.4936858360035772e-05,0,0,0
285,7.853122588550214e-05,9.355883463571584e-06,0,0,0
286,7.988595501927663e-05,4.770019473142748e-05,0,0,0
287,2.97513622525076e-05,3.537586315451048e-05,0,0,0
288,5.462828959677738e-05,0.0001237737082029,0,0,0
289,4.910319296813208e-05,6.0332479802841776e-05,0,0,0
290,3.2376709114351056e-05,1.0587386184535e-05,0,0,0
291,7.280690865262308e-05,1.0399546742590007e-05,0,0,0
292,8.660558367654152e-05,1.6819127231784525e-05,0,0,0
293,3.4424361566433655e-05,1.4212766151939944e-05,0,0,0
294,8.19685563904536e-05,1.1028221184586207e-05,0,0,0
295,1.8928736467903852e-05,2.883578313365437e-05,0,0,0
296,1.4345846904856636e-05,1.6729749431699673e-05,0,0,0
297,3.068829043186304e-05,2.919956185477564e-05,0,0,0
298,0.0001108606997404,2.69231976731844e-05,0,0,0
299,8.675731546395374e-05,5.796007433908181e-05,0,0,0
300,5.679811943920623e-05,4.146387004545519e-05,0,0,0
301,0.0001462494817495,2.828310940409998e-05,0,0,0
302,0.0004578110447931,0.0001033834689854,0,0,0
303,0.0019062835637116,0.0005631726270801,0,0,0
304,0.001917373429378,0.0007337418068211,0,0,0
305,0.0030516980647,0.0001173779102022,0,0,0
306,0.0013960268161288,0.0001766249217419,0,0,0
