Frame,nose_dist,body_dist,freezing,Novel,Known
1,0.0,0.0,0,0,0
2,0.0,0.0,0,0,0
3,0.0,0.0,0,0,0
4,0.0,0.0,0,0,0
5,0.0,0.0,0,0,0
6,0.0,0.0,0,0,0
7,0.0,0.0,0,0,0
8,0.0,0.0,0,0,0
9,0.0,0.0,0,0,0
10,0.0,0.0,0,0,0
11,0.0,0.0,0,0,0
12,0.0,0.0,0,0,0
13,0.0,0.0,0,0,0
14,0.0,0.0,0,0,0
15,0.0,0.0,0,0,0
16,0.0,0.0,0,0,0
17,0.0,0.0,0,0,0
18,0.0,0.0,0,0,0
19,0.0,0.0,0,0,0
20,0.0,0.0,0,0,0
21,0.0,0.0,0,0,0
22,0.0,0.0,0,0,0
23,0.0,0.0,0,0,0
24,0.0,0.0,0,0,0
25,0.0,0.0,0,0,0
26,0.0,0.0,0,0,0
27,0.0,0.0,0,0,0
28,0.0,0.0,0,0,0
29,0.0,0.0,0,0,0
30,0.0,0.0,0,0,0
31,0.0,0.0,0,0,0
32,0.0,0.0,0,0,0
33,0.0,0.0,0,0,0
34,0.0,0.0,0,0,0
35,0.0,0.0,0,0,0
36,0.0,0.0,0,0,0
37,0.0,0.0,0,0,0
38,0.0,0.0,0,0,0
39,0.0,0.0,0,0,0
40,0.0,0.0,0,0,0
41,0.0,0.0,0,0,0
42,0.0,0.0,0,0,0
43,0.0,0.0,0,0,0
44,0.0,0.0,0,0,0
45,0.0,0.0,0,0,0
46,0.0,0.0,0,0,0
47,0.0,0.0,0,0,0
48,0.0,0.0,0,0,0
49,0.0,0.0,0,0,0
50,0.0,0.0,0,0,0
51,0.0,0.0,0,0,0
52,0.0,0.0,0,0,0
53,0.0,0.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,0.0,0.0,0,0,0
57,0.0,0.0,0,0,0
58,0.0,0.0,0,0,0
59,0.0,0.0,0,0,0
60,0.0,0.0,0,0,0
61,0.0,0.0,0,0,0
62,0.0106719094035715,0.0117137510888898,0,0,0
63,0.013784721771495,0.0152338705245453,0,0,0
64,0.0168849642762704,0.0184293486984203,0,0,0
65,0.0051491691985514,0.0054295655858981,0,0,0
66,0.00689871290925,0.0070679096858207,0,0,0
67,0.0075249788863778,0.0083144483251042,0,0,0
68,0.0069926385259197,0.0060169705610638,0,0,0
69,0.0065371806107964,0.0056346621204903,0,0,0
70,0.0056974020125685,0.0057217711591381,0,0,1
71,0.0015058870511892,0.0015364416955471,0,0,1
72,0.0014354929196287,0.0022991031872753,0,0,1
73,0.0003767653491328,0.0016743947140031,0,0,1
74,0.0006794428216985,0.0005675756620763,0,0,1
75,0.0027570813028911,0.0009354641270287,0,0,1
76,0.0012878206832348,0.0021014976934247,0,0,1
77,0.0004929790451722,0.0005001811840479,0,0,1
78,0.0025066900304634,0.0003904976780436,0,0,1
79,0.0054656272401949,0.0006700921306869,0,0,0
80,0.0026581805368945,0.001066593839314,0,0,0
81,0.0071454254396371,0.0026993660813151,0,0,0
82,0.0109170753560133,0.0057404743788861,0,0,0
83,0.0038830823717943,0.0023865168028707,0,0,0
84,0.0072196137245954,0.005177373897956,0,0,0
85,0.0083005309654926,0.0069486221337891,0,0,0
86,0.0085332204784229,0.0088038061386573,0,0,0
87,0.0120086597452981,0.0119936007065958,0,0,0
88,0.0154155884886361,0.0180092720741729,0,0,0
89,0.0050603553514945,0.0058110001012201,0,0,0
90,0.0084737688683386,0.0059432146499771,0,0,0
91,0.0103854678112151,0.007716826060399,0,0,0
92,0.0095291345527944,0.0114067032344221,0,0,0
93,0.0102307369932411,0.0138471257044732,0,0,0
94,0.0136637545839161,0.0133470282389423,0,0,0
95,0.0042734317674504,0.0042012497276599,0,0,0
96,0.0066057374849466,0.0070342051920796,0,0,0
97,0.0090042870876349,0.0078984424607673,0,0,0
98,0.0068429735752198,0.0078408250571352,0,0,0
99,0.0077808146508632,0.0082934729723346,0,0,0
100,0.0100927583215477,0.007800334352477,0,0,0
101,0.0032616827240278,0.0027162912752626,0,0,0
102,0.0055865131038346,0.0055544078296258,0,0,0
103,0.0074910731686847,0.0066255419069068,0,0,0
104,0.0064989282286207,0.0055643675760604,0,0,0
105,0.0063659950785834,0.0049659994844929,0,0,0
106,0.001963431909832,0.0051200995761525,0,0,0
107,6.646846877702086e-05,0.001521626693214,0,0,0
108,0.0005970096472758,0.0024016952078692,0,0,0
109,0.0016489149656398,0.0015660751149322,0,0,0
110,0.0042034856413698,0.0010271015697793,0,0,0
111,0.0082501012057601,0.0010589702932164,0,0,0
112,0.0133665216064078,0.0012610695224327,0,0,0
113,0.0038131816573602,0.0003139544868066,0,0,0
114,0.0045654464761627,0.0002653400074008,0,0,0
115,0.0091982877020774,0.0006078788345606,0,0,0
116,0.01183004447126,0.001619357897769,0,0,0
117,0.0109881710497605,0.0035400034788498,0,0,0
118,0.0125051274924696,0.0068170287542229,0,0,0
119,0.0040257621889103,0.0024302968655736,0,0,0
120,0.0065596682054577,0.0042473796807691,0,0,0
121,0.0069384239973887,0.0070683694164042,0,0,0
122,0.0080829279416674,0.0085913678413802,0,0,0
123,0.0113081877437463,0.0119197141809373,0,0,0
124,0.0145282679594778,0.015456339534125,0,0,0
125,0.0051719751526402,0.0055197167142951,0,0,0
126,0.0092766562828347,0.0097550354628075,0,0,0
127,0.0098520555120675,0.0101819474607661,0,0,0
128,0.012087136695963,0.0104182606570653,0,0,0
129,0.013587492628802,0.0129336917505788,0,0,0
130,0.017651756607494,0.0166891831759548,0,0,0
131,0.0060717726809157,0.0058082344495447,0,0,0
132,0.0098902463012485,0.0102342547439716,0,0,0
133,0.0100744957272681,0.0109439135270805,0,0,0
134,0.0097254245570502,0.0107915746403634,0,0,0
135,0.0106782931360304,0.0115403441950838,0,0,0
136,0.0150276843756889,0.013477936023628,0,0,0
137,0.0043401156494672,0.004144625775255,0,0,0
138,0.0051358631577836,0.0066971990250475,0,0,0
139,0.007880921862038,0.0083676158768692,0,0,0
140,0.009226093374384,0.0084061138306474,0,0,0
141,0.0089747354957194,0.0073568430479408,0,0,0
142,0.0120111205982263,0.0065918801836903,0,0,0
143,0.0035791985041965,0.0017757732494049,0,0,0
144,0.0049770866878602,0.0021753012041983,0,0,0
145,0.0078403324134025,0.0037747866753277,0,0,0
146,0.0109567029180802,0.0060244394036084,0,0,0
147,0.0142305708431437,0.0116697938286271,0,0,0
148,0.0178168610287115,0.0174165485680046,0,0,0
149,0.0059210883276947,0.0055379776666833,0,0,0
150,0.0097205240996632,0.0080144330218041,0,0,0
151,0.0108195743010534,0.0092211148391904,0,0,0
152,0.0109099557104332,0.0114532583324978,0,0,0
153,0.0133196528434653,0.0135764817150421,0,0,0
154,0.0159970935218295,0.0174165092999001,0,0,0
155,0.0052031470015861,0.0054200910984513,0,0,0
156,0.0084900877730512,0.0073658126154053,0,0,0
157,0.0092654024943077,0.0073515209437415,0,0,0
158,0.0095070646290899,0.0085101031219847,0,0,0
159,0.0089209321223021,0.0111831558289411,0,0,0
160,0.0062340960477896,0.0089036165983732,0,0,0
161,0.0014073125181732,0.0019904355912928,0,0,0
162,0.0020992235239543,0.0014948885952164,0,0,0
163,0.0062502396808614,0.0010524721096663,0,0,0
164,0.0091703041353217,0.0013637809760471,0,0,0
165,0.0085809761084018,0.0020621430025429,0,0,0
166,0.0051776002300617,0.0007367234975751,0,0,0
167,0.0012632012920023,0.0003580960989168,0,0,0
168,0.0023437912304024,0.0009951141437653,0,0,0
169,0.0045800008613179,0.0025524771707743,0,0,0
170,0.0096392767302939,0.0076009675408312,0,0,0
171,0.0055442946705246,0.0048506052721704,0,0,0
172,0.0039125780186754,0.0018792458241453,0,0,0
173,0.0012062716450327,0.0007824672914046,0,0,0
174,0.0022062484160635,0.0024556847075764,0,1,0
175,0.0016718767216955,0.0017963465037001,0,1,0
176,0.0002452697697401,0.0008072852281064,0,1,0
177,0.0004401884821916,0.0003774493713624,0,1,0
178,0.0005794925479041,0.0003018696703294,0,1,0
179,0.0009961296731815,0.0001648525757394,0,1,0
180,0.0041772176945571,0.0007111626777973,0,0,0
181,0.0039083114727001,0.0014351398967416,0,0,0
182,0.0026782863614824,0.00210448996674,0,0,0
183,0.0035994573542627,0.0023280636709701,0,0,0
184,0.0029941899708637,0.0031208519056558,0,0,0
185,0.0014892508708073,0.0009439232784047,0,0,0
186,0.0060889375609291,0.001524303190555,0,0,0
187,0.0054407856320204,0.0014367558404808,0,0,0
188,0.0066335313520929,0.0036558810851037,0,0,0
189,0.0095056266883754,0.0083550470808674,0,0,0
190,0.0131454186045172,0.0120385429623832,0,0,0
191,0.0043632838851566,0.0041452429864008,0,0,0
192,0.0072395657172044,0.007318943360198,0,0,0
193,0.0092294042940267,0.0084716385236958,0,0,0
194,0.0088003862546344,0.0076677832146598,0,0,0
195,0.0098866439259577,0.0102506479773533,0,0,0
196,0.0121242177028549,0.0128501737248502,0,0,0
197,0.0041574719842326,0.0042620211697677,0,0,0
198,0.0073804393262848,0.0070038194743947,0,0,0
199,0.0082979315430024,0.0076682884090623,0,0,0
200,0.0069067475458026,0.0083195144926731,0,0,0
201,0.0068303113296619,0.0085669179372617,0,0,0
202,0.0050938619629006,0.0076022956624213,0,0,1
203,0.0017622124596676,0.0019672604152144,0,0,1
204,0.0042989724744027,0.0029088290284132,0,0,1
205,0.0042920634839807,0.0024703858486036,0,0,1
206,0.0038755296446568,0.0006011416607593,0,0,1
207,0.0036483363857115,0.0009439893310919,0,0,1
208,0.0034250588703664,0.0031959729913774,0,0,1
209,0.0031998242584912,0.0013934797095763,0,0,1
210,0.0029660083969059,0.0032893591408726,0,0,1
211,0.0027196930472623,0.0043374198127229,0,0,1
212,0.0024608462141167,0.0072707893598879,0,0,1
213,0.0021605434076775,0.0087397310876322,0,0,0
214,0.0015269250687865,0.0087814216194297,0,0,0
215,0.0003604282032885,0.0020656354892233,0,0,0
216,0.0035518747460755,0.0011519933288976,0,0,0
217,0.0133620794671768,0.0014602068163276,0,0,0
218,0.0044392276764453,0.0015844367960618,0,0,0
219,0.0035763659296155,0.0035322907722936,0,0,0
220,0.0092189529227207,0.0088460716060898,0,0,0
221,0.0034057041161339,0.0026840562170458,0,0,0
222,0.0051169826164473,0.0028687840901775,0,0,0
223,0.0039811784308754,0.0035234025602143,0,0,0
224,0.0036119104140669,0.0033801243098026,0,0,0
225,0.0019159552299983,0.0021286485653882,0,0,0
226,0.0023336645168079,0.0009076173513321,0,0,0
227,0.001100366969067,0.0001488968324536,0,0,0
228,0.0021746908414395,0.0002124308782526,0,0,0
229,0.0030553614375045,0.0012415235068195,0,0,0
230,0.0071550248263751,0.0030962446087961,0,0,0
231,0.0068311644801824,0.0088563910761363,0,0,0
232,0.0063363186842692,0.012559315135077,0,0,0
233,0.001704591524103,0.0036022517261943,0,0,0
234,0.0031991235299565,0.003466026660169,0,0,0
235,0.0057429633034792,0.0030769103195685,0,0,0
236,0.0060393691941241,0.0031543485353856,0,0,0
237,0.0061851004204382,0.0032141073310094,0,0,0
238,0.0085449352362148,0.0028125922111739,0,0,0
239,0.002711274480422,0.0009600682367053,0,0,0
240,0.0037454272274509,0.0021536404691238,0,0,0
241,0.0036568671492417,0.0027804587932311,0,0,0
242,0.0040314146008558,0.0033099326934288,0,0,0
243,0.0028287024274597,0.0024483445885719,0,0,0
244,0.0043557170146207,0.0029885467169554,0,0,0
245,0.0021547327845205,0.0007941583925188,0,0,0
246,0.0047967534291925,0.001348015287698,0,0,0
247,0.0038984972991395,0.0010794807695258,0,0,0
248,0.0040943952412333,0.0011127654009573,0,0,0
249,0.0035309197393839,0.0007292792418743,0,0,0
250,0.0039072400823413,0.001109136502789,0,0,0
251,0.0013506077181373,0.0002540871565088,0,0,0
252,0.002100918910157,0.000326460311668,0,0,0
253,0.001153607948958,0.0007683722266383,0,0,0
254,0.0009910285253219,0.0005641220029606,0,0,0
255,0.0019687733774672,0.0003715991109703,0,0,0
256,0.0030401895378271,0.0007050864639871,0,0,0
257,0.0003445774899412,0.0002298628132126,0,0,0
258,0.0026484116386411,0.000480415518615,0,0,0
259,0.0038421724791234,0.0006515308493703,0,0,0
260,0.0023549539844604,0.0005237681988804,0,0,0
261,0.002074407572904,0.0007961827502248,0,0,0
262,0.0022284216116195,0.0012363576498541,0,0,0
263,0.000555615472464,0.000325870958236,0,0,0
264,0.0016303530821311,0.000263487008813,0,0,0
265,0.0009768882570093,0.0002259343201631,0,0,0
266,0.0005026976174275,0.0003083420565791,0,0,0
267,0.0009056269456704,4.874760742439157e-05,0,0,0
268,0.0024360654249215,0.0003893809318603,0,0,0
269,0.0008191638501574,0.0002466629781013,0,0,0
270,0.0011902531152726,0.0006114929371999,0,0,0
271,0.0018723276704746,0.0017104218505279,0,0,0
272,0.0023180269292733,0.0012744005740766,0,0,0
273,0.0021397368980904,0.0013755906953071,0,0,0
274,0.001826097237523,0.0010026252811869,0,0,0
275,0.0005353372501753,0.0004119330727536,0,0,0
276,0.0006307061881574,0.0008767754367814,0,0,0
277,5.6993848334392034e-05,0.0007303956397434,0,0,0
278,0.0008743895715893,0.0004324186453738,0,0,0
279,0.001455927816628,0.0004448342940452,0,0,0
280,0.0030142507219536,0.0020453267650383,0,0,0
281,0.0015624131298948,0.0008429349376771,0,0,0
282,0.0045804169978547,0.0014870366681993,0,0,0
283,0.0071331973612797,0.0015646176132792,0,0,0
284,0.0085099093845749,0.0013205312721695,0,0,0
285,0.0113274844642445,0.0012660072868162,0,0,0
286,0.0130542331727597,0.0021208012852849,0,0,0
287,0.0038377097736584,0.0009162734286837,0,0,0
288,0.0056112935009361,0.0021349017526274,0,0,0
289,0.0066231187295238,0.0026385757615048,0,0,0
290,0.0068237918750982,0.0033263229847109,0,0,0
291,0.0078125381926292,0.0047151350268375,0,0,0
292,0.0072610327739827,0.0060062209751657,0,0,0
293,0.0039131011115134,0.0035304978261273,0,0,0
294,0.0116878676382562,0.0111962913690904,0,0,0
295,0.0109310703374306,0.0125677276693605,0,0,0
296,0.0051964287991862,0.0058882914174114,0,0,0
297,0.0046779309617353,0.0055258433935096,0,0,0
298,0.0043664472881015,0.0046042140026864,0,0,0
299,0.0017808751898099,0.0014509904754003,0,0,0
300,0.0064151412503652,0.0031533244845831,0,0,0
301,0.0108136219699565,0.0037980753368714,0,0,0
302,0.0095747479180319,0.003669266977625,0,0,0
303,0.0089114751027026,0.0061850780751771,0,0,0
304,0.007953592426418,0.0085798707823302,0,0,0
305,0.0064549346457316,0.0061615746385691,0,0,0
306,0.0203039251536371,0.0187778824689659,0,0,0
307,0.0088623637728064,0.0120080006123153,0,0,0
308,0.0049369573384825,0.0066201560993929,0,0,0
309,0.0051493004333528,0.0049865505798204,0,0,0
310,0.0039167546542223,0.0039933332728822,0,0,0
311,0.0020293084213486,0.0015651955554796,0,0,0
312,0.0064727393728819,0.004281793018144,0,0,0
313,0.0084950921964681,0.0072964145408865,0,0,0
314,0.0092357436516469,0.0096042304733436,0,0,0
315,0.011566466065698,0.0119373640772912,0,0,0
