Frame,nose_dist,body_dist,freezing,Novel,Known
1,0.0,0.0,0,0,0
2,0.0,0.0,0,0,0
3,0.0,0.0,0,0,0
4,0.0,0.0,0,0,0
5,0.0,0.0,0,0,0
6,0.0,0.0,0,0,0
7,0.0,0.0,0,0,0
8,0.0,0.0,0,0,0
9,0.0,0.0,0,0,0
10,0.0,0.0,0,0,0
11,0.0,0.0,0,0,0
12,0.0,0.0,0,0,0
13,0.0,0.0,0,0,0
14,0.0,0.0,0,0,0
15,0.0,0.0,0,0,0
16,0.0,0.0,0,0,0
17,0.0,0.0,0,0,0
18,0.0,0.0,0,0,0
19,0.0,0.0,0,0,0
20,0.0,0.0,0,0,0
21,0.0,0.0,0,0,0
22,0.0,0.0,0,0,0
23,0.0,0.0,0,0,0
24,0.0,0.0,0,0,0
25,0.0,0.0,0,0,0
26,0.0,0.0,0,0,0
27,0.0,0.0,0,0,0
28,0.0,0.0,0,0,0
29,0.0,0.0,0,0,0
30,0.0,0.0,0,0,0
31,0.0,0.0,0,0,0
32,0.0,0.0,0,0,0
33,0.0,0.0,0,0,0
34,0.0,0.0,0,0,0
35,0.0,0.0,0,0,0
36,0.0,0.0,0,0,0
37,0.0,0.0,0,0,0
38,0.0,0.0,0,0,0
39,0.0,0.0,0,0,0
40,0.0,0.0,0,0,0
41,0.0,0.0,0,0,0
42,0.0,0.0,0,0,0
43,0.0,0.0,0,0,0
44,0.0,0.0,0,0,0
45,0.0,0.0,0,0,0
46,0.0,0.0,0,0,0
47,0.0,0.0,0,0,0
48,0.0,0.0,0,0,0
49,0.0,0.0,0,0,0
50,0.0,0.0,0,0,0
51,0.0,0.0,0,0,0
52,0.0,0.0,0,0,0
53,0.0,0.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,0.0,0.0,0,0,0
57,0.0,0.0,0,0,0
58,0.0,0.0,0,0,0
59,0.0,0.0,0,0,0
60,0.0,0.0,0,0,0
61,0.0,0.0,0,0,0
62,6.026125518397281e-06,0.0001049151006271,0,0,0
63,0.0008323893528345,0.0002458865165774,0,0,0
64,0.0033239671947347,0.0010074226168023,0,0,0
65,0.0013485062716702,0.0008828882770585,0,0,0
66,0.0027272123017161,0.0023332683930025,0,0,0
67,0.0029629647453375,0.0027585103117345,0,0,0
68,0.0038033644772748,0.0036020896900842,0,0,0
69,0.0141557047520551,0.0143210901081473,0,0,0
70,0.0106504362392902,0.010110428953911,0,0,0
71,0.0101200106190073,0.0100727509531095,0,0,0
72,0.0099893814663613,0.0094205629788957,0,0,0
73,0.0079111218656268,0.0079555263542135,0,0,0
74,0.0027723269827434,0.0030302522996595,0,0,0
75,0.0059788810445246,0.0070289506300753,0,0,0
76,0.006913275464439,0.0082195665895503,0,0,0
77,0.007456763996266,0.0083694814044435,0,0,0
78,0.0076847050045264,0.0075521570766394,0,0,0
79,0.0064388679370693,0.0050202187435612,0,0,0
80,0.0022410201842778,0.0016937351889893,0,0,0
81,0.0055066612628858,0.0046433515968924,0,0,0
82,0.009172522718995,0.0087742991380176,0,0,0
83,0.0093018404081946,0.0082186889554389,0,0,0
84,0.011752688709045,0.0081751517010163,0,0,0
85,0.0076567945288873,0.0084486920696198,0,0,0
86,0.0031072089497932,0.008709414834437,0,0,0
87,0.008967880447715,0.0090047011453448,0,0,0
88,0.0109790670310689,0.0094014147300462,0,0,0
89,0.010773677812216,0.0115855336554657,0,0,0
90,0.0143718184622907,0.0161969076791804,0,0,0
91,0.0072148982150136,0.0089465990258568,0,0,0
92,0.002283133715732,0.0024001424719757,0,0,0
93,0.0056991093239505,0.0053119858004225,0,0,0
94,0.0045157006562754,0.0073663080658546,0,0,0
95,0.0040072794687702,0.0053816288965791,0,0,0
96,0.0051394552307782,0.0049247197311836,0,0,0
97,0.0019947135309278,0.0020554503898623,0,0,0
98,0.0006633795239504,0.0004222159411148,0,0,0
99,0.0018465832416325,0.0006926872514562,0,0,0
100,0.0023218204684889,0.0009180922472407,0,0,0
101,0.004689463452572,0.0017720125077938,0,0,0
102,0.0047165939102838,0.0018787768869515,0,0,0
103,0.0038539452887382,0.0013948384268227,0,0,0
104,0.0023128151947579,0.000896115465714,0,0,0
105,0.007142524993995,0.0033943716752504,0,0,0
106,0.0070095321076002,0.0047626740847707,0,0,0
107,0.0052010112358489,0.0047941932314261,0,0,0
108,0.0069059475673586,0.0038371851034226,0,0,0
109,0.0042151287661457,0.0016525145687983,0,0,0
110,0.0009740850024132,0.0007486844384821,0,0,0
111,0.0025775932914856,0.0030505302955734,0,0,0
112,0.0059924215242774,0.0049261626520952,0,0,0
113,0.0031942651739164,0.0030024903073722,0,0,0
114,0.001050491633609,0.0023213005095291,0,0,0
115,0.001371811089045,0.0013580004555502,0,0,0
116,0.0006456630144578,0.0005482031420424,0,0,0
117,0.0015967709058919,0.0015069780625393,0,0,0
118,0.0007879746308219,0.0017051668061948,0,0,0
119,0.0016455249789721,0.0019881075782736,0,0,0
120,0.0055812305303256,0.0044397144972272,0,0,0
121,0.0052860208515217,0.0049423802252695,0,0,0
122,0.0021897776880798,0.0017147938737676,0,0,0
123,0.00557876030705,0.0038425200276208,0,0,0
124,0.0061399940678398,0.0059764178321236,0,0,0
125,0.0074855661414171,0.0066861365212781,0,0,0
126,0.0093702302659649,0.0104685794581283,0,0,0
127,0.004606796186571,0.0056154303789846,0,0,0
128,0.0017972227039324,0.0015249711553468,0,0,0
129,0.0054330691162783,0.0035676599726119,0,0,0
130,0.0064474199669227,0.0058133949384544,0,0,0
131,0.0077511430096622,0.0083393342428445,0,0,0
132,0.0089419732792908,0.0144020517149227,0,0,0
133,0.0029686951394236,0.0066112965635883,0,0,0
134,0.0004628454606841,0.0028441032300217,0,0,0
135,0.0019557645940445,0.0021400138799757,0,0,0
136,0.0020553107663679,0.0019310623671459,0,0,0
137,0.002741172750935,0.0020805079022344,0,0,0
138,0.0069844682881187,0.0021952314179916,0,0,0
139,0.0045347134151137,0.0012180362748505,0,0,0
140,0.0015811740088953,0.0010978069790936,0,0,0
141,0.0023593854132168,0.0045421417517097,0,0,0
142,0.0037058343945943,0.0035907935045318,0,0,0
143,0.005570312375737,0.0012969320733124,0,0,0
144,0.0055216203577122,0.0010079958334464,0,0,0
145,0.0034768682772243,0.0002268666855496,0,0,0
146,0.0009901371257408,0.0001873479190505,0,0,0
147,0.0014531384632742,0.0008804626410517,0,0,0
148,0.0003249484507184,0.0009017799418088,0,0,0
149,0.0002508755723677,0.0008513468124286,0,0,0
150,0.0005120128469143,0.0010900738299153,0,0,0
151,0.0002223864786478,0.0002997258022235,0,0,0
152,2.9829108375656297e-05,5.746338546237911e-05,0,0,0
153,6.889420267349617e-05,0.0001588176617694,0,0,0
154,0.0002244497872284,0.0001843774046212,0,0,0
155,8.908670943768235e-05,8.103903637666993e-05,0,0,0
156,5.9856485491016655e-05,0.0001730983009997,0,0,0
157,0.0001177076828673,0.0001146858941842,0,0,0
158,4.109561598701219e-05,0.0002716720731785,0,0,0
159,1.2299079229261215e-05,0.0001117907908413,0,0,0
160,4.267587510290391e-05,3.176741658526353e-05,0,0,0
161,0.0001664955022982,1.1438656299254874e-05,0,0,0
162,9.787842990419356e-05,1.7374226460660496e-05,0,0,0
163,2.7459204407654125e-05,5.026876798238183e-05,0,0,0
164,7.657604432542174e-05,2.2633299309434627e-05,0,0,0
165,0.0005595216920346,0.0001083756227532,0,0,0
166,0.0029140922415871,0.0007332995980538,0,0,0
167,0.0058381486013359,0.0018876293237393,0,0,0
168,0.0056018595636475,0.0023450510141992,0,0,0
169,0.0029717124272354,0.0009129611571808,0,0,0
170,0.0005342483880036,0.000294670926319,0,0,0
171,0.0017965138784999,0.000974230585498,0,0,0
172,0.0044876783699144,0.000755931612586,0,0,0
173,0.0037670986457899,0.0001595865766736,0,0,0
174,0.0086914234351929,0.0012808673064439,0,0,0
175,0.0047069655867748,0.0007951992888714,0,0,0
176,0.0006940574934466,0.0001675813854371,0,0,0
177,0.0006971490764124,7.392326947776611e-05,0,0,0
178,0.001716153967077,0.0004153449473629,0,0,0
179,0.0015982717457332,0.0011109339076462,0,0,0
180,0.0009166182702003,0.002181107909907,0,0,0
181,0.0020721031369714,0.0015484206487122,0,0,0
182,0.0007671692180399,0.0005402618049741,0,0,0
183,0.0014901935895951,0.0011180075297884,0,0,0
184,0.002218579214737,0.0007342795985922,0,0,0
185,0.0039874050641967,0.0010444654891654,0,0,0
186,0.0053426623884686,0.0018600855759852,0,0,0
187,0.0033521970630774,0.0006799139424489,0,0,0
188,0.0008151708537619,0.0001367887395875,0,0,0
189,0.0014107321829489,0.0005277577131463,0,0,0
190,0.002599470872443,0.0020807932915269,0,0,0
191,0.0042165250039734,0.0034579331828018,0,0,0
192,0.0044348808041313,0.0059620873258946,0,0,0
193,0.002590126422411,0.0022115742321352,0,0,0
194,0.0007985321463243,0.000280103467431,0,0,0
195,0.0033769349846361,0.0003713049538083,0,0,0
196,0.0061225839146936,0.0003306586956539,0,0,0
197,0.0055626105788635,0.0006605329912039,0,0,0
198,0.0051964879486503,0.0008285838214578,0,0,0
199,0.0030008926536345,0.0001735282368922,0,0,0
200,0.0007797160831956,0.000115656295694,0,0,0
201,0.0013321299628102,0.0004987017722983,0,0,0
202,0.0020034154345828,0.0005981156281866,0,0,0
203,0.0018329034740541,0.0012240978124487,0,0,0
204,0.0026534889668438,0.0024995635153454,0,0,0
205,0.0030769088923611,0.0017398368166968,0,0,0
206,0.000923776612488,0.0006854575380169,0,0,0
207,0.001811488260854,0.0016884108350861,0,0,0
208,0.0030119994456364,0.0014405170405885,0,0,0
209,0.0007574897072795,0.0005713826659116,0,0,0
210,0.0011010759340793,0.0005121682494496,0,0,0
211,0.0008909112874072,0.0004715887646654,0,0,0
212,0.0002626651446525,7.912694916771841e-05,0,0,0
213,0.0006471735784103,0.000136857695236,0,0,0
214,0.0008909758524426,0.0003672940910153,0,0,0
215,0.0006258320481255,5.997881929575871e-05,0,0,0
216,0.0003000548032814,0.000331172721473,0,0,0
217,9.960603625548656e-05,0.0001318985914253,0,0,0
218,1.598783830329612e-05,4.589630896665183e-05,0,0,0
219,2.889501899622164e-05,0.0001146426277548,0,0,0
220,5.7398437384177374e-05,3.49305423308788e-05,0,0,0
221,1.389021570986669e-05,8.886531680111745e-07,0,0,0
222,3.4542125677656374e-05,1.8427489734344605e-05,0,0,0
223,0.0001021026901861,7.060782705947278e-05,0,0,0
224,6.698299138283575e-07,1.9422980252580385e-05,0,0,0
225,0.0001239366080853,0.000122655684178,0,0,0
226,0.000134011461163,3.761123533894205e-05,0,0,0
227,3.5899150042523764e-05,7.985399387275952e-05,0,0,0
228,0.0002985622921695,2.8758821288129716e-05,0,0,0
229,0.0003570406827833,9.09619817199646e-05,0,0,0
230,7.556832419336606e-05,1.9992801180002865e-05,1,0,0
231,8.27966469954677e-05,1.8213762029715807e-05,1,0,0
232,7.841455920162169e-05,3.4677569402002125e-05,1,0,0
233,9.23593349248717e-05,2.26883390412247e-05,1,0,0
234,0.0001482850313813,4.538619892945066e-05,1,0,0
235,8.477927689816149e-05,2.742456485233527e-05,1,0,0
236,4.0462330830585074e-05,1.3305127649726203e-06,1,0,0
237,0.0001677251588291,1.6657568324911675e-05,1,0,0
238,4.7119919239560455e-05,8.614793518524243e-06,1,0,0
239,7.043117029965462e-05,1.3596589082316526e-05,0,0,0
240,5.812993748367527e-05,2.8460975428076075e-05,0,0,0
241,0.0001241846470463,9.658488101100363e-05,0,0,0
242,3.325141665128435e-05,2.430472512381155e-05,0,0,0
243,8.414653473413791e-06,1.1135384923884162e-05,0,0,0
244,2.9618046059748507e-05,3.5945897587575286e-05,0,0,0
245,3.553408479884162e-05,1.3059376427159634e-05,0,0,0
246,4.28228235060722e-05,3.09685847773368e-06,0,0,0
247,1.3670126856772792e-05,1.760746970347595e-06,0,0,0
248,4.35791743383964e-05,1.338341154898108e-05,0,0,0
249,0.0001533143973554,4.740818138917658e-05,0,0,0
250,7.974618392554662e-06,9.49559377660329e-05,0,0,0
251,0.0003043467601925,0.0003438916745279,0,0,0
252,0.0010802753070835,0.000126018311085,0,0,0
253,0.0014142371398542,0.0006408485114836,0,0,0
254,0.0006361917531799,0.00015979699183,0,0,0
255,0.0016061427853089,0.0001356995175961,0,0,0
256,0.0011362289040809,0.0007032431464559,0,0,0
257,0.0028645870213616,0.0010556470144605,0,0,0
258,0.004403710909432,0.0015534949166274,0,0,0
259,0.0023096672107263,0.0007055295950247,0,0,0
260,0.0007011940538996,0.0002148824221151,0,0,0
261,0.0015896255376156,0.0005872172303461,0,0,0
262,0.0019614980519018,0.0008205609434114,0,0,0
263,0.0015644582985218,0.0006677604576021,0,0,0
264,0.0007392696936635,0.000802967197848,0,0,0
265,0.0041773744623735,0.0006286666812493,0,0,0
266,0.0016913472670183,0.0001569311698851,0,0,0
267,0.0040637479732461,0.0002697477461031,0,0,0
268,0.0062291833121166,0.0001586199237018,0,0,0
269,0.0050302166269097,0.0006533758749199,0,0,0
270,0.0043047179699675,0.0017112838206155,0,0,0
271,0.0032345923847881,0.0015560321716766,0,0,0
272,0.0009886914478914,0.0005010070584688,0,0,0
273,0.0016450904443748,0.0008484484815183,0,0,0
274,0.0013714595373123,0.0005789514910247,0,0,0
275,0.0012973643856959,0.0010304434520568,0,0,0
276,0.0014609719509197,0.0013614464566813,0,0,0
277,0.0009303683684444,0.0006608666864273,0,0,0
278,0.0006340279903122,0.0003815068054013,0,0,0
279,0.0036038865575078,0.0017687699702983,0,0,0
280,0.0029111802625647,0.0022061086213139,0,0,0
281,0.0036048701125608,0.0017729273597386,0,0,0
282,0.0079755396816364,0.0013648602652096,0,0,0
283,0.0123065796343221,0.0013797114233896,0,0,0
284,0.0033774883111417,0.0003021581558041,0,0,0
285,0.0023901204683953,4.4792095453133246e-05,0,0,0
286,0.0008157515873053,0.0003883817333019,0,0,0
287,0.0026692630964382,0.0010742693871882,0,0,0
288,0.0024690978434658,0.00162627243887,0,0,0
289,0.0020228748982315,0.0014830518041543,0,0,0
290,0.0009443169956893,0.0005725187784424,0,0,0
291,0.0029992739060028,0.0015043626991014,0,0,0
292,0.0043724233302047,0.0024628906763488,0,0,0
293,0.006180357969091,0.0036633304734248,0,0,0
294,0.0063885030065538,0.0050664305875178,0,0,0
295,0.0054558942914991,0.0047095993786466,0,0,0
296,0.0028385506557617,0.0022223180765525,0,0,0
297,0.0085090431892575,0.0070554244248482,0,0,0
298,0.0090001639383275,0.0099336066730926,0,0,0
299,0.0064771862067937,0.0073789104338392,0,0,0
300,0.0059138971586149,0.0076283740813466,0,0,0
301,0.0051985940384385,0.0058598817738442,0,0,0
302,0.0025705563607407,0.0047393719594119,0,0,0
303,0.0073510878174578,0.0056498876486022,0,0,0
304,0.0079290728499823,0.0077616645898027,0,0,0
305,0.0067906771248703,0.0071165827803874,0,0,0
306,0.0060268194974739,0.0064588106593081,0,0,0
307,0.0073764419792142,0.0077140819310359,0,0,0
308,0.0027283951035028,0.0027614923533972,0,0,0
