Frame,nose_dist,body_dist,freezing,Novel,Known
1,0.0,0.0,0,0,0
2,0.0,0.0,0,0,0
3,0.0,0.0,0,0,0
4,0.0,0.0,0,0,0
5,0.0,0.0,0,0,0
6,0.0,0.0,0,0,0
7,0.0,0.0,0,0,0
8,0.0,0.0,0,0,0
9,0.0,0.0,0,0,0
10,0.0,0.0,0,0,0
11,0.0,0.0,0,0,0
12,0.0,0.0,0,0,0
13,0.0,0.0,0,0,0
14,0.0,0.0,0,0,0
15,0.0,0.0,0,0,0
16,0.0,0.0,0,0,0
17,0.0,0.0,0,0,0
18,0.0,0.0,0,0,0
19,0.0,0.0,0,0,0
20,0.0,0.0,0,0,0
21,0.0,0.0,0,0,0
22,0.0,0.0,0,0,0
23,0.0,0.0,0,0,0
24,0.0,0.0,0,0,0
25,0.0,0.0,0,0,0
26,0.0,0.0,0,0,0
27,0.0,0.0,0,0,0
28,0.0,0.0,0,0,0
29,0.0,0.0,0,0,0
30,0.0,0.0,0,0,0
31,0.0,0.0,0,0,0
32,0.0,0.0,0,0,0
33,0.0,0.0,0,0,0
34,0.0,0.0,0,0,0
35,0.0,0.0,0,0,0
36,0.0,0.0,0,0,0
37,0.0,0.0,0,0,0
38,0.0,0.0,0,0,0
39,0.0,0.0,0,0,0
40,0.0,0.0,0,0,0
41,0.0,0.0,0,0,0
42,0.0,0.0,0,0,0
43,0.0,0.0,0,0,0
44,0.0,0.0,0,0,0
45,0.0,0.0,0,0,0
46,0.0,0.0,0,0,0
47,0.0,0.0,0,0,0
48,0.0,0.0,0,0,0
49,0.0,0.0,0,0,0
50,0.0,0.0,0,0,0
51,0.0,0.0,0,0,0
52,0.0,0.0,0,0,0
53,0.0,0.0,0,0,0
54,0.0,0.0,0,0,0
55,0.0,0.0,0,0,0
56,0.0,0.0,0,0,0
57,0.0,0.0,0,0,0
58,0.0,0.0,0,0,0
59,0.0,0.0,0,0,0
60,0.0,0.0,0,0,0
61,0.0,0.0,0,0,0
62,0.0174629628282884,0.0061192313762361,0,0,0
63,0.0187463478996003,0.0077587916486561,0,0,0
64,0.0190805631037116,0.0089136422235232,0,0,0
65,0.0184660039160312,0.009583933102147,0,0,0
66,0.0169036614802144,0.0097699377456618,0,0,0
67,0.0143958848046981,0.0094721543273978,0,0,0
68,0.0110897997818664,0.0086914737143573,0,0,0
69,0.0074969781903481,0.0074299694353992,0,0,0
70,0.0044152653660136,0.0057695248629226,0,0,0
71,0.0043078960861348,0.0037188608002057,0,0,0
72,0.0029919621894121,0.0011789652159145,0,0,0
73,0.0011099809498392,0.0007848458540594,0,0,0
74,0.0010843082169107,0.0008472163056119,0,0,0
75,0.0032705164033939,0.0019891916470017,0,0,0
76,0.0024896897667205,0.0016514479657825,0,0,0
77,0.0019554252616268,0.0010216912824238,0,0,0
78,0.0044382583552258,0.0006592174609309,0,0,0
79,0.0082927020740499,0.0003645173049546,0,0,0
80,0.0087327525313613,0.0002222873492145,0,0,0
81,0.0072023776732627,0.0004549702163427,0,0,0
82,0.0052495233561846,0.00104527365405,0,0,0
83,0.0039176778411311,0.0013974952652823,0,0,0
84,0.0039215424944856,0.001808987113381,0,0,0
85,0.0031357825912334,0.0023103796956724,0,0,0
86,0.0037511281780106,0.003069529667386,0,0,0
87,0.0037356258589967,0.0036106904843466,0,0,0
88,0.0043398161131475,0.0027848036797952,0,0,0
89,0.0046806311091035,0.0036385822999687,0,0,0
90,0.0044627209255246,0.0035833905868845,0,0,0
91,0.0034925237208052,0.0053665321459887,0,0,0
92,0.0005728882251353,0.0042211108156033,0,0,0
93,0.001086578000439,0.0012862145208433,0,0,0
94,0.0013781644149837,0.0009579384317981,0,0,0
95,0.0016074283081806,0.0017769949571769,0,0,0
96,0.0027445248395711,0.0018344854400966,0,0,0
97,0.0031579118054024,0.0024725364791718,0,0,0
98,0.0029326208405733,0.0025583250950385,0,0,0
99,0.0014588432071132,0.0023114926836949,0,0,0
100,0.0021765486916952,0.0015578475246511,0,0,0
101,0.0033576762981718,0.0010254754521053,0,0,0
102,0.0013128590161293,0.0011112637734246,0,0,0
103,0.0022801495367878,0.0008664116322287,0,0,0
104,0.0006064120318979,0.0001789768668491,0,0,0
105,0.0001545703432808,0.0001191653899248,0,0,0
106,0.0003918656962021,0.0001928603597953,0,0,0
107,0.0011399984676022,0.000116198199639,0,0,0
108,0.0019538399863224,0.0004134552834851,0,0,0
109,0.0010156652176066,0.0002388994004631,0,0,0
110,0.001209317919138,0.0001674783215524,0,0,0
111,0.0007204494885476,0.0001238121626573,0,0,0
112,0.0001140858553704,0.0003309136061662,0,0,0
113,0.0009144536597118,0.0003456731482762,0,0,0
114,0.0002763542840356,0.0004822386850987,0,0,0
115,0.0018817625687907,0.0003753452162451,0,0,0
116,0.0008398445494467,0.0005356138973455,0,0,0
117,0.001244831133735,0.0004472997771571,0,0,0
118,0.0009001566141122,0.0004571309723086,0,0,0
119,0.0005693827511272,0.000491633200063,0,0,0
120,0.0006364941967783,0.0004066483879206,0,0,0
121,0.0009275008427353,0.0008125893227196,0,0,0
122,0.0006541589552832,0.0002531099415414,0,0,0
123,0.000811765521131,0.0004564103870944,0,0,0
124,0.0009501616675103,0.0004288655039914,0,0,0
125,0.0004506926746606,0.0004363944605747,0,0,0
126,0.0007693023888717,0.0003396964678925,0,0,0
127,0.0010774393898268,0.0001085976487064,0,0,0
128,0.0014521811533734,0.0008021803566578,0,0,0
129,0.000889130983758,0.0006565751510836,0,0,0
130,0.000701990819353,0.0002784972906029,0,0,0
131,0.0004759810405465,0.000297059285613,0,0,0
132,8.20529476119929e-05,6.366797717154209e-05,0,0,0
133,0.0010109015643543,0.0001871448478012,0,0,0
134,0.001917906030556,0.0002611979295645,0,0,0
135,0.0011764284919542,7.418762205447014e-05,0,0,0
136,0.0002835323588891,0.0003656111704312,0,0,0
137,6.89699223900132e-05,5.83932617223094e-05,0,0,0
138,0.0002670971366387,0.0003387226780148,0,0,0
139,0.001227347650735,5.83073150804173e-05,0,0,0
140,0.0014140513999781,0.0003567729481322,0,0,0
141,0.0012380496488701,0.000869901611177,0,0,0
142,0.0013830012014384,0.00051724967459,0,0,0
143,0.003543521312803,0.0005970542551609,0,0,0
144,0.0055692334723,0.0012380574931024,0,0,0
145,0.0062095562567034,0.001560489144953,0,0,0
146,0.0045818885277923,0.0019634674598265,0,0,0
147,0.0029965482062253,0.0015393203459827,0,0,0
148,0.0029244369772732,0.0013646552286402,0,0,0
149,0.0017963899327546,0.0011930941849969,0,0,0
150,0.0019723804574407,0.0012420905188741,0,0,0
151,0.0025168411364551,0.0012811196670358,0,0,0
152,0.0024972646758679,0.0013544471823242,0,0,0
153,0.0029475873418555,0.0005711661749023,0,0,0
154,0.0025104018002225,0.0012572749100686,0,0,0
155,0.0020513094003082,0.001376848180003,0,0,0
156,0.000996965450482,0.0009278874582774,0,0,0
157,0.0006784901817404,0.0007410293041828,0,0,0
158,0.0011751554513464,0.0004636546357422,0,0,0
159,0.0010929192019932,0.000399782179937,0,0,0
160,0.00095188273198,0.001536882842916,0,0,0
161,0.000955876016042,0.001704601199604,0,1,0
162,0.0004067779866943,0.0012407881194385,0,1,0
163,0.0002462261449067,0.0006512484087483,0,1,0
164,0.0001793118306781,0.0007882708830455,0,1,0
165,4.62354655170081e-05,0.0004389631622717,0,1,0
166,6.66344208346655e-05,0.0001201589072592,0,1,0
167,0.0004136207989349,0.0001092378687346,0,1,0
168,0.0013441694755155,0.0001075249161608,0,1,0
169,0.0016658983890294,8.200254212124929e-05,0,1,0
170,0.0005361859854098,0.0002461015804357,0,1,0
171,0.0002807351966798,0.0001723199778911,0,1,0
172,0.0003393137228695,0.0001143675185139,0,1,0
173,0.0002226903346066,0.0001568968914851,0,1,0
174,0.0003550297033157,7.174476147319926e-05,0,1,0
175,0.000226289972579,0.0001118264121185,0,1,0
176,0.0008427613004055,0.0004140520834228,0,1,0
177,0.0027816756729596,0.0010346069265337,0,1,0
178,0.0044435960875459,0.0009425473019674,0,0,0
179,0.0083707604353225,0.0010125511241485,0,0,0
180,0.0092387618397546,0.000436382376927,0,0,0
181,0.0065253110628233,0.0001120594525914,0,0,0
182,0.0043169701878764,0.0008244259394412,0,0,0
183,0.0042979903294537,0.0014888230354662,0,0,0
184,0.0053281301941271,0.0022890472610926,0,0,0
185,0.0054268096044029,0.0038458658269234,0,0,0
186,0.0060499651580293,0.005405441083209,0,0,0
187,0.0061443247178818,0.006660272720987,0,0,0
188,0.0059952609225719,0.0069846489414193,0,0,0
189,0.0052421488392375,0.0061853243344878,0,0,0
190,0.0048271058940145,0.004503433604948,0,0,0
191,0.0056984178688224,0.0039943444895187,0,0,0
192,0.0058067013465275,0.0073721161154301,0,0,0
193,0.0063431349864265,0.007501012687901,0,0,0
194,0.0067203222643905,0.0070900156781855,0,0,0
195,0.0057575229916412,0.0067323283894486,0,0,0
196,0.0065295970570534,0.0062465683390084,0,0,0
197,0.0066476134469704,0.0056327947977539,0,0,0
198,0.005414217297963,0.0048911322994984,0,0,0
199,0.0030578076954915,0.0039879371339331,0,0,0
200,0.0044090617953554,0.0032700765304718,0,0,0
201,0.007329688883672,0.0037947573127313,0,0,0
202,0.0060050569861844,0.0034683960348434,0,0,0
203,0.0051735633102581,0.0032231922565799,0,0,0
204,0.0038119095758721,0.0032026417706545,0,0,0
205,0.0034928791105337,0.0033129203311575,0,0,0
206,0.0030089132953468,0.0034621427548049,0,0,0
207,0.0038902870027627,0.0034008422195658,0,0,0
208,0.0055944467173262,0.0039342944460816,0,0,0
209,0.0049709276755541,0.0041102608415636,0,0,0
210,0.0046736736368923,0.0039445431851789,0,0,0
211,0.0039432039092789,0.0033880809682633,0,0,0
212,0.0045280526949351,0.002430321947115,0,0,0
213,0.0043998521414179,0.0013826156280411,0,0,0
214,0.0033343261295776,0.0006155063104209,0,0,0
215,0.0033541091923046,0.0006944918578759,0,1,0
216,0.0015580744622592,0.0003685906589235,0,1,0
217,0.0009184428299874,3.637868771966417e-05,0,1,0
218,0.000387424846968,0.0002872422929394,0,1,0
219,0.0003373408306935,0.0003470128883386,0,1,0
220,0.0011303768324303,0.0004046958127281,0,1,0
221,0.0014169219376392,0.0011665313406489,0,1,0
222,0.0015907551411962,0.0009647694892552,0,1,0
223,0.0013275827227926,0.0002353250793031,0,1,0
224,0.0004406833011022,0.0003215980126075,0,1,0
225,0.0002288193945019,0.0001577953269928,0,1,0
226,0.0004154524159077,0.0001026006800829,0,1,0
227,9.836884969283652e-05,0.0002250205798835,0,1,0
228,0.0001143858045941,0.0001914720566685,0,1,0
229,0.000359190111273,0.0001317766589986,0,1,0
230,0.0008495047898366,0.0003281195608104,0,1,0
231,0.0015872133078616,0.0006716139296342,0,1,0
232,0.0007347409241404,0.0004859548579516,0,1,0
233,0.001186895896912,0.0001972040287969,0,1,0
234,0.0005964949985038,2.2321618062423315e-05,0,1,0
235,0.000207785896118,0.0001601568295146,0,1,0
236,0.0003982516330382,0.0002376108321108,0,1,0
237,0.0004029052425063,0.0003357961103426,0,1,0
238,0.0009767711730361,0.0004825588731075,0,1,0
239,0.0006696634402074,0.000718326028272,0,1,0
240,0.000245878255122,6.708940398669782e-05,0,1,0
241,0.0002484314918878,0.0005211703529657,0,1,0
242,0.0004613056657926,0.0004584918717704,0,1,0
243,0.002270223686361,0.0002635836421811,0,1,0
244,0.0096594089916357,0.0001345082696135,0,0,0
245,0.0109010580239655,0.0002579608563237,0,0,0
246,0.007324372054427,0.0014448247414948,0,0,0
247,0.0052608513858961,0.0025264436136123,0,0,0
248,0.0052965538381622,0.0046832071661973,0,0,0
249,0.0050281740472448,0.003609470627946,0,0,0
250,0.0040849287672745,0.0033953921668116,0,0,0
251,0.0046493910922901,0.0028623710803235,0,0,0
252,0.0041428175121109,0.0036666493573773,0,0,0
253,0.0058423346360098,0.0056042224485703,0,0,0
254,0.00700157676494,0.0071332182441217,0,0,0
255,0.0067401162668645,0.0089302777875854,0,0,0
256,0.0078364881599936,0.0094985931762727,0,0,0
257,0.0081250951071154,0.0098787387473552,0,0,0
258,0.0075370421238525,0.0082676994037666,0,0,0
259,0.0073574877595347,0.0072822951933794,0,0,0
260,0.0068007569669076,0.0064105189840868,0,0,0
261,0.0078071101664932,0.0063417370649063,0,0,0
262,0.0084127505933251,0.0081225147657088,0,0,0
263,0.007905320611414,0.0084505104610443,0,0,0
264,0.0082043275406939,0.0071743529674067,0,0,0
265,0.0068161782088931,0.0071247427056109,0,0,0
266,0.0058612554006323,0.005391640618448,0,0,0
267,0.0032461876855035,0.0035312968242397,0,0,0
268,0.0013663322360162,0.0012184430547813,0,0,0
269,0.0011024511795612,0.0002670877159836,0,0,1
270,0.0005511949079865,0.0001510027918941,0,0,1
271,0.0010883582781999,0.0002060674466937,0,0,1
272,0.0028837370670388,0.0005795875422823,0,0,0
273,0.0073603512029934,0.0012434985896456,0,0,0
274,0.0062397843493375,0.0021996279341286,0,0,0
275,0.0052789202964796,0.0038503762141515,0,0,0
276,0.006349748778249,0.0041542807938438,0,0,0
277,0.0064326870725683,0.0058180476627587,0,0,0
278,0.0066974043455991,0.0065663579061609,0,0,0
279,0.0077538025761928,0.0074870173076318,0,0,0
280,0.0075390186770775,0.008026641026526,0,0,0
281,0.0070579513137818,0.0076106167813679,0,0,0
282,0.0064167640174371,0.0068986419428809,0,0,0
283,0.0063509844613074,0.0070843547733437,0,0,0
284,0.0046062734243912,0.0065409538480299,0,0,0
285,0.0016750591554869,0.0044755496392468,0,0,0
286,0.0015941874367972,0.0041964891194115,0,0,0
287,0.0026048448689802,0.0026912467457465,0,0,0
288,0.0030238269394123,0.0013965621952816,0,0,0
289,0.0024729333340371,0.0016971884126246,0,0,0
290,0.0005633230085011,0.0011446270807553,0,0,0
291,0.0021313235016426,0.0014778445216986,0,0,0
292,0.0059406731210404,0.0019279186722962,0,0,0
293,0.0098294138056236,0.0027424493624741,0,0,0
294,0.0073704684981401,0.0037024298490488,0,0,0
295,0.0064739758526598,0.0046296515971923,0,0,0
296,0.0066590204559276,0.0048078636989415,0,0,0
297,0.0057164880123166,0.006168430229142,0,0,0
298,0.0059903265654501,0.0051507275761147,0,0,0
299,0.00488053857068,0.0035955745626336,0,0,0
300,0.0049745363623461,0.004855512863449,0,0,0
301,0.005801624433079,0.0053768528463853,0,0,0
302,0.0062902018021839,0.0054661573775161,0,0,0
303,0.0062008479060807,0.0057383530775685,0,0,0
304,0.0054900986562798,0.0056137804281646,0,0,0
305,0.0058028233633436,0.0060228693071638,0,0,0
306,0.0071848154890264,0.0085820694645312,0,0,0
307,0.0058663661033659,0.0065511863100876,0,0,0
308,0.0051364960313422,0.0043830551818559,0,0,0
309,0.0064837366593177,0.0050792310168481,0,0,0
310,0.0054471318514193,0.0055628844037915,0,0,0
311,0.0073750933338497,0.00617134985002,0,0,0
312,0.007730963650257,0.0064534476584573,0,0,0
313,0.0061920565729148,0.0059005880816767,0,0,0
314,0.0048737697884662,0.0056622941248336,0,0,0
315,0.0037481347419037,0.0055882547671679,0,0,0
