Frame,nose_dist,body_dist,freezing
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
16,0.0,0.0,0
17,0.0,0.0,0
18,0.0,0.0,0
19,0.0,0.0,0
20,0.0,0.0,0
21,0.0,0.0,0
22,0.0,0.0,0
23,0.0,0.0,0
24,0.0,0.0,0
25,0.0,0.0,0
26,0.0,0.0,0
27,0.0,0.0,0
28,0.0,0.0,0
29,0.0,0.0,0
30,0.0,0.0,0
31,0.0,0.0,0
32,0.0,0.0,0
33,0.0,0.0,0
34,0.0,0.0,0
35,0.0,0.0,0
36,0.0,0.0,0
37,0.0,0.0,0
38,0.0,0.0,0
39,0.0,0.0,0
40,0.0,0.0,0
41,0.0,0.0,0
42,0.0,0.0,0
43,0.0,0.0,0
44,0.0,0.0,0
45,0.0,0.0,0
46,0.0,0.0,0
47,0.0,0.0,0
48,0.0,0.0,0
49,0.0,0.0,0
50,0.0,0.0,0
51,0.0,0.0,0
52,3.0663605794046214e-05,5.81341931162427e-05,0
53,9.989530148762209e-05,2.5733977839414477e-05,0
54,6.055229100542759e-05,2.855478231061299e-05,1
55,4.780570303079274e-05,1.4670291724824837e-05,1
56,6.786210007968706e-05,4.217645928000056e-06,1
57,0.00010789366397751776,1.951834522180404e-05,1
58,8.020811409753208e-05,5.4455242641609956e-05,1
59,1.738714833267742e-05,1.233312039676561e-05,1
60,2.8919437758877743e-05,3.155331341118971e-06,1
61,1.0017996079725684e-05,4.548482049698123e-06,1
62,4.7265281363965196e-05,1.8483179043731276e-05,1
63,2.5519955123844955e-05,3.3030374101891017e-06,1
64,1.2765910268033457e-05,1.922530100395025e-05,1
65,1.3311964038190592e-05,1.1613881476251055e-05,1
66,7.057195753575153e-05,7.647913505017666e-06,1
67,5.472228671748077e-05,2.8990815572241122e-05,1
68,3.196046833076394e-05,1.6566837632925254e-05,1
69,7.02625007474224e-05,2.795711502613498e-05,1
70,0.00027756812933537093,6.847061676478372e-05,1
71,5.692868863341095e-05,3.4941122473732114e-05,1
72,5.874476703551806e-05,6.174721268250425e-06,1
73,2.5311874885255624e-05,2.134175489325664e-05,1
74,2.7210719612408475e-05,4.256406212834878e-05,1
75,7.90903859639124e-05,3.010341366199094e-05,1
76,0.00010435358128149891,7.54118302278084e-05,1
77,5.128028518873825e-05,1.6915602665369933e-05,1
78,1.6974720308355016e-05,1.9846508742666927e-05,1
79,1.4243394149604704e-05,3.913220808453051e-05,1
80,2.886099837789919e-05,1.351457688537909e-05,1
81,3.31475012627622e-05,1.1142986629362573e-05,1
82,7.556798438078034e-05,5.396563146183187e-05,1
83,2.8990492248161203e-05,1.6798498767196324e-05,1
84,3.477026408540227e-05,3.16839127758539e-05,1
85,0.00011442808788287706,3.1895824486563493e-05,1
86,8.216418299358519e-05,2.292035307161463e-05,1
87,5.4417655140988535e-05,1.1603337619990645e-05,1
88,3.178267391626318e-05,3.4144429236387065e-05,1
89,7.302681187230837e-05,7.541152082784285e-05,1
90,0.00011583567289099312,6.196618919954302e-05,1
91,2.8983296250323088e-05,4.085086562435005e-05,1
92,2.0844476743264155e-05,2.8454478376727617e-05,1
93,6.460836155314941e-05,1.7197574566433753e-05,1
94,0.00010258201923087636,6.0772506137925266e-05,1
95,4.607898759876204e-05,3.8139275998711416e-05,1
96,2.7763031653993074e-05,5.877299738395383e-05,1
97,2.85950497161016e-05,1.395391432048943e-05,1
98,4.26235923303234e-05,1.644326743338477e-05,1
99,4.2887258167611635e-05,2.1784296057347762e-05,1
100,2.126771232227615e-05,8.878043784233648e-05,1
101,3.6224403868400166e-05,1.1979010879141856e-05,1
102,3.2739820392018994e-05,4.063954139810994e-05,1
103,2.2148303217591276e-05,1.0253380266325888e-05,1
104,9.942864189870777e-05,6.324729203985731e-06,1
105,5.056619441689047e-05,4.473081489543495e-05,1
106,5.8629423351538156e-05,0.00016725908653615563,1
107,3.522305974629264e-05,4.014694034374378e-05,1
108,2.817387808125585e-05,4.848843291222674e-05,1
109,3.8795899863449364e-05,8.73614211761507e-05,1
110,6.247187983828089e-05,3.70157455049945e-05,1
111,1.577866632621404e-05,1.106322974296022e-05,1
112,6.2005427424250365e-06,3.7823011274316227e-06,1
113,2.773890978822291e-05,1.0309112040392555e-05,1
114,4.878202567845454e-05,1.3591799962433902e-05,1
115,8.828655831976474e-05,1.6286703055534563e-05,1
116,2.3395910350839622e-05,2.8625203879899208e-05,1
117,3.71531863105021e-05,6.679266714592481e-05,1
118,8.925017089812625e-05,0.0002580853425982631,1
119,3.523573511483506e-05,6.760030335173868e-05,1
120,4.743045276219731e-05,4.96994005106122e-06,1
121,7.147177553072001e-05,8.464195608947713e-06,1
122,5.733303405887733e-05,7.3970944432255904e-06,1
123,7.705612331903031e-05,2.53932942564501e-05,1
124,3.779970127163048e-05,4.2275519598875134e-05,1
125,5.4991215997114166e-05,2.67830679218188e-05,1
126,2.6718952390419374e-05,1.676233108941863e-05,1
127,1.6192828680892448e-05,7.309544978572675e-06,1
128,4.340515760346643e-05,2.322561390361296e-06,1
129,3.774964876007738e-05,6.0802145768167534e-05,1
130,0.00010692533348386953,0.00021960408357852914,1
131,4.3645925337733785e-05,5.436217516615258e-05,1
132,2.7683327972507916e-05,7.983395728946761e-06,1
133,3.8805925092801566e-06,3.11330116735347e-05,1
134,2.5523062834561538e-05,8.876041415974406e-06,1
135,2.271838924396956e-05,5.2303724181656056e-06,1
136,1.4778737169192384e-05,1.7414759635459085e-05,1
137,5.0495418148255615e-06,7.600016406560953e-06,1
138,2.241982908656973e-05,3.908112475471146e-05,1
139,7.617641602684468e-06,1.069657059043031e-05,1
140,1.1281479337574367e-06,5.145793867865684e-06,1
141,4.865568973717774e-05,3.180751669940244e-05,1
142,0.0001561939272837198,6.280276081141318e-05,1
143,4.2686927579528985e-05,1.5554067616303e-05,1
144,1.187672775129285e-05,3.545207139664059e-06,1
145,1.356458214694735e-05,1.0080279190347588e-05,1
146,2.5401432672492455e-05,5.905360913078872e-06,1
147,4.125713703434193e-05,1.7359620161378733e-06,1
148,1.4600460989890579e-05,7.638825259742237e-06,1
149,1.519524220094496e-05,1.4204419189686548e-06,1
150,1.499826529593239e-05,3.95498371126864e-06,1
151,1.63765629845215e-05,1.406943997425382e-05,1
152,2.6271883117811924e-05,1.5446710398397762e-05,1
153,3.05587527330766e-05,3.412474826286298e-05,1
154,2.7332011743887887e-05,6.125843766611059e-05,1
155,1.882230974562022e-05,2.0975577848465358e-05,1
156,6.498052443675833e-06,4.052210671264105e-06,1
157,4.3592913109870456e-05,7.3535891056236254e-06,0
158,9.608409653428545e-05,3.091029241633161e-05,0
159,5.9201712941952387e-05,5.990592427578584e-05,0
160,4.114468997402275e-05,8.468111780353094e-06,0
161,4.0557336252108654e-05,2.459072626848218e-05,0
162,5.117221108319398e-05,1.753876316641615e-05,0
163,0.00012409389010291458,1.168129644291803e-05,0
164,9.314345851625925e-05,5.400586544643373e-06,0
165,3.416046333254858e-05,3.345152381418488e-05,0
166,0.00021208180435379776,4.20887592992907e-05,0
167,0.0008177131014971842,0.0001348619114727468,0
168,0.0009007361892211017,0.0004762071806038982,0
169,0.0002444573773827377,0.00017479896688439242,0
170,0.00044320138987248835,0.00017951605614041519,0
171,0.0004264602607628659,0.0004567929948862981,0
172,0.0009504312732369425,0.00015390589362272185,0
173,0.0013693923541386,0.00047265962476498763,0
174,0.0032308844064687235,7.559592497359168e-05,0
175,0.002775914800226655,0.0002715072649051137,0
176,0.0016829650932831148,6.967602617412853e-05,0
177,0.0010902970320907856,9.735332448509429e-05,0
178,0.0027489147395157658,0.00017069180916467314,0
179,0.003389639740293093,0.0002077862076801331,0
180,0.0012901461422765506,0.00013154916396351134,0
181,0.0021015205481659006,0.000239271283259335,0
182,0.0032778222453430767,0.000547135695526936,0
183,0.0015914758333698048,0.0003076459844621975,0
184,0.0022372642440691122,0.00043565047329424103,0
185,0.002317648750425004,0.0009735951948391248,0
186,0.0024903077457329335,0.0013253368450566033,0
187,0.0035120198385272883,0.002270596541042188,0
188,0.004495175022540024,0.00326769703291857,0
189,0.005932259328215827,0.003945440273663367,0
190,0.005516628393567988,0.005189015121871129,0
191,0.0053029416270741585,0.006094231185951066,0
192,0.005954987163187837,0.005146584744478565,0
193,0.005007380426061858,0.004383809734627027,0
194,0.0042210454461733314,0.004229805403160299,0
195,0.0036891978696525158,0.004522765510409667,0
196,0.0038542067639560844,0.003971691889445403,0
197,0.003027003298727967,0.00341528203387106,0
198,0.003458881792122934,0.0029661068019210513,0
199,0.004891759527914177,0.003228698258338586,0
200,0.004790419715720655,0.002856106346630942,0
201,0.003449042573104464,0.002533735695432538,0
202,0.0025810664725565147,0.0023518221883170928,0
203,0.0031151787941380298,0.0014521563102239865,0
204,0.0027752716639178844,0.0016374090231182753,0
205,0.003230430643247694,0.001313651077495272,0
206,0.004113891131296805,0.0018116482390384584,0
207,0.0036443506690589807,0.002031086078974088,0
208,0.004023560924273364,0.0024144843743786368,0
209,0.0028125373058721986,0.0019035078292031328,0
210,0.0020031739435427457,0.0021320871534521104,0
211,0.0021437047843251623,0.0014206103552269506,0
212,0.0013104243844779071,0.0008722735577672013,0
213,0.0005572507237157753,0.0009515589843829862,0
214,0.0003079362118162278,0.0005396333543486833,0
215,0.0009923280560125332,0.00019853077006538753,0
216,0.0012349314720135245,0.0001294228728223949,0
217,0.0007745058528608754,0.00011111909286210062,0
218,0.00024545232623413666,4.6240031629858466e-05,0
219,4.189572866976408e-05,3.391581936087217e-05,0
220,2.019565915959175e-05,5.186045228400583e-05,0
221,3.159153627040034e-05,1.4019764918208107e-05,0
222,4.930810925125057e-05,1.6416628017412433e-06,0
223,6.305836570171822e-05,9.321791836991597e-06,0
224,0.00010028113060295713,2.147963117443146e-06,0
225,5.061574317519321e-05,3.846274620456646e-06,0
226,0.00017147352343494272,1.2880868927555677e-05,0
227,0.00013521887087925697,1.3263242295682461e-05,0
228,0.0008634935638566149,5.476296227440063e-05,0
229,0.0012484246677088439,3.394351995389106e-05,0
230,0.0009223154765238651,0.0001872997670824991,0
231,0.0021559357621308553,3.824117761941441e-05,0
232,0.0018326357846550239,0.00011487794795917149,0
233,0.0006046008473286914,1.971893446914725e-05,0
234,0.0008073957991311222,0.0001813064506203693,0
235,0.0013460633897526358,0.0001357924331810282,0
236,0.0010944990549960915,2.4904389369028547e-05,0
237,0.00042663610787478483,3.405635652544546e-05,0
238,0.00023536342947887192,5.0126535911479616e-05,0
239,5.73564181786664e-05,5.320897699818281e-05,0
240,0.0001464435844638557,5.015365663029677e-05,0
241,0.00043928062475685775,4.949859611456056e-05,0
242,0.0007550740026744053,4.865998009888439e-05,0
243,0.0012800039910525946,4.686180695838854e-05,0
244,0.0010722133967835123,9.882286454319163e-05,0
245,0.00020155593649083387,0.00017676885481174157,0
246,0.00014834265977821197,0.00011979785865694705,0
247,0.0002537311231667555,4.463786956704297e-06,0
248,6.508255648315318e-05,7.474818028227031e-05,0
249,3.336427663094048e-05,4.2082947133421586e-05,0
250,6.886373751689769e-05,8.626898188798227e-05,0
251,1.6631363061130337e-05,6.479892476456496e-07,1
252,2.6895387061072124e-05,2.7413052282279957e-06,1
253,1.5981816055761565e-05,2.0272233344994228e-05,1
254,5.203224619911428e-05,6.301531111438186e-05,1
255,9.212395021636162e-06,1.623203757159473e-05,1
256,3.681781429756142e-05,8.503913044065971e-06,1
257,4.183340940725412e-05,1.0946304718695833e-05,1
258,2.6636396795386283e-05,9.657118914388017e-06,1
259,1.6262488856525445e-05,3.895849686585162e-06,1
260,4.136245916374452e-05,9.433562093822047e-06,1
261,1.4242670217785828e-05,7.26477375072065e-06,1
262,2.7662805806546462e-05,3.122542465031494e-05,1
263,4.918724080258313e-05,5.382068522434246e-05,1
264,4.252226492436645e-05,8.768435723957998e-06,1
265,2.7872866647511606e-06,2.8691259071123316e-05,1
266,3.581921393638205e-05,4.0504362340636774e-05,0
267,1.0064860576079786e-05,1.7519578363046172e-05,0
268,2.9196441662483756e-05,1.1931762321869434e-05,0
269,1.3901851984886122e-05,2.3105632181113332e-05,0
270,4.21534630612223e-05,1.4162804896555312e-05,0
271,5.3804344241407266e-05,4.15102359534479e-06,0
272,5.35120561668007e-05,4.013825978895029e-06,0
273,6.23757268590958e-05,3.194394988043925e-05,0
274,7.895095873578104e-05,0.0001029324936007322,0
275,0.00011872101166736162,2.527898632297658e-05,0
276,0.000506302410819227,0.00014618518485126072,0
277,0.0020127432619661783,0.00041666538325458544,0
278,0.0021190784112898515,0.00051423711827871,0
279,0.001390032267090623,0.000624444312397207,0
280,0.00233514385025815,0.0003973236097632654,0
281,0.0022720499463103534,0.0005923745846810021,0
282,0.0008822612332150568,0.0006678234231240387,0
283,0.001370053425813787,7.965897711396738e-05,0
284,0.0014946101306200104,0.00032031732503126674,0
285,0.0007381201356714621,0.0003486592274350404,0
286,0.0005353181050653655,0.0003902182077874385,0
287,0.0013898085403859874,3.6062414370351706e-05,0
288,0.0024136653782319746,0.0002045443859290662,0
289,0.002601663137377302,7.77299601959043e-05,0
290,0.0018442348028464902,0.00023380799915130362,0
291,0.0022854789220126963,0.0004597277398881601,0
292,0.0013971669280271374,0.0004090432586191078,0
293,0.0008051658398411302,0.00014333939799032711,0
294,0.00018595761540190304,0.00010115745617759336,0
295,0.0002048351333735546,0.0002587288436804507,0
296,0.0002908693218801662,0.0002000043655263976,0
297,8.581161041357337e-05,0.00014653979815263828,0
298,0.00014200022393648642,0.00013552820501494403,0
299,0.00013667318210120044,4.648324905838163e-05,0
300,8.224582360188351e-05,2.7474766043644132e-05,0
301,4.839071432184537e-05,7.27583454352007e-05,0
302,6.487125134804437e-05,6.738431528671146e-05,0
303,0.0001440661990253192,4.874681707305105e-05,0
304,0.0001843287388100433,5.765121204587012e-05,0
305,0.00018405972978449662,2.7306454547480146e-05,0
306,4.328851161768041e-05,2.604199479985768e-05,0
307,9.563578065758365e-06,3.0984717481262796e-06,0
308,6.832052705460314e-05,2.4163646606070793e-05,0
309,0.00011283781082720731,2.1828484726314285e-05,0
310,8.996504912587384e-05,5.685664889164967e-05,0
311,4.922838040956129e-05,1.6166665286505886e-05,0
312,0.00010716630164963055,2.2638256662782142e-05,0
