Time,Frame,nose_dist,body_dist,freezing,body,Mice,Object
0.07,1,0.0,0.0,0,center,0,0
0.13,2,0.0,0.0,0,center,0,0
0.2,3,0.0,0.0,0,center,0,0
0.27,4,0.0,0.0,0,center,0,0
0.33,5,0.0,0.0,0,center,0,0
0.4,6,0.0,0.0,0,center,0,0
0.47,7,0.0,0.0,0,center,0,0
0.53,8,0.0,0.0,0,center,0,0
0.6,9,0.0,0.0,0,center,0,0
0.67,10,0.0,0.0,0,blue_corner,0,0
0.73,11,0.0,0.0,0,blue_corner,0,0
0.8,12,0.0,0.0,0,blue_corner,0,0
0.87,13,0.0,0.0,0,blue_corner,0,0
0.93,14,0.0,0.0,0,blue_corner,0,0
1.0,15,0.0,0.0,0,blue_corner,0,0
1.07,16,0.0,0.0,0,blue_corner,0,0
1.13,17,0.0,0.0,0,blue_corner,0,0
1.2,18,0.0,0.0,0,blue_corner,0,0
1.27,19,0.0,0.0,0,blue_corner,0,0
1.33,20,0.0,0.0,0,blue_corner,0,0
1.4,21,0.0,0.0,0,blue_corner,0,0
1.47,22,0.0,0.0,0,blue_corner,0,0
1.53,23,0.0,0.0,0,blue_corner,0,0
1.6,24,0.0,0.0,0,blue_corner,0,0
1.67,25,0.0,0.0,0,blue_corner,0,0
1.73,26,0.0,0.0,0,blue_corner,0,0
1.8,27,0.0,0.0,0,blue_corner,0,0
1.87,28,0.0,0.0,0,blue_corner,0,0
1.93,29,0.0,0.0,0,blue_corner,0,0
2.0,30,0.0,0.0,0,blue_corner,0,0
2.07,31,0.0,0.0,0,blue_corner,0,0
2.13,32,0.017592216941419,0.0175497444467046,0,center,0,0
2.2,33,0.0169523753533638,0.0159974379592783,0,center,0,0
2.27,34,0.0167060434762426,0.0168261290777915,0,center,0,0
2.33,35,0.0190985161544183,0.0187705193285649,0,center,0,0
2.4,36,0.0161942026412111,0.0156241579384284,0,center,0,0
2.47,37,0.0121071906498799,0.0133939224669045,0,center,0,0
2.53,38,0.0146116154770529,0.0154958231790952,0,center,0,0
2.6,39,0.0181359663265154,0.0187623700391532,0,center,0,0
2.67,40,0.0192879529784001,0.0193728369639296,0,center,0,0
2.73,41,0.0183498130717174,0.0194670608484942,0,center,0,0
2.8,42,0.0179695338659857,0.0186158497355078,0,center,0,0
2.87,43,0.0156268082532546,0.0170404876846988,0,center,0,0
2.93,44,0.0061895719799388,0.0094223035011381,0,center,0,0
3.0,45,0.0060919163152661,0.0052537931482157,0,center,0,0
3.07,46,0.0062386801012734,0.0080333940603672,0,center,0,0
3.13,47,0.0145103372174801,0.0112371362217128,0,center,0,0
3.2,48,0.0179704591029236,0.0161847872770617,0,center,0,0
3.27,49,0.0192827359929174,0.0245550763889041,0,red_corner,0,0
3.33,50,0.0204026111376979,0.0203586460290565,0,red_corner,0,0
3.4,51,0.0204000281400093,0.0205568592659458,0,red_corner,0,0
3.47,52,0.020227359702517,0.0197936201102982,0,red_corner,0,0
3.53,53,0.0202848705770416,0.0188035511096718,0,red_corner,0,0
3.6,54,0.015399209615074,0.0160210033041425,0,red_corner,0,0
3.67,55,0.0140550598689393,0.0142173502728074,0,red_corner,0,0
3.73,56,0.0123464611401722,0.0125878348884806,0,red_corner,0,0
3.8,57,0.0119969355519862,0.0119807288072962,0,red_corner,0,0
3.87,58,0.011723461621456,0.0102539385819482,0,red_corner,0,0
3.93,59,0.0115989057584828,0.0096415658918064,0,red_corner,0,0
4.0,60,0.0079734886723127,0.0086952418655365,0,red_corner,0,0
4.07,61,0.0096923926214923,0.0065910740188875,0,red_corner,0,0
