Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
0.07,1,0.0,0.0,0,center,0,0
0.13,2,0.0,0.0,0,center,0,0
0.2,3,0.0,0.0,0,center,0,0
0.27,4,0.0,0.0,0,center,0,0
0.33,5,0.0,0.0,0,center,0,0
0.4,6,0.0,0.0,0,center,0,0
0.47,7,0.0,0.0,0,center,0,0
0.53,8,0.0,0.0,0,center,0,0
0.6,9,0.0,0.0,0,center,0,0
0.67,10,0.0,0.0,0,center,0,0
0.73,11,0.0,0.0,0,center,0,0
0.8,12,0.0,0.0,0,center,0,0
0.87,13,0.0,0.0,0,center,0,0
0.93,14,0.0,0.0,0,red_corner,0,0
1.0,15,0.0,0.0,0,red_corner,0,0
1.07,16,0.0,0.0,0,red_corner,0,0
1.13,17,0.0,0.0,0,red_corner,0,0
1.2,18,0.0,0.0,0,red_corner,0,0
1.27,19,0.0,0.0,0,red_corner,0,0
1.33,20,0.0,0.0,0,red_corner,0,0
1.4,21,0.0,0.0,0,red_corner,0,0
1.47,22,0.0,0.0,0,red_corner,0,0
1.53,23,0.0,0.0,0,red_corner,0,0
1.6,24,0.0,0.0,0,red_corner,0,0
1.67,25,0.0,0.0,0,red_corner,0,0
1.73,26,0.0,0.0,0,red_corner,0,0
1.8,27,0.0,0.0,0,red_corner,0,0
1.87,28,0.0,0.0,0,red_corner,0,0
1.93,29,0.0,0.0,0,red_corner,0,0
2.0,30,0.0,0.0,0,red_corner,0,0
2.07,31,0.0,0.0,0,red_corner,0,0
2.13,32,0.0011679484147477,0.0019086010707796,0,red_corner,0,0
2.2,33,0.0041064740381117,0.0024636940347214,0,red_corner,0,0
2.27,34,0.0041523258931366,0.0024950636509606,0,red_corner,0,0
2.33,35,0.0024692743266878,0.0011332139915476,0,red_corner,0,0
2.4,36,0.0004197830274297,0.0008573505340863,0,red_corner,0,0
2.47,37,0.0014988783240924,0.0015374326584769,0,red_corner,0,0
2.53,38,0.0049360717189063,0.0033578679621987,0,red_corner,0,0
2.6,39,0.0051225588953947,0.0045692853904169,0,red_corner,0,0
2.67,40,0.0048299745356793,0.0044643281222559,0,red_chamber,0,0
2.73,41,0.0051798399215135,0.004781280194616,0,red_chamber,0,0
2.8,42,0.0062418885071588,0.0053458855088988,0,red_chamber,0,0
2.87,43,0.0056073230576858,0.0049876021297033,0,red_chamber,0,0
2.93,44,0.0044354747750656,0.0055591150602324,0,red_chamber,0,0
3.0,45,0.0050325775220707,0.0062386022721996,0,red_chamber,0,0
3.07,46,0.0059134528399382,0.0064215235242386,0,red_chamber,0,0
3.13,47,0.0050810715358792,0.003652083371257,0,red_chamber,0,0
3.2,48,0.0043603202685206,0.0013718924576573,0,red_chamber,0,0
3.27,49,0.0053728175202826,0.0038909067749076,0,red_chamber,0,0
3.33,50,0.0072709427153257,0.0067627257986115,0,red_chamber,0,0
3.4,51,0.0058210907937916,0.0055722816771674,0,red_chamber,0,1
3.47,52,0.0050239576726812,0.0035679739531534,0,red_chamber,0,1
3.53,53,0.0065129628483502,0.004779456591103,0,red_chamber,0,1
3.6,54,0.0052016285416221,0.0041173955757849,0,red_chamber,0,1
3.67,55,0.0040705295829312,0.0023462206714518,0,red_chamber,0,1
3.73,56,0.0020144484608741,0.001712760584546,0,red_chamber,0,1
3.8,57,0.0020734528383326,0.000683353279338,0,red_chamber,0,1
3.87,58,0.0020181183832598,0.0012106127126706,0,red_chamber,0,1
3.93,59,0.0035723033063621,0.003355951668785,0,red_chamber,0,1
4.0,60,0.0044042072161708,0.002926647018016,0,red_chamber,0,1
