Time,Frame,nose_dist,body_dist,freezing,body,Known,Homecage
0.07,1,0.0,0.0,0,center,0,0
0.13,2,0.0,0.0,0,center,0,0
0.2,3,0.0,0.0,0,center,0,0
0.27,4,0.0,0.0,0,center,0,0
0.33,5,0.0,0.0,0,center,0,0
0.4,6,0.0,0.0,0,center,0,0
0.47,7,0.0,0.0,0,center,0,0
0.53,8,0.0,0.0,0,center,0,0
0.6,9,0.0,0.0,0,center,0,0
0.67,10,0.0,0.0,0,center,0,0
0.73,11,0.0,0.0,0,center,0,0
0.8,12,0.0,0.0,0,center,0,0
0.87,13,0.0,0.0,0,center,0,0
0.93,14,0.0,0.0,0,center,0,0
1.0,15,0.0,0.0,0,center,0,0
1.07,16,0.0,0.0,0,center,0,0
1.13,17,0.0,0.0,0,center,0,0
1.2,18,0.0,0.0,0,center,0,0
1.27,19,0.0,0.0,0,center,0,0
1.33,20,0.0,0.0,0,center,0,0
1.4,21,0.0,0.0,0,blue_corner,0,0
1.47,22,0.0,0.0,0,blue_corner,0,0
1.53,23,0.0,0.0,0,blue_corner,0,0
1.6,24,0.0,0.0,0,blue_corner,0,0
1.67,25,0.0,0.0,0,blue_corner,0,0
1.73,26,0.0,0.0,0,blue_corner,0,0
1.8,27,0.0,0.0,0,blue_corner,0,0
1.87,28,0.0,0.0,0,blue_chamber,0,0
1.93,29,0.0,0.0,0,blue_chamber,0,0
2.0,30,0.0,0.0,0,blue_chamber,0,0
2.07,31,0.0,0.0,0,blue_chamber,0,0
2.13,32,0.0189086769093849,0.0197554748718833,0,blue_chamber,0,0
2.2,33,0.0171924256314453,0.0157011892514001,0,blue_chamber,0,0
2.27,34,0.0143856629770562,0.0135967911878356,0,blue_chamber,0,0
2.33,35,0.0134857813672517,0.0129781029534884,0,blue_chamber,0,0
2.4,36,0.0087901409926787,0.009031133905631,0,blue_chamber,0,0
2.47,37,0.0047491363506015,0.0043599970844626,0,blue_chamber,0,0
2.53,38,0.0082315317039062,0.0008319396114068,0,blue_chamber,0,0
2.6,39,0.0104762219778874,0.002361550005378,0,blue_chamber,0,0
2.67,40,0.0108780035987864,0.0008965186489112,0,blue_chamber,0,0
2.73,41,0.0057325790631138,0.0011417719667149,0,blue_chamber,0,0
2.8,42,0.0043961408325011,0.0032646601127049,0,blue_chamber,0,0
2.87,43,0.0069822388831886,0.0033253780695373,0,blue_chamber,0,0
2.93,44,0.0079945116124542,0.0034295342336959,0,blue_chamber,1,0
3.0,45,0.011984506237129,0.0023919770742095,0,blue_chamber,0,0
3.07,46,0.0457882546733284,0.0004396340713073,0,blue_chamber,0,0
3.13,47,0.0121998080610524,0.0003270785809346,0,blue_chamber,0,0
3.2,48,0.000412104119273,0.0005464949546558,0,blue_chamber,0,0
3.27,49,0.0005191355786398,0.0003120231471273,0,blue_chamber,0,0
3.33,50,0.0008427077342706,0.0007672612951485,0,blue_chamber,0,0
3.4,51,0.0007335705295671,0.0002769200691051,0,blue_chamber,0,0
3.47,52,0.0003553846781822,0.0004356488034059,0,blue_chamber,0,0
3.53,53,8.85319353528672e-05,0.0004783445578756,0,blue_chamber,0,0
3.6,54,0.0002006023026794,0.0007960744579519,0,blue_chamber,0,0
3.67,55,0.0004345529377591,0.0011343239144944,0,blue_chamber,0,0
3.73,56,0.0002463790208937,8.325729299343478e-05,0,blue_chamber,0,0
3.8,57,0.0003652510073043,0.0006960969612195,0,blue_chamber,0,0
3.87,58,0.0008920627879941,0.0010764301055572,0,blue_chamber,0,0
3.93,59,0.0013595357836031,0.002677539952754,0,blue_chamber,0,0
