Time,Frame,nose_dist,body_dist,freezing,darting,Known,Novel
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,1
1.93,29,0.0,0.0,0,0,0,1
2.0,30,0.0,0.0,0,0,0,1
2.07,31,0.0,0.0,0,0,0,1
2.13,32,0.0035245301190683,0.0019639643348374,0,0,0,1
2.2,33,0.0032715298973949,0.0007743697623101,0,0,0,1
2.27,34,0.0049213983898131,0.0005634339058871,0,0,0,1
2.33,35,0.0063250080827268,0.0006989684777616,0,0,0,1
2.4,36,0.0053926145921069,0.0014203588041204,0,0,0,1
2.47,37,0.0034170210354108,0.0013958871864187,0,0,0,1
2.53,38,0.002022475491879,0.0021200703919983,0,0,0,1
2.6,39,0.0010366569888996,0.0027669624799739,0,0,0,1
2.67,40,0.0032054815959295,0.0043544309064791,0,0,0,1
2.73,41,0.0011260928291607,0.0027481405883243,0,0,0,1
2.8,42,0.0014191558817657,0.0030139107771325,0,0,0,1
2.87,43,5.982298102614384e-05,0.0004510602525619,0,0,0,1
2.93,44,0.0016765340457621,0.0012852083757902,0,0,0,1
3.0,45,0.0007932979321281,0.0010240123725859,0,0,0,1
3.07,46,0.0007775468808043,0.0001254095849024,0,0,0,1
3.13,47,0.0009749913254091,0.0007484700546534,0,0,0,1
3.2,48,0.000870237619609,0.0015044656292358,0,0,0,1
3.27,49,0.0008077956607496,0.0006084541996051,0,0,0,1
3.33,50,0.0001345478008272,0.0001781990951733,0,0,0,1
3.4,51,0.0004526687039836,0.0002840772383032,0,0,0,1
3.47,52,0.0007579804230505,0.0001644673461943,0,0,0,1
3.53,53,0.0003695741460718,0.0008983064183917,0,0,0,1
3.6,54,0.0005996933466925,0.0010544681050398,0,0,0,1
3.67,55,0.000436584385275,0.0003138978943699,0,0,0,1
3.73,56,0.0004874012217068,0.0001967734915855,0,0,0,1
3.8,57,0.0005256278416695,0.000413477787998,0,0,0,1
3.87,58,0.0024526488338245,0.0013489119212381,0,0,0,1
3.93,59,0.0078484993545491,0.0024792166554671,0,0,0,1
4.0,60,0.0048810443279471,0.0005664410388441,0,0,0,1
4.07,61,0.0038034554037109,6.935359247752404e-05,0,0,0,0
4.13,62,0.0031968702683777,0.0001904856925681,0,0,0,0
4.2,63,0.0009956624918221,0.0002302060236469,0,0,0,0
4.27,64,0.0018727106139337,0.0002610602424051,0,0,0,0
4.33,65,0.0082377205439665,0.0008983178396753,0,0,0,0
4.4,66,0.0102278784370086,0.0026013568136503,0,0,0,0
4.47,67,0.0113032601385102,0.0059326681022256,0,0,0,0
4.53,68,0.0169610897648177,0.0113370815842859,0,0,0,0
4.6,69,0.0212272584714136,0.0180200547005548,0,0,0,0
4.67,70,0.0199625418006421,0.0225821904884378,0,0,0,0
4.73,71,0.0193371807101706,0.0219728472502277,0,0,0,0
4.8,72,0.0187744077487414,0.0181090622714659,0,0,0,0
4.87,73,0.0200664641086827,0.0193493055035052,0,0,0,0
4.93,74,0.0155834145024191,0.0204889726834268,0,0,0,0
5.0,75,0.0097568292293867,0.0133159934472061,0,0,0,0
