Time,Frame,nose_dist,body_dist,freezing,darting,Known,Homecage
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,0,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0164265055350005,0.0172681042268004,0,0,0,0
2.2,33,0.0171206099063813,0.0158581476271112,0,0,0,0
2.27,34,0.0132716439874503,0.0131686517006735,0,0,0,0
2.33,35,0.0063716510610738,0.0093666192272139,0,0,0,0
2.4,36,0.0115615259077009,0.0054447384815623,0,0,0,0
2.47,37,0.014821662946836,0.0081965393733935,0,0,0,0
2.53,38,0.0143660782026319,0.0113212647579899,0,0,0,0
2.6,39,0.0115214173596002,0.0121884630811439,0,0,0,0
2.67,40,0.0152940948218862,0.0176383948620944,0,0,0,0
2.73,41,0.0216245635327908,0.0218351182795695,0,0,0,0
2.8,42,0.0198508281771433,0.0178466010574112,0,0,0,0
2.87,43,0.0126971017130892,0.0115873223193237,0,0,0,0
2.93,44,0.0080184049735894,0.0073117577651282,0,0,0,0
3.0,45,0.0068335044054384,0.002608572523731,0,0,0,0
3.07,46,0.011722667699523,0.0010262385593995,0,0,0,0
3.13,47,0.0123872377565354,0.0002321024661605,0,0,0,0
3.2,48,0.006070454426078,0.0003263770746633,0,0,0,0
3.27,49,0.001808147595018,0.0005483627208571,0,0,0,0
3.33,50,0.0005292706042831,0.0002835883012328,0,0,0,0
3.4,51,0.0011026383779539,0.000209143098119,0,0,0,0
3.47,52,0.0010327887232115,0.0004380806506914,0,0,0,0
3.53,53,0.00060628434773,0.0002694083338967,0,0,0,0
3.6,54,0.0002746958089659,0.0001129053337891,0,0,0,0
3.67,55,0.0002457631326284,0.0001464041252736,0,0,0,0
3.73,56,0.0001325648646984,0.0002003938601587,0,0,0,0
3.8,57,0.0003339112286713,0.0001683487908576,0,0,0,0
3.87,58,0.0032546998285943,0.0022991350724505,0,0,0,0
3.93,59,0.012339803582231,0.0110636827490699,0,0,0,0
4.0,60,0.0179252770590786,0.0152441179688284,0,0,0,0
4.07,61,0.0134294744474172,0.0137708986589139,0,0,0,0
4.13,62,0.0135978382811546,0.0134603176450761,0,0,0,0
4.2,63,0.0144490596764885,0.0096962312744137,0,0,0,0
4.27,64,0.0113300020023211,0.008644692287957,0,0,0,0
4.33,65,0.0113085172150702,0.0112968582794354,0,0,0,0
4.4,66,0.0110964601512141,0.0111741520748004,0,0,0,0
4.47,67,0.0102659472177676,0.0101699958208484,0,0,0,0
4.53,68,0.0106105680323204,0.0103404817872808,0,0,0,0
4.6,69,0.0108576984813835,0.0121173832882708,0,0,0,0
4.67,70,0.0099523607088459,0.0121814218284146,0,0,0,0
4.73,71,0.0124264758565187,0.0123367192150638,0,0,0,0
4.8,72,0.0105208660888871,0.0111478739796768,0,0,0,0
4.87,73,0.0110097026108007,0.0145685315804157,0,0,0,0
4.93,74,0.0121911309597389,0.0133091436205706,0,0,0,1
5.0,75,0.007406639426168,0.0074661932521389,0,0,0,1
