Time,Frame,nose_dist,body_dist,freezing,darting,Object,Mice
0.07,1,0.0,0.0,0,0,0,0
0.13,2,0.0,0.0,0,0,0,0
0.2,3,0.0,0.0,0,0,0,0
0.27,4,0.0,0.0,0,0,0,0
0.33,5,0.0,0.0,0,0,0,0
0.4,6,0.0,0.0,0,0,0,0
0.47,7,0.0,0.0,0,0,0,0
0.53,8,0.0,0.0,0,0,0,0
0.6,9,0.0,0.0,0,0,0,0
0.67,10,0.0,0.0,0,0,0,0
0.73,11,0.0,0.0,0,0,0,0
0.8,12,0.0,0.0,0,0,0,0
0.87,13,0.0,0.0,0,0,0,0
0.93,14,0.0,0.0,0,0,0,0
1.0,15,0.0,0.0,0,0,0,0
1.07,16,0.0,0.0,0,0,0,0
1.13,17,0.0,0.0,0,0,0,0
1.2,18,0.0,0.0,0,0,0,0
1.27,19,0.0,0.0,0,0,0,0
1.33,20,0.0,0.0,0,0,0,0
1.4,21,0.0,0.0,0,0,0,0
1.47,22,0.0,0.0,0,0,1,0
1.53,23,0.0,0.0,0,0,0,0
1.6,24,0.0,0.0,0,0,0,0
1.67,25,0.0,0.0,0,0,0,0
1.73,26,0.0,0.0,0,0,0,0
1.8,27,0.0,0.0,0,0,0,0
1.87,28,0.0,0.0,0,0,0,0
1.93,29,0.0,0.0,0,0,0,0
2.0,30,0.0,0.0,0,0,0,0
2.07,31,0.0,0.0,0,0,0,0
2.13,32,0.0113865223262984,0.0086696909841052,0,0,0,0
2.2,33,0.0133830287796569,0.0106004911975906,0,0,0,0
2.27,34,0.0143307728613414,0.0131622469839061,0,0,0,0
2.33,35,0.0146823752404728,0.0145908745810873,0,0,0,0
2.4,36,0.0128985274399291,0.0112337985734874,0,0,0,0
2.47,37,0.0109408360589395,0.0131465430636479,0,0,0,0
2.53,38,0.0065651246030405,0.0138644161611404,0,1,0,0
2.6,39,0.0105113707239032,0.0106170572121198,0,1,0,0
2.67,40,0.0148621818309925,0.0076351621503848,0,1,0,0
2.73,41,0.0205043689885199,0.011097823344915,0,1,0,0
2.8,42,0.0206838630444053,0.0186046537905665,0,1,0,0
2.87,43,0.0097520835315469,0.0244898180081708,0,1,0,0
2.93,44,0.0091810687995487,0.0271289675943391,0,1,0,0
3.0,45,0.0056270050872027,0.0296218406467872,0,1,0,0
3.07,46,0.0132886709124198,0.0308286734020189,0,0,0,0
3.13,47,0.0408381065484463,0.0302517820886765,0,0,0,0
3.2,48,0.053082893141182,0.027887119611606,0,0,0,0
3.27,49,0.0477911355054833,0.0237330828361086,0,0,0,0
3.33,50,0.0298861210736346,0.0177745834637312,0,1,0,0
3.4,51,0.0143202902452487,0.0105704320451221,0,1,0,0
3.47,52,0.0098548358884454,0.0052404226364819,0,1,0,0
3.53,53,0.0097416429673661,0.0045343899012183,0,1,0,0
3.6,54,0.0073446870180029,0.0045564945810483,0,0,0,0
3.67,55,0.0114122153159994,0.0075092328547866,0,0,0,0
3.73,56,0.017359376174411,0.010941198919827,0,0,0,0
3.8,57,0.0157566537353941,0.0122174311689458,0,0,0,0
3.87,58,0.0154526918731721,0.0149601391726728,0,0,0,0
3.93,59,0.0169077067704936,0.01848130944646,0,0,0,0
4.0,60,0.0194769203544489,0.0202636063137108,0,0,0,0
4.07,61,0.0200638005621336,0.0188097515292555,0,0,0,0
4.13,62,0.0182850501076836,0.0168788905778465,0,0,0,0
4.2,63,0.0156752324115812,0.0153366074613651,0,0,0,0
4.27,64,0.0125948330318776,0.0120136659915192,0,0,0,0
4.33,65,0.0099442945129497,0.0101703893858846,0,0,0,0
4.4,66,0.0116929336790094,0.0129509613258939,0,0,0,0
4.47,67,0.0130638723992699,0.0116896266500703,0,0,0,0
4.53,68,0.0096494926380775,0.0091201584575799,0,0,0,0
4.6,69,0.00698749112472,0.0093645923322136,0,0,0,0
4.67,70,0.0047382408040727,0.007372849898471,0,0,0,0
4.73,71,0.0082998137394565,0.0080915588750199,0,0,0,0
4.8,72,0.0134289908734513,0.0098220506315552,0,0,0,0
4.87,73,0.0160063243403303,0.0088979273694477,0,0,0,0
4.93,74,0.0149324272761799,0.0111203471365395,0,0,0,0
5.0,75,0.0145065477164207,0.0167991442057383,0,0,0,0
